ApplicationRole	PermissionType	CodeName	ConceptTypeName	AssignedPermission	AssignmentOperator
General	Allow Actor	RelatedAllocationsSearchView	ViewConfiguration	General	Add
General	Execute Service	AllocationDataSource	DataSourceConfiguration	*	Add
General	Execute Service	BankStatementItemDatabaseDataSource	DataSourceConfiguration	*	Add
General	Execute Service	BankStatementItemRgslSearchDataSource	DataSourceConfiguration	*	Add
General	Execute Service	CommissionActItemRgslDataSource	DataSourceConfiguration	*	Add
General	Execute Service	CommissionActRgslDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetCommissionActFullDataDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetDebtorAccountDataSource	DataSourceConfiguration	*	Add
General	Execute Service	InvestmentProfitDataSource	DataSourceConfiguration	*	Add
General	Execute Service	PaymentPlanCustomDataSource	DataSourceConfiguration	*	Add
General	Execute Service	PendingPaymentDataSource	DataSourceConfiguration	*	Add
General	Execute Service	PeriodInstallmentsDataSource	DataSourceConfiguration	*	Add
General	Execute Service	PODocumentSearchDataSource	DataSourceConfiguration	*	Add
General	Execute Service	TotalAmountExcelExport	DataExportConfiguration	*	Add
General	Execute Service	AllocationNotPageableDataSource	DataSourceConfiguration	*	Add
