ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DataSchema	ActStateComponent	enum	actStateComponent@Draft	Draft	Draft	Проект / Черновик
DataSchema	ActStateComponent	enum	actStateComponent@Deleted	Deleted	Deleted	Проект / Удалён
DataSchema	ActStateComponent	enum	actStateComponent@Confirming	Confirming	Confirming	Проект / На согласовании
DataSchema	ActStateComponent	enum	actStateComponent@Confirmed	Confirmed	Confirmed	Согласован
DataSchema	ActStateComponent	enum	actStateComponent@Approved	Approved	Approved	Подтвержден / Подписан
DataSchema	ActStateComponent	enum	actStateComponent@CompletedPayOrder	CompletedPayOrder	CompletedPayOrder	Возврат КВ / Получен
DataSchema	ActStateComponent	enum	actStateComponent@CompletedPaid	CompletedPaid	CompletedPaid	Оплачен
DataSchema	ActStateComponent	enum	actStateComponent@CompletedPaidNegative	CompletedPaidNegative	CompletedPaidNegative	Возврат КВ получен
DataSchema	ActStateComponent	enum	actStateComponent@Annulled	Annulled	Annulled	Подтвержден / Сторнирован
DataSchema	ActStateComponent	enum	actStateComponent@Generating	Generating	Generating	Генерация
