ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DataSchema	ActStatusComponent	enum	actStatusComponent@0	0	None	Пусто
DataSchema	ActStatusComponent	enum	actStatusComponent@1	1	Draft	Проект / Черновик
DataSchema	ActStatusComponent	enum	actStatusComponent@2	2	Deleted	Проект / Удалён
DataSchema	ActStatusComponent	enum	actStatusComponent@3	3	Confirming	Проект / На согласовании
DataSchema	ActStatusComponent	enum	actStatusComponent@4	4	Confirmed	Согласован
DataSchema	ActStatusComponent	enum	actStatusComponent@5	5	Approved	Подтвержден / Подписан
DataSchema	ActStatusComponent	enum	actStatusComponent@6	6	CompletedPayOrder	Возврат КВ / Получен
DataSchema	ActStatusComponent	enum	actStatusComponent@7	7	CompletedPaid	Оплачен
DataSchema	ActStatusComponent	enum	actStatusComponent@8	8	Annulled	Подтвержден / Сторнирован
DataSchema	ActStatusComponent	enum	actStatusComponent@9	9	Generating	Генерация
