ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DataSchema	BankStatementItemIncomeSourceIdComponent	enum	bankStatementItemIncomeSourceIdComponent@10	10	10	ВТБ24
DataSchema	BankStatementItemIncomeSourceIdComponent	enum	bankStatementItemIncomeSourceIdComponent@20	20	20	1С: ВТБ
DataSchema	BankStatementItemIncomeSourceIdComponent	enum	bankStatementItemIncomeSourceIdComponent@22	22	22	1С: Юникредит
DataSchema	BankStatementItemIncomeSourceIdComponent	enum	bankStatementItemIncomeSourceIdComponent@32	32	32	ТКБ
DataSchema	BankStatementItemIncomeSourceIdComponent	enum	bankStatementItemIncomeSourceIdComponent@33	33	33	IBOX
DataSchema	BankStatementItemIncomeSourceIdComponent	enum	bankStatementItemIncomeSourceIdComponent@60	60	60	СБ РФ
DataSchema	BankStatementItemIncomeSourceIdComponent	enum	bankStatementItemIncomeSourceIdComponent@71	71	71	Банк ФК Открытие
DataSchema	BankStatementItemIncomeSourceIdComponent	enum	bankStatementItemIncomeSourceIdComponent@78	78	78	1С: АкБарс
DataSchema	BankStatementItemIncomeSourceIdComponent	enum	bankStatementItemIncomeSourceIdComponent@82	82	82	Открытие. КСЖ
DataSchema	BankStatementItemIncomeSourceIdComponent	enum	bankStatementItemIncomeSourceIdComponent@83	83	83	ТКБ лендинг
DataSchema	BankStatementItemIncomeSourceIdComponent	enum	bankStatementItemIncomeSourceIdComponent@84	84	84	РНКО
DataSchema	BankStatementItemIncomeSourceIdComponent	enum	bankStatementItemIncomeSourceIdComponent@85	85	85	Открытие
DataSchema	BankStatementItemIncomeSourceIdComponent	enum	bankStatementItemIncomeSourceIdComponent@86	86	86	ТКБ процессинг
DataSchema	BankStatementItemIncomeSourceIdComponent	enum	bankStatementItemIncomeSourceIdComponent@88	88	88	1С: Банк ФК Открытие
DataSchema	BankStatementItemIncomeSourceIdComponent	enum	bankStatementItemIncomeSourceIdComponent@91	91	91	1С: Росбанк
DataSchema	BankStatementItemIncomeSourceIdComponent	enum	bankStatementItemIncomeSourceIdComponent@92	92	92	1C: Райффайзенбанк
DataSchema	BankStatementItemIncomeSourceIdComponent	enum	bankStatementItemIncomeSourceIdComponent@93	93	93	1С: Промсвязьбанк
DataSchema	BankStatementItemIncomeSourceIdComponent	enum	bankStatementItemIncomeSourceIdComponent@94	94	94	Промсвязьбанк
DataSchema	BankStatementItemIncomeSourceIdComponent	enum	bankStatementItemIncomeSourceIdComponent@97	97	97	1С: Сбербанк
DataSchema	BankStatementItemIncomeSourceIdComponent	enum	bankStatementItemIncomeSourceIdComponent@98	98	98	Сбербанк эквайринг
