ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DataSchema	RegistryFileFormatComponent	enum	registryFileFormatComponent@1	1	ПСБ	ПСБ
DataSchema	RegistryFileFormatComponent	enum	registryFileFormatComponent@2	2	КСЖ	КСЖ
DataSchema	RegistryFileFormatComponent	enum	registryFileFormatComponent@3	3	Сбербанк Эквайринг	Сбербанк Эквайринг
DataSchema	RegistryFileFormatComponent	enum	registryFileFormatComponent@4	4	IBOX	IBOX
DataSchema	RegistryFileFormatComponent	enum	registryFileFormatComponent@5	5	ВТБ	ВТБ
DataSchema	RegistryFileFormatComponent	enum	registryFileFormatComponent@6	6	РНКО	РНКО
DataSchema	RegistryFileFormatComponent	enum	registryFileFormatComponent@7	7	СБ РФ	СБ РФ
DataSchema	RegistryFileFormatComponent	enum	registryFileFormatComponent@8	8	ТКБ Терминал	ТКБ Терминал
DataSchema	RegistryFileFormatComponent	enum	registryFileFormatComponent@9	9	ТКБ Лэндинг	ТКБ Лэндинг
DataSchema	RegistryFileFormatComponent	enum	registryFileFormatComponent@10	10	ТКБ Эквайринг	ТКБ Эквайринг
DataSchema	RegistryFileFormatComponent	enum	registryFileFormatComponent@11	11	Открытие	Открытие
