ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	RelatedAllocationsSearchView	actors	General	General	General	Общий
ViewConfiguration	RelatedAllocationsSearchView	rootConfiguration	RelatedAllocationsSearchView@Title	RelatedAllocationsSearchView	RelatedAllocationsSearchView	Связанные платежи
ViewConfiguration	RelatedAllocationsSearchView	dataExport	TotalAmountsExport	TotalAmountsExport	TotalAmountsExport	Экспорт
UiSchema	RelatedAllocationsSearchViewResultsContent	ui-label	IsCancelled	IsCancelled	Is cancelled	Статус привязки
UiSchema	RelatedAllocationsSearchViewFiltersContent	ui-label	Payment sources	Payment sources	Payment sources	Источники
UiSchema	RelatedAllocationsSearchViewResultsContent	ui-label	Allocation date	Allocation date	Allocation date	Дата идентификации
UiSchema	RelatedAllocationsSearchViewResultsContent	ui-label	BSI Id	BSI Id	BSI Id	ИД платежа
UiSchema	RelatedAllocationsSearchViewResultsContent	ui-label	BSI No	BSI No	BSI No	Номер платежа
UiSchema	RelatedAllocationsSearchViewResultsContent	ui-label	Description	Description	Description	Назначение платежа
UiSchema	RelatedAllocationsSearchViewResultsContent	ui-label	Installment amount	Installment amount	Installment amount	Сумма взноса
UiSchema	RelatedAllocationsSearchViewResultsContent	ui-label	Installment open amount	Installment open amount	Installment open amount	Неоплаченная сумма взноса
UiSchema	RelatedAllocationsSearchViewResultsContent	ui-label	Payment amount	Payment amount	Payment amount	Общая сумма платежа
UiSchema	RelatedAllocationsSearchViewResultsContent	ui-label	Payment open amount	Payment open amount	Payment open amount	Неидентифицированная сумма платежа
UiSchema	RelatedAllocationsSearchViewResultsContent	ui-label	Installment status	Installment status	Installment status	Статус оплаты взноса
UiSchema	RelatedAllocationsSearchViewResultsContent	ui-label	Transaction date	Transaction date	Transaction date	Дата поступления на р/c
UiSchema	RelatedAllocationsSearchViewResultsContent	ui-label	Payment date	Payment date	Payment date	Дата оплаты клиентом
UiSchema	RelatedAllocationsSearchViewResultsContent	ui-label	Pay amount	Pay amount	Pay amount	Идентифицированная сумма в валюте платежа
UiSchema	RelatedAllocationsSearchViewResultsContent	ui-label	Doc amount	Doc amount	Doc amount	Идентифицированная сумма в валюте договора
UiSchema	RelatedAllocationsSearchViewResultsContent	ui-label	Exchange difference	Exchange difference	Exchange difference	Курсовая разница, руб
UiSchema	RelatedAllocationsSearchViewResultsContent	ui-label	Pay currency code	Pay currency code	Pay currency code	Валюта платежа
UiSchema	RelatedAllocationsSearchViewResultsContent	ui-label	Payer name	Payer name	Payer name	Плательщик
UiSchema	RelatedAllocationsSearchViewActionsContent	ui-label	Export	Export	Export	Экспорт
UiSchema	RelatedAllocationsSearchViewFiltersContent	ui-label	Is not cancelled	Is not cancelled	Is not cancelled	Действующие
