ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
UiSchema	BankStatementItemRgslGridDetails	ui-label	Payment date	Payment date	Payment date	Дата оплаты клиентом
UiSchema	BankStatementItemRgslGridDetails	ui-label	Non-acceptance	Non-acceptance	Non-acceptance	Безакцептное списание
UiSchema	BankStatementItemRgslGridDetails	ui-label	Name	Name	Name	Имя
UiSchema	BankStatementItemRgslGridDetails	ui-label	Debtor	Debtor	Debtor	Плательщик
UiSchema	BankStatementItemRgslGridDetails	ui-label	Creditor	Creditor	Creditor	Получатель
UiSchema	BankStatementItemRgslGridDetails	ui-label	Account No	Account No	Account No	Номер счёта
UiSchema	BankStatementItemRgslGridDetails	ui-label	TIN	TIN	TIN	ИНН
UiSchema	BankStatementItemRgslGridDetails	ui-label	BIC	BIC	BIC	БИК
UiSchema	BankStatementItemRgslGridDetails	ui-label	Original payment description	Original payment description	Original payment description	Оригинальное назначение платежа
UiSchema	BankStatementItemRgslGridDetails	ui-label	Income source name	Income source name	Income source name	Наименование источника выписки
UiSchema	BankStatementItemRgslGridDetails	ui-label	Allocation details	Allocation details	Allocation details	Детали привязок
UiSchema	BankStatementItemRgslGridDetails	ui-label	Bank statement item history	Bank statement item history	Bank statement item history	История
