ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ClientAction	BankStatementItemRgslViewActionsComponentCreateAndGoToPaymentOrder	ui-message	CouldntCreate	createAndGoToPaymentOrder	Could not create	Could not create
ClientAction	BankStatementItemRgslViewActionsComponentExportReport	ui-message	DocumentTitle	exportReport	Report export	Выгрузка отчета
ClientAction	BankStatementItemRgslViewActionsComponentCreateAndGoToPaymentOrder	ui-message	ExactlyOneItemShouldBeSelected	createAndGoToPaymentOrder	Exactly one item should be selected	Exactly one item should be selected
ClientAction	BankStatementItemRgslViewActionsComponentExportReport	ui-message	ExportNotEnoughRights	exportReport	Not enough rights to export	У пользователя недостаточно прав для экспорта журнала платежей
ClientAction	BankStatementItemRgslViewActionsComponentCreateAndGoToPaymentOrder	ui-message	MultipleCurrencies	createAndGoToPaymentOrder	Multiple currencies	Multiple currencies
ClientAction	BankStatementItemRgslViewActionsComponentCreateAndGoToPaymentOrder	ui-message	MultiplePeople	createAndGoToPaymentOrder	Multiple people	Multiple people
ClientAction	BankStatementItemRgslViewActionsComponentRestorePaymentOfSelected	ui-message	NotAllowedStatusToBeRestored	restorePaymentOfSelected	Not allowed status to be restored	Из данного статуса запрещено переводить в восстановленный
ClientAction	BankStatementItemRgslViewActionsComponentAllocatedToRgistryOfSelected	ui-message	OnlyNotAllocatedPaymentCouldBeAllocatedToRgistry	allocatedToRgistryOfSelected	Only not allocated payment could be allocated to rgistry	Только не идентифицированный реестр может быть переведён в статус "Распределён на реестр"
ClientAction	BankStatementItemRgslViewActionsComponentCancelPaymentOfSelected	ui-message	OnlyNotAllocatedPaymentCouldBeCancelled	cancelPaymentOfSelected	Only not allocated payment could be cancelled	Только не привязанные платежи могут быть отменены
ClientAction	BankStatementItemRgslViewActionsComponentAutoAllocatePaymentOfSelected	ui-message	OnlyPartiallyAndNotAllocatedPaymentCouldBeAutoAllocated	autoAllocatePaymentOfSelected	Only not allocated and partially allocated payments could be auto allocated	Только не привязанные и частично привязанные платежи могут быть привязанны
ClientAction	BankStatementItemRgslViewActionsComponentAllocatedToRgistryOfSelected	ui-message	PaymentsSuccessfullyAllocatedToRegistry	allocatedToRgistryOfSelected	Payments successfully allocated to registry	Статус успешно изменён!
ClientAction	BankStatementItemRgslViewActionsComponentCancelPaymentOfSelected	ui-message	PaymentsSuccessfullyCancelled	cancelPaymentOfSelected	Payments successfully cancelled	Статус платежей успешно изменен
ClientAction	BankStatementItemRgslViewActionsComponentRestorePaymentOfSelected	ui-message	PaymentsSuccessfullyRestored	restorePaymentOfSelected	Payments successfully restored	Статус платежей успешно изменен
ClientAction	BankStatementItemRgslViewActionsComponentCreateRosfinmonitoringXml	ui-message	XmlFileCreated	createRosfinmonitoringXml	XML File Created	XML-файл для Росфинмониторинга создан
ClientAction	BankStatementItemRgslViewActionsComponentCreateRosfinmonitoringXml	ui-message	XmlFileCreatedWithErrors	createRosfinmonitoringXml	XML File Created with errors. {{errorMessage}}	XML-файл для Росфинмониторинга создан с ошибками. {{errorMessage}}
UiSchema	BankStatementItemRgslViewActionsComponent	ui-label	Actions	Actions	Actions	Действия
UiSchema	BankStatementItemRgslViewActionsComponent	ui-label	Auto allocation	Auto allocation	Auto allocate	Автоматическая привязка
UiSchema	BankStatementItemRgslViewActionsComponent	ui-label	Cancel payment	Cancel payment	Cancel payment	Отмена платежа
UiSchema	BankStatementItemRgslViewActionsComponent	ui-label	Correct payment description	Correct payment description	Correct payment description	Изменить назначение платежа
UiSchema	BankStatementItemRgslViewActionsComponent	ui-label	Create Rosfinmonitoring Xml	Create Rosfinmonitoring Xml	Create Rosfinmonitoring Xml	Создать XML-файл для Росфинмониторинга
UiSchema	BankStatementItemRgslViewActionsComponent	ui-label	Export report	Export report	Export report	Экспорт реестра
UiSchema	BankStatementItemRgslViewActionsComponent	ui-label	Move to Allocated to Registry	Move to Allocated to Registry	Move to Allocated to Registry	Распределён на реестр
UiSchema	BankStatementItemRgslViewActionsComponent	ui-label	Refund payment	Refund payment	Refund payment	Возврат платежа
UiSchema	BankStatementItemRgslViewActionsComponent	ui-label	Restore payment	Restore payment	Restore payment	Восстановить платеж
UiSchema	BankStatementItemRgslViewActionsComponent	ui-label	Show related accounting entries	Show related accounting entries	Show related accounting entries	Показать проводки
UiSchema	BankStatementItemRgslViewActionsComponent	ui-label	Show related allocations	Show related allocations	Show related allocations	Показать индентификации с этим платежом
ClientAction	BankStatementItemRgslViewActionsComponentCreateRosfinmonitoringXml	ui-message	XmlMessageExists	createRosfinmonitoringXml	Attention! A XML message was previously generated for this operation! Do you want to generate a message again?	Внимание!<br>По данной операции ранее было сформировано ФЭС!<br>Вы хотите сформировать ФЭС повторно?
ClientAction	BankStatementItemRgslViewActionsComponentCreateRosfinmonitoringXml	ui-message	Yes	createRosfinmonitoringXml	Yes	Да
ClientAction	BankStatementItemRgslViewActionsComponentCreateRosfinmonitoringXml	ui-message	No	createRosfinmonitoringXml	No	Нет
