ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DocumentConfiguration	AggregatedPaymentRegisterImport	actors	ChiefPaymentDistributor	ChiefPaymentDistributor	Chief Payment Distributor	Администратор по распределению платежей
DocumentConfiguration	AggregatedPaymentRegisterImport	actors	EmployeeUFO	EmployeeUFO	EmployeeUFO	Сотрудник УФО
DocumentConfiguration	AggregatedPaymentRegisterImport	actors	System	System	System	System
DocumentConfiguration	AggregatedPaymentRegisterImport	rootConfiguration	AggregatedPaymentRegisterImport@Title	AggregatedPaymentRegisterImport	Aggregated Payment Register Import	Импорт реестра платежей
DocumentFlowDefinition	AggregatedPaymentRegisterImportFlow	transitions	transitions@StartLoading@Title	StartLoading	Start Loading	Начать загрузку
DocumentFlowDefinition	AggregatedPaymentRegisterImportFlow	transitions	transitions@FinishLoading@Title	FinishLoading	Finish Loading	Закончить загрузку
DocumentFlowDefinition	AggregatedPaymentRegisterImportFlow	transitions	transitions@StartImporting@Title	StartImporting	Start Importing	Начать импорт
DocumentFlowDefinition	AggregatedPaymentRegisterImportFlow	transitions	transitions@FinishImporting@Title	FinishImporting	Finish Importing	Закончить импорт
DocumentFlowDefinition	AggregatedPaymentRegisterImportFlow	transitions	transitions@Imported_to_Allocation@Title	Imported_to_Allocation	Start Allocation	Начать идентификацию
DocumentFlowDefinition	AggregatedPaymentRegisterImportFlow	transitions	transitions@Allocation_to_Allocated@Title	Allocation_to_Allocated	Finish Allocation	Закончить идентификацию
DocumentFlowDefinition	AggregatedPaymentRegisterImportFlow	transitions	transitions@Allocation_to_RegistryAllocationError@Title	Allocation_to_RegistryAllocationError	Allocation Error	Ошибка идентификации
DocumentFlowDefinition	AggregatedPaymentRegisterImportFlow	transitions	transitions@RegistryAllocationError_to_Allocation@Title	RegistryAllocationError_to_Allocation	Reallocation	Повторить идентификацию
DocumentFlowDefinition	AggregatedPaymentRegisterImportFlow	transitions	transitions@Allocated_to_Generating@Title	Allocated_to_Generating	Start Generation	Генерировать платежи
DocumentFlowDefinition	AggregatedPaymentRegisterImportFlow	transitions	transitions@Generating_to_Generated@Title	Generating_to_Generated	Finish Generation	Платежи сгенерированы
DocumentFlowDefinition	AggregatedPaymentRegisterImportFlow	transitions	transitions@Generating_to_RegistryGenerationError@Title	Generating_to_RegistryGenerationError	Generating Error	Ошибка генерации платежей
DocumentFlowDefinition	AggregatedPaymentRegisterImportFlow	transitions	transitions@RegistryGenerationError_to_Generating@Title	RegistryGenerationError_to_Generating	Regeneration	Повторить генерацию платежей
DocumentFlowDefinition	AggregatedPaymentRegisterImportFlow	operations	operations@Save@Title	Save	Save	Сохранить
DocumentFlowDefinition	AggregatedPaymentRegisterImportFlow	states	states@Draft	Draft	Draft	Черновик
DocumentFlowDefinition	AggregatedPaymentRegisterImportFlow	states	states@Loading	Loading	Loading	Загрузка
DocumentFlowDefinition	AggregatedPaymentRegisterImportFlow	states	states@Loaded	Loaded	Loaded	Загружено
DocumentFlowDefinition	AggregatedPaymentRegisterImportFlow	states	states@Importing	Importing	Importing	Импорт
DocumentFlowDefinition	AggregatedPaymentRegisterImportFlow	states	states@Imported	Imported	Imported	Импортировано
DocumentFlowDefinition	AggregatedPaymentRegisterImportFlow	states	states@Allocation	Allocation	Allocation	Идентификация
DocumentFlowDefinition	AggregatedPaymentRegisterImportFlow	states	states@Allocated	Allocated	Allocated	Идентифицирован
DocumentFlowDefinition	AggregatedPaymentRegisterImportFlow	states	states@RegistryAllocationError	RegistryAllocationError	Allocation Error	Ошибка идентификации
DocumentFlowDefinition	AggregatedPaymentRegisterImportFlow	states	states@Generating	Generating	Generating	Генерация платежей
DocumentFlowDefinition	AggregatedPaymentRegisterImportFlow	states	states@Generated	Generated	Generated	Платежи сгенерированы
DocumentFlowDefinition	AggregatedPaymentRegisterImportFlow	states	states@RegistryGenerationError	RegistryGenerationError	Generating Error	Ошибка генерации платежей
UiSchema	AggregatedPaymentRegisterImportLoadFile	ui-label	Upload data	Upload data	Upload data	Загрузить данные
UiSchema	AggregatedPaymentRegisterImportLoadFile	ui-label	ImportInfo	ImportInfo	Import Info	Информация об импорте
UiSchema	AggregatedPaymentRegisterImportLoadFile	ui-label	FileSelection	FileSelection	File Selection	Выбор Файла
UiSchema	AggregatedPaymentRegisterImportLoadFile	ui-label	FileSelectionDescription	FileSelectionDescription	File Selection Description	Выбор Файла
UiSchema	AggregatedPaymentRegisterImportMatchToBankStatement	ui-label	EXCEL file:	EXCEL file:	EXCEL file:	EXCEL файл:
