ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
UiSchema	BankStatementImportDraft	ui-label	ImportInfo	ImportInfo	Import Info	Информация об импорте
UiSchema	BankStatementImportDraft	ui-label	FileSelection	FileSelection	File Selection	Выбор Файла
UiSchema	BankStatementImportDraft	ui-label	SourceFileFormat	SourceFileFormat	Source File Format	Формат Файла
UiSchema	BankStatementImportImporting	ui-label	ImportInfo	ImportInfo	Import Info	Информация об импорте
UiSchema	BankStatementImportImporting	ui-label	FileSelection	FileSelection	File Selection	Выбор Файла
UiSchema	BankStatementImportImporting	ui-label	LoadedData	LoadedData	Loaded Data	Загруженная Информация
UiSchema	BankStatementImportImporting	ui-label	LoadDataErrors	LoadDataErrors	Loaded Data Errors	Ошибки по Загруженной Информации
UiSchema	BankStatementImportImporting	ui-label	ImportedData	ImportedData	Imported Data	Импортированная Информация
UiSchema	BankStatementImportImporting	ui-label	FailedImportedData	FailedImportedData	Failed Imported Data	Неудачно Импортированная Информация
UiSchema	BankStatementImportLoading	ui-label	ImportInfo	ImportInfo	Import Info	Информация об импорте
UiSchema	BankStatementImportLoading	ui-label	FileSelection	FileSelection	File Selection	Выбор Файла
UiSchema	BankStatementImportLoading	ui-label	LoadedData	LoadedData	Loaded Data	Загруженная Информация
UiSchema	BankStatementImportLoading	ui-label	LoadDataErrors	LoadDataErrors	Loaded Data Errors	Ошибки по Загруженной Информации
UiSchema	BankStatementImportReloading	ui-label	ImportInfo	ImportInfo	Import Info	Информация об импорте
UiSchema	BankStatementImportReloading	ui-label	FileSelection	FileSelection	File Selection	Выбор Файла
UiSchema	BankStatementImportReloading	ui-label	LoadedData	LoadedData	Loaded Data	Загруженная Информация
UiSchema	BankStatementImportReloading	ui-label	LoadDataErrors	LoadDataErrors	Loaded Data Errors	Ошибки по Загруженной Информации
DocumentFlowDefinition	BankStatementImportFlow	operations	operations@Save@Title	Save	Save	Сохранить
DocumentFlowDefinition	BankStatementImportFlow	transitions	transitions@StartLoading@Title	StartLoading	Start Loading	Начать Загрузку
DocumentFlowDefinition	BankStatementImportFlow	transitions	transitions@FinishLoading@Title	FinishLoading	Finish Loading	Закончить Загрузку
DocumentFlowDefinition	BankStatementImportFlow	transitions	transitions@StartReloading@Title	StartReloading	Start Reloading	Начать Перезапуск
DocumentFlowDefinition	BankStatementImportFlow	transitions	transitions@StartImporting@Title	StartImporting	Start Importing	Начать Импорт
DocumentFlowDefinition	BankStatementImportFlow	transitions	transitions@Reload@Title	Reload	Reload	Перезагрузить
DocumentFlowDefinition	BankStatementImportFlow	transitions	transitions@FinishImporting@Title	FinishImporting	Finish Importing	Закончить Импорт
DocumentFlowDefinition	BankStatementImportFlow	states	states@Draft	Draft	Draft	Черновик
DocumentFlowDefinition	BankStatementImportFlow	states	states@Loading	Loading	Loading	Загрузка
DocumentFlowDefinition	BankStatementImportFlow	states	states@ReloadSetup	ReloadSetup	Reload Setup	Перезагрузить Установку
DocumentFlowDefinition	BankStatementImportFlow	states	states@Loaded	Loaded	Loaded	Загружено
DocumentFlowDefinition	BankStatementImportFlow	states	states@Importing	Importing	Importing	Импорт
DocumentFlowDefinition	BankStatementImportFlow	states	states@Imported	Imported	Imported	Импортировано
DocumentConfiguration	BankStatementImport	rootConfiguration	BankStatementImport@Title	BankStatementImport	Bank Statement Import	Импорт Банковских Выписок
DocumentConfiguration	BankStatementImport	actors	ChiefPaymentDistributor	ChiefPaymentDistributor	Chief Payment Distributor	Администратор по распределению платежей
DocumentConfiguration	BankStatementImport	actors	System	System	System	Система
UiSchema	BankStatementImportDraft	ui-label	FileSelectionDescription	FileSelectionDescription	File Selection Description	Описание Выбора Файлов
UiSchema	BankStatementImportDraft	ui-label	Date	Date	Date	Дата
UiSchema	BankStatementImportImporting	ui-label	FileSelectionDescription	FileSelectionDescription	File Selection Description	Описание Выбора Файлов
UiSchema	BankStatementImportImporting	ui-label	Date	Date	Date	Дата
UiSchema	BankStatementImportLoading	ui-label	FileSelectionDescription	FileSelectionDescription	File Selection Description	Описание Выбора Файлов
UiSchema	BankStatementImportLoading	ui-label	Date	Date	Date	Дата
UiSchema	BankStatementImportReloading	ui-label	FileSelectionDescription	FileSelectionDescription	File Selection Description	Описание Выбора Файлов
UiSchema	BankStatementImportReloading	ui-label	Date	Date	Date	Дата
UiSchema	BankStatementImportDraft	ui-label	Upload data	Upload data	Upload Data	Загрузить данные
UiSchema	BankStatementImportImporting	ui-label	Upload data	Upload data	Upload Data	Загрузить данные
UiSchema	BankStatementImportLoading	ui-label	Upload data	Upload data	Upload Data	Загрузить данные
UiSchema	BankStatementImportReloading	ui-label	Upload data	Upload data	Upload Data	Загрузить данные
UiSchema	BankStatementImportImporting	ui-label	Bank statement document number	Bank statement document number	Bank statement document number	Номер документа загрузки
UiSchema	BankStatementImportDraft	ui-label	Bank statement document number	Bank statement document number	Bank statement document number	Номер документа загрузки
UiSchema	BankStatementImportLoading	ui-label	Bank statement document number	Bank statement document number	Bank statement document number	Номер документа загрузки
UiSchema	BankStatementImportReloading	ui-label	Bank statement document number	Bank statement document number	Bank statement document number	Номер документа загрузки
