ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DocumentConfiguration	PaymentCancellationImport	actors	ChiefPaymentDistributor	ChiefPaymentDistributor	Chief Payment Distributor	Администратор по распределению платежей
DocumentConfiguration	PaymentCancellationImport	rootConfiguration	PaymentCancellationImport@Title	PaymentCancellationImport	Payment cancellation import	Импорт файла отмены платежей
DocumentConfiguration	PaymentCancellationImport	actors	System	System	System	System
DocumentFlowDefinition	PaymentCancellationImportFlow	states	states@AllocationCancellation	AllocationCancellation	Allocation cancellation	Отмена платежей
DocumentFlowDefinition	PaymentCancellationImportFlow	transitions	transitions@CancelAllocation@Title	CancelAllocation	Cancel allocation	Отмена идентификаций
DocumentFlowDefinition	PaymentCancellationImportFlow	transitions	transitions@CancelPayment@Title	CancelPayment	Cancel payment	Отмена платежей
DocumentFlowDefinition	PaymentCancellationImportFlow	states	states@Done	Done	Done	Готово
DocumentFlowDefinition	PaymentCancellationImportFlow	states	states@Draft	Draft	Draft	Проект
DocumentFlowDefinition	PaymentCancellationImportFlow	transitions	transitions@FinishCancelAllocation@Title	FinishCancelAllocation	Finish cancel allocation	Завершение отмены идентификации
DocumentFlowDefinition	PaymentCancellationImportFlow	transitions	transitions@FinishCancelPayment@Title	FinishCancelPayment	Finish cancel payment	Завершение отмены платежей
DocumentFlowDefinition	PaymentCancellationImportFlow	transitions	transitions@FinishDocument@Title	FinishDocument	Finish document	Завершить документ
DocumentFlowDefinition	PaymentCancellationImportFlow	transitions	transitions@FinishImporting@Title	FinishImporting	Finish importing	Завершить импорт
DocumentFlowDefinition	PaymentCancellationImportFlow	transitions	transitions@FinishLoading@Title	FinishLoading	Finish loading	Завершить загрузку
DocumentFlowDefinition	PaymentCancellationImportFlow	states	states@Imported	Imported	Imported	Импортирован
DocumentFlowDefinition	PaymentCancellationImportFlow	states	states@Importing	Importing	Importing	Импорт
DocumentFlowDefinition	PaymentCancellationImportFlow	states	states@Loaded	Loaded	Loaded	Загружен
DocumentFlowDefinition	PaymentCancellationImportFlow	states	states@Loading	Loading	Loading	Загрузка
DocumentFlowDefinition	PaymentCancellationImportFlow	states	states@PaymentCancellation	PaymentCancellation	Payment cancellation	Отмена платежей
DocumentFlowDefinition	PaymentCancellationImportFlow	operations	operations@Save@Title	Save	Save	Сохранить
DocumentFlowDefinition	PaymentCancellationImportFlow	transitions	transitions@StartImporting@Title	StartImporting	Start importing	Начать импорт
DocumentFlowDefinition	PaymentCancellationImportFlow	transitions	transitions@StartLoading@Title	StartLoading	Start loading	Начать загрузку
UiSchema	PaymentCancellationImportDraft	ui-label	FileSelection	FileSelection	File selection	Выбрать файл
UiSchema	PaymentCancellationImportDraft	ui-label	FileSelectionDescription	FileSelectionDescription	File selection description	Выберите файл для загрузки
UiSchema	PaymentCancellationImportImporting	ui-label	FileSelection	FileSelection	File selection	Выбрать файл
UiSchema	PaymentCancellationImportImporting	ui-label	FileSelectionDescription	FileSelectionDescription	File selection description	Выберите файл для загрузки
UiSchema	PaymentCancellationImportLoading	ui-label	FileSelection	FileSelection	File selection	Выбрать файл
UiSchema	PaymentCancellationImportLoading	ui-label	FileSelectionDescription	FileSelectionDescription	File selection description	Выберите файл для загрузки
