ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DataSchema	BsiRegistryType	localized-field	BsiRegistryType@10@fileFormatName	fileFormatName	ТКБ Эквайринг2	ТКБ Эквайринг3
DataSchema	BsiRegistryType	localized-field	BsiRegistryType@11@fileFormatName	fileFormatName	Открытие2	Открытие3
DataSchema	BsiRegistryType	localized-field	BsiRegistryType@1@fileFormatName	fileFormatName	ПСБ2	ПСБ3
DataSchema	BsiRegistryType	localized-field	BsiRegistryType@2@fileFormatName	fileFormatName	КСЖ2	КСЖ3
DataSchema	BsiRegistryType	localized-field	BsiRegistryType@3@fileFormatName	fileFormatName	Сбербанк Эквайринг2	Сбербанк Эквайринг3
DataSchema	BsiRegistryType	localized-field	BsiRegistryType@4@fileFormatName	fileFormatName	IBOX2	IBOX3
DataSchema	BsiRegistryType	localized-field	BsiRegistryType@5@fileFormatName	fileFormatName	ВТБ2	ВТБ3
DataSchema	BsiRegistryType	localized-field	BsiRegistryType@6@fileFormatName	fileFormatName	РНКО2	РНКО3
DataSchema	BsiRegistryType	localized-field	BsiRegistryType@7@fileFormatName	fileFormatName	СБ РФ2	СБ РФ3
DataSchema	BsiRegistryType	localized-field	BsiRegistryType@8@fileFormatName	fileFormatName	ТКБ Терминал2	ТКБ Терминал3
DataSchema	BsiRegistryType	localized-field	BsiRegistryType@9@fileFormatName	fileFormatName	ТКБ Лэндинг2	ТКБ Лэндинг3
MasterEntityConfiguration	BsiRegistryType	rootConfiguration	BsiRegistryType@Title	BsiRegistryType	BsiRegistryType	BsiRegistryType
