ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
ViewConfiguration	AllocationRgslView	rootConfiguration	AllocationRgslView@Title	AllocationRgslView	Идентификации	Allocations view
ViewConfiguration	AllocationRgslView	actors	PaymentDistributor	PaymentDistributor	Специалист по распределению платежей	Payment Distributor
ViewConfiguration	AllocationRgslView	actors	ChiefPaymentDistributor	ChiefPaymentDistributor	Администратор по распределению платежей	Chief Payment Distributor
ViewConfiguration	AllocationRgslView	actors	PaymentsViewer	PaymentsViewer	Просмотр	PaymentsViewer
UiSchema	AllocationRgslViewFiltersContent	ui-label	Ref document no	Ref document no	Номер документа идентификации	Ref document no
UiSchema	AllocationRgslViewFiltersContent	ui-label	Payer	Payer	Плательщик	Payer
UiSchema	AllocationRgslViewFiltersContent	ui-label	Policy holder	Policy holder	Страхователь	Policy holder
UiSchema	AllocationRgslViewFiltersContent	ui-label	Payment date from	Payment date from	Дата платежа. От	Payment date from
UiSchema	AllocationRgslViewFiltersContent	ui-label	Payment date to	Payment date to	Дата платежа. До	Payment date to
UiSchema	AllocationRgslViewFiltersContent	ui-label	Policy start date from	Policy start date from	Дата начала ответственности. От	Policy start date from
UiSchema	AllocationRgslViewFiltersContent	ui-label	Policy start date to	Policy start date to	Дата начала ответственности. До	Policy start date to
UiSchema	AllocationRgslViewFiltersContent	ui-label	Transaction date from	Transaction date from	Дата поступления на р/c. От	Transaction date from
UiSchema	AllocationRgslViewFiltersContent	ui-label	Transaction date to	Transaction date to	Дата поступления на р/c. До	Transaction date to
UiSchema	AllocationRgslViewFiltersContent	ui-label	Allocation payment amount from	Allocation payment amount from	Сумма в валюте платежа. От	Allocation payment amount from
UiSchema	AllocationRgslViewFiltersContent	ui-label	Allocation payment amount to	Allocation payment amount to	Сумма в валюте платежа. До	Allocation payment amount to
UiSchema	AllocationRgslViewFiltersContent	ui-label	Bank statement item no	Bank statement item no	Номер платежа	Bank statement item no
UiSchema	AllocationRgslViewFiltersContent	ui-label	Bank statement item id	Bank statement item id	ИД платежа	Bank statement item id
UiSchema	AllocationRgslViewFiltersContent	ui-label	Is not cancelled	Is not cancelled	Действующие	Is not cancelled
UiSchema	AllocationRgslViewResultsContent	ui-label	Id	Id	Id	Id
UiSchema	AllocationRgslViewResultsContent	ui-label	BsiId	BsiId	Id платежа	Bsi Id
UiSchema	AllocationRgslViewResultsContent	ui-label	Allocation date	Allocation date	Дата идентификации	Allocation date
UiSchema	AllocationRgslViewResultsContent	ui-label	Ref document no	Ref document no	Документ идентификации	Ref document no
UiSchema	AllocationRgslViewResultsContent	ui-label	Policy start date	Policy start date	Дата начала ответственности	Policy start date
UiSchema	AllocationRgslViewResultsContent	ui-label	Due date	Due date	Дата взноса	Due date
UiSchema	AllocationRgslViewResultsContent	ui-label	Installment amount	Installment amount	Сумма взноса	Installment amount
UiSchema	AllocationRgslViewResultsContent	ui-label	Installment open amount	Installment open amount	Неоплаченная сумма взноса	Installment open amount
UiSchema	AllocationRgslViewResultsContent	ui-label	Installment status	Installment status	Статус оплаты взноса	Installment status
UiSchema	AllocationRgslViewResultsContent	ui-label	Pay status	Pay status	Статус платежа	Pay status
UiSchema	AllocationRgslViewResultsContent	ui-label	Product	Product	Продукт	Product
UiSchema	AllocationRgslViewResultsContent	ui-label	Policy holder	Policy holder	Страхователь	Policy holder
UiSchema	AllocationRgslViewResultsContent	ui-label	Transaction date	Transaction date	Дата поступления на р/c	Transaction date
UiSchema	AllocationRgslViewResultsContent	ui-label	Payment date	Payment date	Дата оплаты клиентом	Payment date
UiSchema	AllocationRgslViewResultsContent	ui-label	Pay amount	Pay amount	Сумма в валюте платежа	Pay amount
UiSchema	AllocationRgslViewResultsContent	ui-label	Doc amount	Doc amount	Сумма в валюте договора	Doc amount
UiSchema	AllocationRgslViewResultsContent	ui-label	Exchange difference	Exchange difference	Курсовая разница, руб	Exchange difference
UiSchema	AllocationRgslViewResultsContent	ui-label	Pay currency code	Pay currency code	Валюта платежа	Pay currency code
UiSchema	AllocationRgslViewResultsContent	ui-label	Tolerance overpayment	Tolerance overpayment	Толеранс (переплата) в валюте договора	Tolerance overpayment
UiSchema	AllocationRgslViewResultsContent	ui-label	Tolerance underpayment	Tolerance underpayment	Толеранс (недоплата) в валюте договора	Tolerance underpayment
UiSchema	AllocationRgslViewResultsContent	ui-label	Payer name	Payer name	Плательщик	Payer name
UiSchema	AllocationRgslViewResultsContent	ui-label	Link to document	Link to document	Открыть документ идентификации	Open document
