ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	BankStatementItemFailedAllocationView	actors	ChiefPaymentDistributor	ChiefPaymentDistributor	Chief payment distributor	Администратор по распределению платежей
ViewConfiguration	BankStatementItemFailedAllocationView	rootConfiguration	BankStatementItemFailedAllocationView@Title	BankStatementItemFailedAllocationView	Bank statement item failed allocation view	Поиск неидентифицированных платежей
UiSchema	BankStatementItemFailedAllocationViewFiltersContent	ui-label	BankStatementItemId	BankStatementItemId	Bank statement item id	Id платежа
UiSchema	BankStatementItemFailedAllocationViewFiltersContent	ui-label	Reference No	Reference No	Reference no	Номер документа
UiSchema	BankStatementItemFailedAllocationViewFiltersContent	ui-label	ErrorCode	ErrorCode	Error code	Код ошибки
UiSchema	BankStatementItemFailedAllocationViewResultsContent	ui-label	Id	Id	Id	Id платежа
UiSchema	BankStatementItemFailedAllocationViewResultsContent	ui-label	Reference no	Reference no	Reference no	Номер документа
UiSchema	BankStatementItemFailedAllocationViewResultsContent	ui-label	Error code	Error code	Error code	Код ошибки
UiSchema	BankStatementItemFailedAllocationViewResultsContent	ui-label	ErrorMessage	ErrorMessage	Error message	Текст ошибки
UiSchema	BankStatementItemFailedAllocationViewResultsContent	ui-label	Last updated	Last updated	Last updated	Дата изменения
