ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	BankStatementItemHistoryRgslView	actors	PaymentDistributor	PaymentDistributor	PaymentDistributor	Специалист по распределению платежей
ViewConfiguration	BankStatementItemHistoryRgslView	actors	ChiefPaymentDistributor	ChiefPaymentDistributor	ChiefPaymentDistributor	Администратор по распределению платежей
UiSchema	BankStatementItemHistoryRgslViewUiSchema	ui-label	Username	Username	Username	Имя пользователя
UiSchema	BankStatementItemHistoryRgslViewUiSchema	ui-label	createdDate	createdDate	createdDate	Дата
UiSchema	BankStatementItemHistoryRgslViewUiSchema	ui-label	statusFrom	statusFrom	statusFrom	Статус с
UiSchema	BankStatementItemHistoryRgslViewUiSchema	ui-label	statusTo	statusTo	statusTo	Сатус на
UiSchema	BankStatementItemHistoryRgslViewUiSchema	ui-label	paymentDescriptionFrom	paymentDescriptionFrom	paymentDescriptionFrom	Назначение платежа с
UiSchema	BankStatementItemHistoryRgslViewUiSchema	ui-label	paymentDescriptionTo	paymentDescriptionTo	paymentDescriptionTo	Назначение платежа на
ViewConfiguration	BankStatementItemHistoryRgslView	rootConfiguration	BankStatementItemHistoryRgslView@Title	BankStatementItemHistoryRgslView	BankStatementItemHistoryRgslView	История
ViewConfiguration	BankStatementItemHistoryRgslView	actors	PaymentsViewer	PaymentsViewer	PaymentsViewer	Просмотр
