ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	BankStatementItemRgslView	rootConfiguration	BankStatementItemRgslView@Title	BankStatementItemRgslView	Bank statement item overview	Журнал платежей
ViewConfiguration	BankStatementItemRgslView	actors	PaymentDistributor	PaymentDistributor	Payment Distributor	Специалист по распределению платежей
ViewConfiguration	BankStatementItemRgslView	actors	ChiefPaymentDistributor	ChiefPaymentDistributor	Chief Payment Distributor	Администратор по распределению платежей
ViewConfiguration	BankStatementItemRgslView	actors	PaymentsViewer	PaymentsViewer	PaymentsViewer	Просмотр
UiSchema	BankStatementItemRgslViewFiltersContent	ui-label	Debtor	Debtor	Debtor	Плательщик
UiSchema	BankStatementItemRgslViewFiltersContent	ui-label	Creditor	Creditor	Creditor	Получатель
UiSchema	BankStatementItemRgslViewFiltersContent	ui-label	BankStatementItemId	BankStatementItemId	Bank statement item Id	ИД платежа
UiSchema	BankStatementItemRgslViewFiltersContent	ui-label	BankStatementItemNo	BankStatementItemNo	Bank statement item no	Номер платежа
UiSchema	BankStatementItemRgslViewResultsContent	ui-label	Reference numbers	Reference numbers	Reference numbers	№ договора
UiSchema	BankStatementItemRgslViewFiltersContent	ui-label	Transaction date from	Transaction date from	Transaction date from	Дата платежа, с
UiSchema	BankStatementItemRgslViewFiltersContent	ui-label	Transaction date to	Transaction date to	Transaction date to	Дата платежа, по
UiSchema	BankStatementItemRgslViewFiltersContent	ui-label	Payment date from	Payment date from	Payment date from	Дата оплаты клиентом, с
UiSchema	BankStatementItemRgslViewFiltersContent	ui-label	Payment date to	Payment date to	Payment date to	Дата оплаты клиентом, по
UiSchema	BankStatementItemRgslViewFiltersContent	ui-label	Amount	Amount	Amount	Сумма
UiSchema	BankStatementItemRgslViewFiltersContent	ui-label	Payment statuses	Payment statuses	Payment statuses	Статусы
UiSchema	BankStatementItemRgslViewFiltersContent	ui-label	Reference No	Reference No	Reference No	№ договора страхования
UiSchema	BankStatementItemRgslViewFiltersContent	ui-label	Direction	Direction	Direction	Тип платежа
UiSchema	BankStatementItemRgslViewFiltersContent	ui-label	Description	Description	Description	Назначение платежа
UiSchema	BankStatementItemRgslViewFiltersContent	ui-label	Income source id	Income source id	Income source id	Код источника выписки
UiSchema	BankStatementItemRgslViewFiltersContent	ui-label	Payment sources	Payment sources	Payment sources	Источники
UiSchema	BankStatementItemRgslViewFiltersContent	ui-label	IsRegistry	IsRegistry	Is registry	Реестр
UiSchema	BankStatementItemRgslViewFiltersContent	ui-label	RegistryFileFormat	RegistryFileFormat	Registry format	Тип реестра
UiSchema	BankStatementItemRgslViewFiltersContent	ui-label	RgslGuid	RgslGuid	Rgsl Guid	GUID
UiSchema	BankStatementItemRgslViewResultsContent	ui-label	Id	Id	Id	Id
UiSchema	BankStatementItemRgslViewResultsContent	ui-label	BSI No	BSI No	BSI No	Номер платежа
UiSchema	BankStatementItemRgslViewResultsContent	ui-label	Description	Description	Description	Назначение платежа
UiSchema	BankStatementItemRgslViewResultsContent	ui-label	Create date	Create date	Create date	Дата и время загрузки
UiSchema	BankStatementItemRgslViewResultsContent	ui-label	Transaction date	Transaction date	Transaction date	Дата платежа
UiSchema	BankStatementItemRgslViewResultsContent	ui-label	Amount	Amount	Amount	Сумма
UiSchema	BankStatementItemRgslViewResultsContent	ui-label	Currency	Currency	Currency	Валюта
UiSchema	BankStatementItemRgslViewResultsContent	ui-label	Status	Status	Status	Статус
UiSchema	BankStatementItemRgslViewResultsContent	ui-label	Open amount	Open amount	Open amount	Сумма доступная для привязки
UiSchema	BankStatementItemRgslViewResultsContent	ui-label	HasRefunds	HasRefunds	Has refunds	Возврат платежа
UiSchema	BankStatementItemRgslViewResultsContent	ui-label	Debtor	Debtor	Debtor	Плательщик
UiSchema	BankStatementItemRgslViewResultsContent	ui-label	Direction	Direction	Direction	Тип платежа
UiSchema	BankStatementItemRgslViewResultsContent	ui-label	Is registry	Is registry	Is registry	Реестр
UiSchema	BankStatementItemRgslViewResultsContent	ui-label	Is acquiring	Is acquiring	Is acquiring	Эквайринг
UiSchema	BankStatementItemRgslViewResultsContent	ui-label	Segment	Segment	Segment	Сегмент
UiSchema	BankStatementItemRgslViewResultsContent	ui-label	Source	Source	Source	Источник
UiSchema	BankStatementItemRgslViewResultsContent	ui-label	RegistryFileFormat	RegistryFileFormat	Registry format	Тип реестра
UiSchema	BankStatementItemRgslViewResultsContent	ui-label	RgslGuid	RgslGuid	Rgsl Guid	GUID
