ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	BankStatementServicesRgslView	actors	ChiefPaymentDistributor	ChiefPaymentDistributor	Chief Payment Distributor	Администратор по распределению платежей
ViewConfiguration	BankStatementServicesRgslView	rootConfiguration	BankStatementServicesRgslView@Title	BankStatementServicesRgslView	Bank statement services	Сервисы работы с платежами
ClientAction	BankStatementServicesRgslViewExecuteAutoAllocatePaymentsEtlService	ui-message	executeAutoAllocatePaymentsStarted	executeAutoAllocatePaymentsEtlService	Auto allocate payments service started	Начата автопривязка платежей
ClientAction	BankStatementServicesRgslViewExecuteGetNewBankStatementsRgslEtlService	ui-message	executeGetNewBankStatementsStarted	executeGetNewBankStatementsRgslEtlService	Bank statement items import started	Начата загрузка платежей
ClientAction	BankStatementServicesRgslViewExecuteActiveContractsForOperationEtlService	ui-message	executeActiveContractsForOperationStarted	executeActiveContractsForOperationEtlService	Policy status chainging service started	Начат перевод статуса договоров
UiSchema	BankStatementServicesRgslViewUiSchema	ui-label	Execute	Execute	Execute	Выполнить
UiSchema	BankStatementServicesRgslViewUiSchema	ui-label	BankStatementServices	BankStatementServices	Bank statement services	Сервисы работы с платежами
UiSchema	BankStatementServicesRgslViewUiSchema	ui-label	Payment GUID	Payment GUID	Payment GUID	GUID платежа
UiSchema	BankStatementServicesRgslViewUiSchema	ui-label	BankStatementsImportService	BankStatementsImportService	Bank statement items import service	Сервис загрузки платежей
UiSchema	BankStatementServicesRgslViewUiSchema	ui-label	AutoAllocatePaymentsService	AutoAllocatePaymentsService	Auto allocate payments service	Сервис автопривязки платежей
UiSchema	BankStatementServicesRgslViewUiSchema	ui-label	ActiveContractsForOperationService	ActiveContractsForOperationService	Active contracts for operation service	Сервис перевода договоров в статус Подписан
