ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
ViewConfiguration	ManualAllocationRgslView	actors	PaymentDistributor	PaymentDistributor	Специалист по распределению платежей	Payment Distributor
ViewConfiguration	ManualAllocationRgslView	actors	ChiefPaymentDistributor	ChiefPaymentDistributor	Администратор по распределению платежей	Chief Payment Distributor
ViewConfiguration	ManualAllocationRgslView	rootConfiguration	ManualAllocationRgslView@Title	ManualAllocationRgslView	Ручная идентификация	Manual allocation
DataSchema	ManualAllocationRgslView	enum	toleranceType@0	0	Нет	None
DataSchema	ManualAllocationRgslView	enum	toleranceType@1	1	Стандарт	Standard
DataSchema	ManualAllocationRgslView	enum	toleranceType@2	2	Увеличенный	Extended
DataSchema	ManualAllocationRgslView	enum	documentType@1	1	Договор	Policy
DataSchema	ManualAllocationRgslView	enum	documentType@3	3	РНВ	Payment Order
UiSchema	ManualAllocationRgslViewUiSchema	ui-label	Select document	Select document	Выбрать документ	Select document
UiSchema	ManualAllocationRgslViewUiSchema	ui-label	Select payment	Select payment	Выбрать платеж	Select payment
UiSchema	ManualAllocationRgslViewUiSchema	ui-label	Payment	Payment	Оплата	Payment
UiSchema	ManualAllocationRgslViewUiSchema	ui-label	Payment no	Payment no	Номер платежа	Payment no
UiSchema	ManualAllocationRgslViewUiSchema	ui-label	Available amount to allocate	Available amount to allocate	Сумма доступная для привязки	Available amount to allocate
UiSchema	ManualAllocationRgslViewUiSchema	ui-label	ExchangeRateDate	ExchangeRateDate	Дата курса	Exchange rate date
UiSchema	ManualAllocationRgslViewUiSchema	ui-label	CrossRate	CrossRate	Крос курс	Cross rate
UiSchema	ManualAllocationRgslViewUiSchema	ui-label	Tolerance type	Tolerance type	Тип толеранса	Tolerance type
UiSchema	ManualAllocationRgslViewUiSchema	ui-label	Allocate	Allocate	Идентифицировать	Allocate
UiSchema	ManualAllocationRgslViewUiSchema	ui-label	Amount to allocate (payment currency)	Amount to allocate (payment currency)	Сумма идентификации (валюта платежа)	Amount to allocate (payment currency)
UiSchema	ManualAllocationRgslViewUiSchema	ui-label	Amount to allocate (document currency)	Amount to allocate (document currency)	Сумма идентификации (валюта документа)	Amount to allocate (document currency)
UiSchema	ManualAllocationRgslViewUiSchema	ui-label	policyTab	policyTab	Договор	Policy
UiSchema	ManualAllocationRgslViewUiSchema	ui-label	paymentOrderTab	paymentOrderTab	РНВ	Payment order
ClientAction	ManualAllocationRgslViewAllocate	ui-message	PaymentSuccessfullyAllocated	allocate	Идентификация прошла успешно	Payment was successfully allocated
ClientAction	ManualAllocationRgslViewAllocate	ui-message	AmountToAllocateIsTooHigh	allocate	Сумма для распределения слишком высока	Amount to allocate is too high
