ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	PaymentCancellationAllocationDataView	actors	ChiefPaymentDistributor	ChiefPaymentDistributor	Chief Payment Distributor	Администратор по распределению платежей
UiSchema	PaymentCancellationAllocationDataViewUiSchema	ui-label	Allocations to cancel	Allocations to cancel	Allocations to cancel	Идентификации для отмены
UiSchema	PaymentCancellationAllocationDataViewUiSchema	ui-label	Record key	Record key	Record key	Номер записи
UiSchema	PaymentCancellationAllocationDataViewUiSchema	ui-label	Bank statement item id	Bank statement item id	Bank statement item id	ID платежа
UiSchema	PaymentCancellationAllocationDataViewUiSchema	ui-label	Payment status	Payment status	Payment status	Статус платежа
UiSchema	PaymentCancellationAllocationDataViewUiSchema	ui-label	Payment error message	Payment error message	Payment error message	Сообщение об ошибке платежа
UiSchema	PaymentCancellationAllocationDataViewUiSchema	ui-label	Allocation id	Allocation id	Allocation id	ID идентификации
UiSchema	PaymentCancellationAllocationDataViewUiSchema	ui-label	Allocation cancelled	Allocation cancelled	Allocation cancelled	Идентификация отменена
UiSchema	PaymentCancellationAllocationDataViewUiSchema	ui-label	Allocation error message	Allocation error message	Allocation error message	Сообщение об ошибке идентификации
UiSchema	PaymentCancellationAllocationDataViewUiSchema	ui-label	Export data	Export data	Print	Печать
ViewConfiguration	PaymentCancellationAllocationDataView	dataExport	PaymentCancellationExportExcel@PaymentCancellationExportExcelFormatter	PaymentCancellationExportExcel@PaymentCancellationExportExcelFormatter	PaymentCancellationExport	Экспорт отмены платежей
ViewConfiguration	PaymentCancellationAllocationDataView	rootConfiguration	PaymentCancellationAllocationDataView@Title	PaymentCancellationAllocationDataView	Allocation cancellation data view	Форма данных отмены идентификаций
ClientAction	PaymentCancellationAllocationDataViewShowIconForAllocationStatus	ui-message	AllocationCancelledIconTitle	showIconForAllocationStatus	Allocations was cancelled	Идентификации были отменены
ClientAction	PaymentCancellationAllocationDataViewShowIconForAllocationStatus	ui-message	AllocationNotCancelledIconTitle	showIconForAllocationStatus	Allocations was not cancelled	Идентификации не были отменены
ClientAction	PaymentCancellationAllocationDataViewShowIconForPaymentStatus	ui-message	PaymentCancelledIconTitle	showIconForPaymentStatus	Payment was cancelled	Платёж отменён
ClientAction	PaymentCancellationAllocationDataViewShowIconForPaymentStatus	ui-message	PaymentNotCancelledIconTitle	showIconForPaymentStatus	Payment was not cancelled	Платёж не отменён
