ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
ViewConfiguration	PaymentOrderOpenAmountRgslView	actors	PaymentDistributor	PaymentDistributor	Специалист по распределению платежей	Payment Distributor
ViewConfiguration	PaymentOrderOpenAmountRgslView	actors	ChiefPaymentDistributor	ChiefPaymentDistributor	Администратор по распределению платежей	Chief Payment Distributor
ViewConfiguration	PaymentOrderOpenAmountRgslView	rootConfiguration	PaymentOrderOpenAmountRgslView@Title	PaymentOrderOpenAmountRgslView	Ручная идентификация	Document open amount
UiSchema	PaymentOrderOpenAmountRgslViewFiltersContent	ui-label	Payment Order	Payment Order	РНВ	Payment Order
UiSchema	PaymentOrderOpenAmountRgslViewFiltersContent	ui-label	poDateFrom	poDateFrom	Дата РНВ от	PO date from
UiSchema	PaymentOrderOpenAmountRgslViewFiltersContent	ui-label	poDateTo	poDateTo	Дата РНВ до	PO date to
UiSchema	PaymentOrderOpenAmountRgslViewFiltersContent	ui-label	Recipient	Recipient	Получатель	Recipient
UiSchema	PaymentOrderOpenAmountRgslViewResultsContent	ui-label	PO No	PO No	Номер РНВ	PO number
UiSchema	PaymentOrderOpenAmountRgslViewResultsContent	ui-label	PO date	PO date	Дата РНВ	PO date
UiSchema	PaymentOrderOpenAmountRgslViewResultsContent	ui-label	Recipient	Recipient	Получатель	Recipient
UiSchema	PaymentOrderOpenAmountRgslViewResultsContent	ui-label	Debt amount	Debt amount	Сумма РНВ	Debt amount
UiSchema	PaymentOrderOpenAmountRgslViewResultsContent	ui-label	Open debt amount	Open debt amount	Сумма к выплате после взаимозачетов	Open debt amount
UiSchema	PaymentOrderOpenAmountRgslViewResultsContent	ui-label	Currency code	Currency code	Код валюты	Currency code
UiSchema	PaymentOrderOpenAmountRgslViewResultsContent	ui-label	Link to payment order	Link to payment order	Открыть РНВ	Open payment order
