ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
ViewConfiguration	PolicyOpenAmountRgslView	actors	PaymentDistributor	PaymentDistributor	Специалист по распределению платежей	Payment Distributor
ViewConfiguration	PolicyOpenAmountRgslView	actors	ChiefPaymentDistributor	ChiefPaymentDistributor	Администратор по распределению платежей	Chief Payment Distributor
ViewConfiguration	PolicyOpenAmountRgslView	rootConfiguration	PolicyOpenAmountRgslView@Title	PolicyOpenAmountRgslView	Ручная идентификация	Document open amount
UiSchema	PolicyOpenAmountRgslViewFiltersContent	ui-label	Contract	Contract	Договор	Contract
UiSchema	PolicyOpenAmountRgslViewFiltersContent	ui-label	startDateFrom	startDateFrom	Дата начала от	Start date from
UiSchema	PolicyOpenAmountRgslViewFiltersContent	ui-label	startDateTo	startDateTo	Дата начала до	Start date to
UiSchema	PolicyOpenAmountRgslViewFiltersContent	ui-label	Policy holder	Policy holder	Страхователь	Policy holder
UiSchema	PolicyOpenAmountRgslViewResultsContent	ui-label	Contract No	Contract No	Номер договора	Contract Number
UiSchema	PolicyOpenAmountRgslViewResultsContent	ui-label	Start date	Start date	Дата начала	Start date
UiSchema	PolicyOpenAmountRgslViewResultsContent	ui-label	Policy Holder	Policy Holder	Страхователь	Policy holder
UiSchema	PolicyOpenAmountRgslViewResultsContent	ui-label	Debt amount	Debt amount	Сумма задолженности	Debt amount
UiSchema	PolicyOpenAmountRgslViewResultsContent	ui-label	Open debt amount	Open debt amount	Сумма остатка по договору	Open debt amount
UiSchema	PolicyOpenAmountRgslViewResultsContent	ui-label	Currency code	Currency code	Код валюты	Currency code
UiSchema	PolicyOpenAmountRgslViewResultsContent	ui-label	Product	Product	Продукт	Product
UiSchema	PolicyOpenAmountRgslViewResultsContent	ui-label	Link to contract	Link to contract	Открыть договор	Open contract
