ApplicationRole	PermissionType	CodeName	ConceptTypeName	AssignedPermission	AssignmentOperator
General	Execute Service	CommissionActItemsRgslExportExcel	DataExportConfiguration	*	Add
General	Execute Service	CommissionActRgslExportExcel	DataExportConfiguration	*	Add
General	Execute Service	CommissionActSearchRgslExportExcel	DataExportConfiguration	*	Add
ViewerCommissionAct	Execute Service	AvailableCommissionContractDataSource	DataSourceConfiguration	*	Add
General	Execute Service	AvailableCommissionDataSource	DataSourceConfiguration	*	Add
General	Execute Service	CommissionActCalcInfoDataSource	DataSourceConfiguration	*	Add
ViewerCommissionAct	Execute Service	CommissionActGetVatRateRgslDataSource	DataSourceConfiguration	*	Add
General	Execute Service	CommissionActHistoryRgslDataSource	DataSourceConfiguration	*	Add
General	Execute Service	CommissionActIntersectionRgslDataSource	DataSourceConfiguration	*	Add
General	Execute Service	CommissionActItemJsonDataSource	DataSourceConfiguration	*	Add
General	Execute Service	CommissionActProductFilterDataSource	DataSourceConfiguration	*	Add
General	Execute Service	CommissionActRgslExportDataSource	DataSourceConfiguration	*	Add
General	Execute Service	CommissionActSearchRgslDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetCommissionActAutoPopulationPcDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetCommissionActItemsWithoutJsonDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetCommissionActWithoutDocumentDataSource	DataSourceConfiguration	*	Add
General	Execute Service	PopulateActItemsDataLoader	DataSourceConfiguration	*	Add
AdminCommissionAct	Allow Actor	CommissionAct	DocumentConfiguration	AdminCommissionAct	Add
System	Allow Actor	CommissionAct	DocumentConfiguration	System	Add
UserCommissionAct	Allow Actor	CommissionAct	DocumentConfiguration	UserCommissionAct	Add
ViewerCommissionAct	Allow Actor	CommissionAct	DocumentConfiguration	ViewerCommissionAct	Add
ServiceExecutor	Execute Service	FixCommissionActWithoutDocumentEtl	EtlServiceConfiguration	*	Add
ServiceExecutor	Execute Service	FixCommissionActWithoutJsonDataEtl	EtlServiceConfiguration	*	Add
AdminCommissionAct	Execute Service	ActAutoPopulate	IntegrationServiceConfiguration	*	Add
ServiceExecutor	Execute Service	UpdateActItemJson	IntegrationServiceConfiguration	*	Add
ViewerCommissionAct	Allow Actor	AvailableCommissionContractView	ViewConfiguration	ViewerCommissionAct	Add
AdminCommissionAct	Allow Actor	AvailableCommissionView	ViewConfiguration	AdminCommissionAct	Add
UserCommissionAct	Allow Actor	AvailableCommissionView	ViewConfiguration	UserCommissionAct	Add
ViewerCommissionAct	Allow Actor	AvailableCommissionView	ViewConfiguration	ViewerCommissionAct	Add
AdminCommissionAct	Allow Actor	CommissionActHistoryView	ViewConfiguration	AdminCommissionAct	Add
UserCommissionAct	Allow Actor	CommissionActHistoryView	ViewConfiguration	UserCommissionAct	Add
ViewerCommissionAct	Allow Actor	CommissionActHistoryView	ViewConfiguration	ViewerCommissionAct	Add
AdminCommissionAct	Allow Actor	CommissionActItemRgslView	ViewConfiguration	AdminCommissionAct	Add
UserCommissionAct	Allow Actor	CommissionActItemRgslView	ViewConfiguration	UserCommissionAct	Add
ViewerCommissionAct	Allow Actor	CommissionActItemRgslView	ViewConfiguration	ViewerCommissionAct	Add
AdminCommissionAct	Allow Actor	CommissionActItemSearchRgslView	ViewConfiguration	AdminCommissionAct	Add
UserCommissionAct	Allow Actor	CommissionActItemSearchRgslView	ViewConfiguration	UserCommissionAct	Add
ViewerCommissionAct	Allow Actor	CommissionActItemSearchRgslView	ViewConfiguration	ViewerCommissionAct	Add
AdminCommissionAct	Allow Actor	CommissionActItemSearchRgslViewInline	ViewConfiguration	AdminCommissionAct	Add
UserCommissionAct	Allow Actor	CommissionActItemSearchRgslViewInline	ViewConfiguration	UserCommissionAct	Add
ViewerCommissionAct	Allow Actor	CommissionActItemSearchRgslViewInline	ViewConfiguration	ViewerCommissionAct	Add
AdminCommissionAct	Allow Actor	CommissionActSearchRgslView	ViewConfiguration	AdminCommissionAct	Add
UserCommissionAct	Allow Actor	CommissionActSearchRgslView	ViewConfiguration	UserCommissionAct	Add
ViewerCommissionAct	Allow Actor	CommissionActSearchRgslView	ViewConfiguration	ViewerCommissionAct	Add
AdminCommissionAct	Allow Actor	PopulateFromFileView	ViewConfiguration	AdminCommissionAct	Add
UserCommissionAct	Allow Actor	PopulateFromFileView	ViewConfiguration	UserCommissionAct	Add
AdminCommissionAct	Allow Actor	SelectActStatusView	ViewConfiguration	AdminCommissionAct	Add
UserCommissionAct	Allow Actor	SelectActStatusView	ViewConfiguration	UserCommissionAct	Add
AdminCommissionAct	Allow Actor	UpdateActItemCommRateView	ViewConfiguration	AdminCommissionAct	Add
UserCommissionAct	Allow Actor	UpdateActItemCommRateView	ViewConfiguration	UserCommissionAct	Add
