ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
UiSchema	CommissionActItemResultComponent	ui-label	Link to contract	Link to contract	Open contract	Открыть договор
UiSchema	CommissionActItemResultComponent	ui-label	StatusId	StatusId	Status id	Статус строки
UiSchema	CommissionActItemResultComponent	ui-label	ActStateCode	ActStateCode	Act status	Статус АВР
UiSchema	CommissionActItemResultComponent	ui-label	ReportingPeriodFrom	ReportingPeriodFrom	Reporting period from	Отчетный период, с
UiSchema	CommissionActItemResultComponent	ui-label	ReportingPeriodTo	ReportingPeriodTo	Reporting period to	Отчетный период, по
UiSchema	CommissionActItemResultComponent	ui-label	IssueDate	IssueDate	Issue date	Дата выпуска АВР
UiSchema	CommissionActItemResultComponent	ui-label	ActNo	ActNo	Act no	Номер АВР
UiSchema	CommissionActItemResultComponent	ui-label	AgentAgreementNumber	AgentAgreementNumber	AA number	Номер АД
UiSchema	CommissionActItemResultComponent	ui-label	AAExternalNumber	AAExternalNumber	AA external number	Внешний номер АД
UiSchema	CommissionActItemResultComponent	ui-label	AgentName	AgentName	Agent	Агент
UiSchema	CommissionActItemResultComponent	ui-label	ReferenceNo	ReferenceNo	Reference no	Номер договора
UiSchema	CommissionActItemResultComponent	ui-label	stateCodeDescription	stateCodeDescription	State code	Статус договора
UiSchema	CommissionActItemResultComponent	ui-label	hasNoChanges	hasNoChanges	Has no changes	Статус платежа
UiSchema	CommissionActItemResultComponent	ui-label	HolderName	HolderName	Holder name	Страхователь
UiSchema	CommissionActItemResultComponent	ui-label	ProductCode	ProductCode	Product code	Код продукта
UiSchema	CommissionActItemResultComponent	ui-label	Product	Product	Product	Продукт
UiSchema	CommissionActItemResultComponent	ui-label	SourceLineId	SourceLineId	Source line id	Покрытие
UiSchema	CommissionActItemResultComponent	ui-label	InsuredYearsCount	InsuredYearsCount	Insured years count	Срок страхования
UiSchema	CommissionActItemResultComponent	ui-label	PaymentPeriod	PaymentPeriod	Payment period	Период уплаты премии
UiSchema	CommissionActItemResultComponent	ui-label	InsuranceYear	InsuranceYear	Insurance year	Полисный год
