ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DataSchema	CommissionActSearchRgslDataSourceInputSchema	field-title	criteria	criteria	Criteria	Критериа
DataSchema	CommissionActSearchRgslDataSourceInputSchema	field-title	actId	actId	Act Id	ID акта
DataSchema	CommissionActSearchRgslDataSourceInputSchema	field-title	actNo	actNo	Act no	№ АВР
DataSchema	CommissionActSearchRgslDataSourceInputSchema	field-title	actStateCodes	actStateCodes	Act state codes	Статус АВР
DataSchema	CommissionActSearchRgslDataSourceInputSchema	field-title	lineContractNo	lineContractNo	Line contract no	Номер договора
DataSchema	CommissionActSearchRgslDataSourceInputSchema	field-title	reportingDateFrom	reportingDateFrom	Reporting date from	Дата отчетного периода АВР, с
DataSchema	CommissionActSearchRgslDataSourceInputSchema	field-title	reportingDateTo	reportingDateTo	Reporting date to	Дата отчетного периода АВР, по
DataSchema	CommissionActSearchRgslDataSourceInputSchema	field-title	issueDateFrom	issueDateFrom	Issue date from	Дата выпуска АВР, с
DataSchema	CommissionActSearchRgslDataSourceInputSchema	field-title	issueDateTo	issueDateTo	Issue date to	Дата выпуска АВР, по
DataSchema	CommissionActSearchRgslDataSourceInputSchema	field-title	actPayDateFrom	actPayDateFrom	Act pay date from	Дата оплаты АВР, с
DataSchema	CommissionActSearchRgslDataSourceInputSchema	field-title	actPayDateTo	actPayDateTo	Act pay date to	Дата оплаты АВР, по
