ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DocumentConfiguration	CommissionAct	actors	System	System	System	System
DocumentConfiguration	CommissionAct	actors	ViewerCommissionAct	ViewerCommissionAct	ViewerCommissionAct	Просмотр
DocumentConfiguration	CommissionAct	actors	UserCommissionAct	UserCommissionAct	Commission act user	Специалист АВР
DocumentConfiguration	CommissionAct	actors	AdminCommissionAct	AdminCommissionAct	Commission act admin	Администратор АВР
DocumentConfiguration	CommissionAct	rootConfiguration	CommissionAct@Title	CommissionAct	Commission act	Акт выполненных работ
UiSchema	CommissionActAditionalDataSearchFilters	ui-label	IncludedProducts	IncludedProducts	Included products	Включенные продукты
UiSchema	CommissionActAditionalDataSearchFilters	ui-label	ExcludedProducts	ExcludedProducts	Excluded products	Исключенные продукты
UiSchema	CommissionActAditionalDataSearchFilters	ui-label	IncludedProductGroup	IncludedProductGroup	Included product group	Включенные виды страхования
UiSchema	CommissionActAditionalDataSearchFilters	ui-label	ExcludedProductGroup	ExcludedProductGroup	Excluded product group	Исключенные виды страхования
UiSchema	CommissionActHeader	ui-label	ReportingPeriodFrom	ReportingPeriodFrom	Reporting period from	Отчетный период, с
UiSchema	CommissionActHeader	ui-label	ReportingPeriodTo	ReportingPeriodTo	Reporting period to	Отчетный период, по
UiSchema	CommissionActHeader	ui-label	ItemsCount	ItemsCount	Items count	Количество строк АВР
UiSchema	CommissionActHeader	ui-label	CommissionAmount	CommissionAmount	Commission amount	Сумма КВ к выплате
UiSchema	CommissionActHeader	ui-label	VatAmount	VatAmount	Vat amount	Сумма НДС
UiSchema	CommissionActHeader	ui-label	PeriodFrom	PeriodFrom	Period from	Дата поступления, с
UiSchema	CommissionActHeader	ui-label	PeriodTo	PeriodTo	Period to	Дата поступления, по
UiSchema	CommissionActHeader	ui-label	ActIssueDate	ActIssueDate	Issue date	Дата выпуска АВР (дата проводки)
UiSchema	CommissionActHeader	ui-label	PayDate	PayDate	Pay date	Дата оплаты акта
UiSchema	CommissionActHeader	ui-label	AaServiceProviderCode	AaServiceProviderCode	AA code	Посредник
UiSchema	CommissionActHeader	ui-label	AgentAgreementServiceProviderName	AgentAgreementServiceProviderName	Agent	Агент
UiSchema	CommissionActHeader	ui-label	AANumber	AANumber	AA number	№ Договора посредника
UiSchema	CommissionActHeader	ui-label	AgentPersonalNumber	AgentPersonalNumber	Agent personal number	ТНА
UiSchema	CommissionActHeader	ui-label	Notes	Notes	Notes	Примечание
UiSchema	CommissionActFooter	ui-label	printReport	printReport	Print Report	Печать
UiSchema	CommissionActFooter	ui-label	exportReport	exportReport	Export Report	Выгрузить
ClientAction	CommissionActOnBeforeSave	ui-message	WrongDuplicatePeriod	onBeforeSave	Wrong duplicate period	Создание акта невозможно, проверьте Даты отчетного периода: {{actNo}}.
ClientAction	CommissionActOnBeforeSave	ui-message	HasIntersections	onBeforeSave	Has intersections	Создание акта невозможно. Имеются пересечения продуктов с актом № {{actNo}}.
DataSchema	CommissionAct	field-title	actTypeId	actTypeId	Act type id	Тип акта
DataSchema	CommissionAct	field-title	actIssueDate	actIssueDate	Issue date	Дата выпуска АВР (дата проводки)
DataSchema	CommissionAct	field-title	aaServiceProviderName	aaServiceProviderName	Agent	Агент
DataSchema	CommissionAct	field-title	aaName	aaName	AA name	№ Договора посредника
DataSchema	CommissionAct	field-title	periodTo	periodTo	Period to	Дата поступления, по
DataSchema	CommissionAct	field-title	reportingPeriodFrom	reportingPeriodFrom	Reporting period from	Отчетный период, с
DataSchema	CommissionAct	field-title	reportingPeriodTo	reportingPeriodTo	Reporting period to	Отчетный период, по
UiSchema	CommissionActHeader	ui-label	OriginalReceiptDate	OriginalReceiptDate	Original receipt date	Дата получения оригинала акта
UiSchema	CommissionActAditionalDataSearchFilters	ui-label	isDocCorrect	isDocCorrect	Is documentation correct	Документация корректна
DocumentFlowDefinition	CommissionActFlow	transitions	transitions@Draft_To_Confirming@Title	Draft_To_Confirming	Draft_To_Confirming	Проект / На согласовании
DocumentFlowDefinition	CommissionActFlow	transitions	transitions@Draft_To_Deleted@Title	Draft_To_Deleted	Draft_To_Deleted	Проект / Удалён
