ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
UiSchema	AvailableCommissionContractViewFiltersContent	ui-label	AANumber	AANumber	AA number	Номер АД
UiSchema	AvailableCommissionContractViewFiltersContent	ui-label	AgentName	AgentName	Agent name	Агент
UiSchema	AvailableCommissionContractViewFiltersContent	ui-label	ContractNumbers	ContractNumbers	Contract numbers	Номера договоров
UiSchema	AvailableCommissionContractViewResultsContent	ui-label	aaExternalNumber	aaExternalNumber	AA external number	Внешний номер АД
UiSchema	AvailableCommissionContractViewResultsContent	ui-label	agent	agent	Agent	Агент
UiSchema	AvailableCommissionContractViewResultsContent	ui-label	contractNumber	contractNumber	Contract number	Номер договора
UiSchema	AvailableCommissionContractViewResultsContent	ui-label	contractStateCode	contractStateCode	Contract state	Статус договора
UiSchema	AvailableCommissionContractViewResultsContent	ui-label	installmentStatus	installmentStatus	Installment status	Статус платежа
UiSchema	AvailableCommissionContractViewResultsContent	ui-label	transactionDate	transactionDate	Transaction date	Дата прихода денег
UiSchema	AvailableCommissionContractViewResultsContent	ui-label	verificationState	verificationState	Verification state	Статус документации, наименование
ViewConfiguration	AvailableCommissionContractView	rootConfiguration	AvailableCommissionContractView@Title	AvailableCommissionContractView	Available commission contract view	Невыплаченное КВ
ViewConfiguration	AvailableCommissionContractView	dataExport	DefaultExportWithInputParams	DefaultExportWithInputParams	Default export with input params	Невыплаченное КВ
ViewConfiguration	AvailableCommissionContractView	actors	ViewerCommissionAct	ViewerCommissionAct	Viewer	Просмотр
