ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	AvailableCommissionView	actors	UserCommissionAct	UserCommissionAct	Commission act user	Специалист АВР
ViewConfiguration	AvailableCommissionView	actors	AdminCommissionAct	AdminCommissionAct	Commission act admin	Администратор АВР
ViewConfiguration	AvailableCommissionView	rootConfiguration	AvailableCommissionView@Title	AvailableCommissionView	Available commission	Кандидаты на выплату КВ
UiSchema	AvailableCommissionViewUiSchema	ui-label	AgentName	AgentName	Agent name	Агент
UiSchema	AvailableCommissionViewUiSchema	ui-label	AANumber	AANumber	AA number	№ Договора посредника
UiSchema	AvailableCommissionViewUiSchema	ui-label	TransactionDateFrom	TransactionDateFrom	Transaction date from	Дата поступления, с
UiSchema	AvailableCommissionViewUiSchema	ui-label	TransactionDateTo	TransactionDateTo	Transaction date to	Дата поступления, по
UiSchema	AvailableCommissionViewUiSchema	ui-label	Search	Search	Search	Поиск
UiSchema	AvailableCommissionViewUiSchema	ui-label	MainFilters	MainFilters	Main filters	Основные критерии поиска
UiSchema	AvailableCommissionViewUiSchema	ui-label	isDocCorrect	isDocCorrect	Is documentation correct	Документация корректна
ViewConfiguration	AvailableCommissionView	actors	ViewerCommissionAct	ViewerCommissionAct	ViewerCommissionAct	Просмотр
