ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	CommissionActItemRgslView	actors	UserCommissionAct	UserCommissionAct	Commission act user	Специалист АВР
ViewConfiguration	CommissionActItemRgslView	actors	AdminCommissionAct	AdminCommissionAct	Commission act admin	Администратор АВР
ViewConfiguration	CommissionActItemRgslView	rootConfiguration	CommissionActItemRgslView@Title	CommissionActItemRgslView	Commission act item view	Строки АВР
ClientAction	CommissionActItemRgslViewAutoPopulate	ui-message	AutoPopulatedSuccessfully	autoPopulate	Auto-populated successfully!	Авто-заполнен успешно!
ClientAction	CommissionActItemRgslViewClearAct	ui-message	ClearedSuccessfully	clearAct	Cleared successfully!	Очищен!
ClientAction	CommissionActItemRgslViewAnnulItem	ui-message	ItemWasAnnulled	annulItem	Item was annulled!	Строка акта была удалена!
ClientAction	CommissionActItemRgslViewRenewItem	ui-message	RenewSucceeded	renewItem	Item was renewed!	Строки акта были восстановлены!
ClientAction	CommissionActItemRgslViewChangeCommRate	ui-message	AtLeastOneItemMustBeSelected	changeCommRate	At least one item must be selected!	Хотя бы одна строка должна быть выбрана!
UiSchema	CommissionActItemRgslViewUiSchema	ui-label	Search	Search	Search	Поиск
UiSchema	CommissionActItemRgslViewUiSchema	ui-label	PopulateFromFile	PopulateFromFile	Populate from file	Заполнить из файла
UiSchema	CommissionActItemRgslViewUiSchema	ui-label	Clear	Clear	Clear	Очистить
UiSchema	CommissionActItemRgslViewUiSchema	ui-label	AutoPopulate	AutoPopulate	Auto-populate	Авто-заполнение
UiSchema	CommissionActItemRgslViewUiSchema	ui-label	stateCode	stateCode	State Code	Статус договора
UiSchema	CommissionActItemRgslViewUiSchema	ui-label	hasNoChanges	hasNoChanges	Has no changes	Статус платежа
UiSchema	CommissionActItemRgslViewUiSchema	ui-label	StatusId	StatusId	Status	Статус строки
UiSchema	CommissionActItemRgslViewUiSchema	ui-label	ClearAct	ClearAct	Clear act	Очистить акт
UiSchema	CommissionActItemRgslViewUiSchema	ui-label	AnnulItem	AnnulItem	Annul item	Удалить строку
UiSchema	CommissionActItemRgslViewUiSchema	ui-label	RenewItem	RenewItem	Renew item	Восстановить строку
UiSchema	CommissionActItemRgslViewUiSchema	ui-label	ChangeCommRate	ChangeCommRate	Change rate	Правка КВ
UiSchema	CommissionActItemRgslViewUiSchema	ui-label	ReferenceNo	ReferenceNo	Reference no	Номер договора
UiSchema	CommissionActItemRgslViewUiSchema	ui-label	HolderName	HolderName	Holder name	Страхователь
UiSchema	CommissionActItemRgslViewUiSchema	ui-label	StartDateFrom	StartDateFrom	Start date from	Дата начала ответственности. От
UiSchema	CommissionActItemRgslViewUiSchema	ui-label	StartDateTo	StartDateTo	Start date to	Дата начала ответственности. До
UiSchema	CommissionActItemRgslViewUiSchema	ui-label	EndDateFrom	EndDateFrom	End date from	Дата окончания ответственности. От
UiSchema	CommissionActItemRgslViewUiSchema	ui-label	EndDateTo	EndDateTo	End date to	Дата окончания ответственности. До
UiSchema	CommissionActItemRgslViewUiSchema	ui-label	CurrencyCode	CurrencyCode	Currency code	Валюта
UiSchema	CommissionActItemRgslViewUiSchema	ui-label	ProductCode	ProductCode	Product code	Код продукта
UiSchema	CommissionActItemRgslViewUiSchema	ui-label	SourceLineId	SourceLineId	Source line id	Покрытие
UiSchema	CommissionActItemRgslViewUiSchema	ui-label	InsuredYearsCount	InsuredYearsCount	Insured years count	Срок страхования
UiSchema	CommissionActItemRgslViewUiSchema	ui-label	PaymentPeriod	PaymentPeriod	Payment period	Период уплаты премии
UiSchema	CommissionActItemRgslViewUiSchema	ui-label	InsuranceYear	InsuranceYear	Insurance year	Полисный год
UiSchema	CommissionActItemRgslViewUiSchema	ui-label	DueDate	DueDate	Due date	Дата взноса
UiSchema	CommissionActItemRgslViewUiSchema	ui-label	PaymentFrequency	PaymentFrequency	Payment frequency	Периодичность уплаты взносов
UiSchema	CommissionActItemRgslViewUiSchema	ui-label	PaymentTransactionDate	PaymentTransactionDate	Payment transaction date	Дата платежа
UiSchema	CommissionActItemRgslViewUiSchema	ui-label	PaymentFrequency2	PaymentFrequency2	Payment Frequency 2	Порядок оплаты страховой премии
UiSchema	CommissionActItemRgslViewUiSchema	ui-label	InstallmentType	InstallmentType	Installment type	Тип взноса
UiSchema	CommissionActItemRgslViewUiSchema	ui-label	PaymentLcAmount	PaymentLcAmount	Payment amount (LC cur)	Сумма платежа, руб
UiSchema	CommissionActItemRgslViewUiSchema	ui-label	ItemSearchFilters	ItemSearchFilters	Item search filters	Фильтр по строкам акта
UiSchema	CommissionActItemRgslViewUiSchema	ui-label	GroupByContract	GroupByContract	Group by contract	Сгруппировать по договору
UiSchema	CommissionActItemRgslViewUiSchema	ui-label	DocumentNumbers	DocumentNumbers	Document numbers	Список договоров
UiSchema	CommissionActItemRgslViewUiSchema	ui-label	Notes	Notes	Notes	Примечание
ViewConfiguration	CommissionActItemRgslView	actors	ViewerCommissionAct	ViewerCommissionAct	ViewerCommissionAct	Просмотр
