ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	CommissionActItemSearchRgslView	actors	UserCommissionAct	UserCommissionAct	Commission act user	Специалист АВР
ViewConfiguration	CommissionActItemSearchRgslView	actors	AdminCommissionAct	AdminCommissionAct	Commission act admin	Администратор АВР
ViewConfiguration	CommissionActItemSearchRgslView	rootConfiguration	CommissionActItemSearchRgslView@Title	CommissionActItemSearchRgslView	Commission act item view	Строки АВР
UiSchema	CommissionActItemSearchRgslViewFiltersContent	ui-label	DocumentNumbers	DocumentNumbers	Document numbers	Номера договоров
UiSchema	CommissionActItemSearchRgslViewFiltersContent	ui-label	GroupByContract	GroupByContract	Group by contract	Сгруппировать по договору
UiSchema	CommissionActItemSearchRgslViewFiltersContent	ui-label	ActType	ActType	Act type	Тип акта
UiSchema	CommissionActItemSearchRgslViewFiltersContent	ui-label	ActNo	ActNo	ActNo	№ АВР
UiSchema	CommissionActItemSearchRgslViewFiltersContent	ui-label	ActStateCodes	ActStateCodes	ActStateCodes	Статус АВР
UiSchema	CommissionActItemSearchRgslViewFiltersContent	ui-label	StatusId	StatusId	Status id	Статус строки
UiSchema	CommissionActItemSearchRgslViewFiltersContent	ui-label	ReportingDateFrom	ReportingDateFrom	ReportingDateFrom	Дата отчетного периода АВР, с
UiSchema	CommissionActItemSearchRgslViewFiltersContent	ui-label	ReportingDateTo	ReportingDateTo	ReportingDateTo	Дата отчетного периода АВР, по
UiSchema	CommissionActItemSearchRgslViewFiltersContent	ui-label	IssueDateFrom	IssueDateFrom	IssueDateFrom	Дата выпуска АВР, с
UiSchema	CommissionActItemSearchRgslViewFiltersContent	ui-label	IssueDateTo	IssueDateTo	IssueDateTo	Дата выпуска АВР, по
UiSchema	CommissionActItemSearchRgslViewFiltersContent	ui-label	Notes	Notes	Notes	Примечание
ViewConfiguration	CommissionActItemSearchRgslView	actors	ViewerCommissionAct	ViewerCommissionAct	ViewerCommissionAct	Просмотр
