ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	CommissionActSearchRgslView	actors	UserCommissionAct	UserCommissionAct	Commission act user	Специалист АВР
ViewConfiguration	CommissionActSearchRgslView	actors	AdminCommissionAct	AdminCommissionAct	Commission act admin	Администратор АВР
ViewConfiguration	CommissionActSearchRgslView	rootConfiguration	CommissionActSearchRgslView@Title	CommissionActSearchRgslView	Commission Acts	Журнал АВР
UiSchema	CommissionActSearchRgslViewFiltersContent	ui-label	LineContractNo	LineContractNo	LineContractNo	№ Договора страхования
UiSchema	CommissionActSearchRgslViewFiltersContent	ui-label	LineBusinessLine	LineBusinessLine	LineBusinessLine	Линия бизнеса
UiSchema	CommissionActSearchRgslViewFiltersContent	ui-label	LineProductGroup	LineProductGroup	LineProductGroup	Вид страхования
UiSchema	CommissionActSearchRgslViewFiltersContent	ui-label	LineProducts	LineProducts	LineProducts	Продукт
UiSchema	CommissionActSearchRgslViewFiltersContent	ui-label	ActNo	ActNo	ActNo	№ АВР
UiSchema	CommissionActSearchRgslViewFiltersContent	ui-label	ActStateCodes	ActStateCodes	ActStateCodes	Статус АВР
UiSchema	CommissionActSearchRgslViewFiltersContent	ui-label	AaServiceProviderCode	AaServiceProviderCode	Agent code	Посредник
UiSchema	CommissionActSearchRgslViewFiltersContent	ui-label	AANumbers	AANumbers	AANumbers	№ Договора посредника
UiSchema	CommissionActSearchRgslViewFiltersContent	ui-label	ActType	ActType	Act type	Тип акта
UiSchema	CommissionActSearchRgslViewFiltersContent	ui-label	ReportingDateFrom	ReportingDateFrom	ReportingDateFrom	Дата отчетного периода АВР, с
UiSchema	CommissionActSearchRgslViewFiltersContent	ui-label	ReportingDateTo	ReportingDateTo	ReportingDateTo	Дата отчетного периода АВР, по
UiSchema	CommissionActSearchRgslViewFiltersContent	ui-label	IssueDateFrom	IssueDateFrom	IssueDateFrom	Дата выпуска АВР, с
UiSchema	CommissionActSearchRgslViewFiltersContent	ui-label	IssueDateTo	IssueDateTo	IssueDateTo	Дата выпуска АВР, по
UiSchema	CommissionActSearchRgslViewFiltersContent	ui-label	ActPayDateFrom	ActPayDateFrom	ActPayDateFrom	Дата оплаты АВР, с
UiSchema	CommissionActSearchRgslViewFiltersContent	ui-label	ActPayDateTo	ActPayDateTo	ActPayDateTo	Дата оплаты АВР, по
UiSchema	CommissionActSearchRgslViewFiltersContent	ui-label	Notes	Notes	Notes	Примечание
UiSchema	CommissionActSearchRgslViewFiltersContent	ui-label	LineInstallmentDateFrom	LineInstallmentDateFrom	LineInstallmentDateFrom	Начисление премии, с
UiSchema	CommissionActSearchRgslViewFiltersContent	ui-label	LineInstallmentDateTo	LineInstallmentDateTo	LineInstallmentDateTo	Начисление премии, по
UiSchema	CommissionActSearchRgslViewFiltersContent	ui-label	LinePaymentDateFrom	LinePaymentDateFrom	LinePaymentDateFrom	Дата платежа, с
UiSchema	CommissionActSearchRgslViewFiltersContent	ui-label	LinePaymentDateTo	LinePaymentDateTo	LinePaymentDateTo	Дата платежа, по
UiSchema	CommissionActSearchRgslViewResultsContent	ui-label	ActNo	ActNo	ActNo	№ АВР
UiSchema	CommissionActSearchRgslViewResultsContent	ui-label	ActIssueDate	ActIssueDate	ActIssueDate	Дата выпуска АВР
UiSchema	CommissionActSearchRgslViewResultsContent	ui-label	AANumber	AANumber	AANumber	Номер АД
UiSchema	CommissionActSearchRgslViewResultsContent	ui-label	AAPartyType	AAPartyType	AAPartyType	Тип агента
UiSchema	CommissionActSearchRgslViewResultsContent	ui-label	PremiumAmount	PremiumAmount	PremiumAmount	Сумма премии, руб.
UiSchema	CommissionActSearchRgslViewResultsContent	ui-label	CommissionAmount	CommissionAmount	CommissionAmount	КВ к выплате, руб.
UiSchema	CommissionActSearchRgslViewResultsContent	ui-label	AaServiceProviderName	AaServiceProviderName	Agent name	Имя агента
UiSchema	CommissionActSearchRgslViewResultsContent	ui-label	ActStateCode	ActStateCode	ActStateCode	Статус АВР
UiSchema	CommissionActSearchRgslViewResultsContent	ui-label	ReportingPeriodFrom	ReportingPeriodFrom	ReportingPeriodFrom	Период, с
UiSchema	CommissionActSearchRgslViewResultsContent	ui-label	ReportingPeriodTo	ReportingPeriodTo	ReportingPeriodTo	Период, по
UiSchema	CommissionActSearchRgslViewResultsContent	ui-label	ActPayDate	ActPayDate	ActPayDate	Дата оплаты АВР
UiSchema	CommissionActSearchRgslViewFiltersContent	ui-label	HasCommAmountLc	HasCommAmountLc	HasCommAmountLc	Отображать только акты с выплатой
UiSchema	CommissionActSearchRgslViewFiltersContent	ui-label	AgentAgreementServiceProviderName	AgentAgreementServiceProviderName	Agent	Агент
UiSchema	CommissionActSearchRgslViewFiltersContent	ui-label	MainFilters	MainFilters	MainFilters	Основные критерии поиска
UiSchema	CommissionActSearchRgslViewFiltersContent	ui-label	AdditionalFilters	AdditionalFilters	AdditionalFilters	Дополнительные критерии поиска
UiSchema	CommissionActSearchRgslViewResultsContent	ui-label	AAExternalNumber	AAExternalNumber	AAExternalNumber	Внешний номер АД
UiSchema	CommissionActSearchRgslViewResultsContent	ui-label	AACbAgentType	AACbAgentType	AACbAgentType	Тип агента ЦБ
