ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	UpdateActItemCommRateView	actors	UserCommissionAct	UserCommissionAct	Commission act user	Специалист АВР
ViewConfiguration	UpdateActItemCommRateView	actors	AdminCommissionAct	AdminCommissionAct	Commission act admin	Администратор АВР
ViewConfiguration	UpdateActItemCommRateView	rootConfiguration	UpdateActItemCommRateView@Title	UpdateActItemCommRateView	Update act item commission rate	Обновить КВ строки акта
ClientAction	UpdateActItemCommRateViewConfirm	ui-message	UpdatedSuccessfully	confirm	Updated successfully!	Успешно обновлён!
UiSchema	UpdateActItemCommRateViewUiSchema	ui-label	LcCommAmountManual	LcCommAmountManual	LC commission amount (Manual)	Сумма КВ руб. (Ручное)
UiSchema	UpdateActItemCommRateViewUiSchema	ui-label	LcCommAmount	LcCommAmount	LC commission amount	Сумма КВ руб.
UiSchema	UpdateActItemCommRateViewUiSchema	ui-label	CommRateManual	CommRateManual	Commission rate (Manual)	Ставка КВ (Ручное)
UiSchema	UpdateActItemCommRateViewUiSchema	ui-label	CommRate	CommRate	Commission rate	Ставка КВ
UiSchema	UpdateActItemCommRateViewUiSchema	ui-label	Confirm	Confirm	Confirm	Подтвердить
UiSchema	UpdateActItemCommRateViewUiSchema	ui-label	Cancel	Cancel	Cancel	Отменить
