ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DocumentConfiguration	PaymentOrder	actors	System	System	System	System
DocumentConfiguration	PaymentOrder	actors	PaymentOrderAdministrator	PaymentOrderAdministrator	PaymentOrderAdministrator	Администратор РНВ
DocumentConfiguration	PaymentOrder	actors	PaymentOrderSpecialist	PaymentOrderSpecialist	PaymentOrderSpecialist	Специалист РНВ
DocumentConfiguration	PaymentOrder	actors	PaymentOrderViewer	PaymentOrderViewer	PaymentOrderViewer	Просмотр
DocumentConfiguration	PaymentOrder	rootConfiguration	PaymentOrder@Title	PaymentOrder	Payment order	Распоряжение на выплату
DocumentFlowDefinition	PaymentOrderFlow	operations	operations@Save@Title	Save	Save	Сохранить
DocumentFlowDefinition	PaymentOrderFlow	states	states@Draft	Draft	Draft	Проект
DocumentFlowDefinition	PaymentOrderFlow	states	states@WaitingForApproval	WaitingForApproval	Waiting For Approval	На согласовании
DocumentFlowDefinition	PaymentOrderFlow	states	states@Cancelled	Cancelled	Cancelled	Аннулировано
DocumentFlowDefinition	PaymentOrderFlow	states	states@Approved	Approved	Approved	Подтверждено
DocumentFlowDefinition	PaymentOrderFlow	states	states@Paid	Paid	Paid	Оплачено
DocumentFlowDefinition	PaymentOrderFlow	states	states@PaidCancelledNetting	PaidCancelledNetting	Paid (Cancelled netting)	Оплачено (Отмена зачета)
DocumentFlowDefinition	PaymentOrderFlow	states	states@PaymentError	PaymentError	PaymentError	Ошибка выполнения платежа
DocumentFlowDefinition	PaymentOrderFlow	states	states@UpdateRelatedEntitiesError	UpdateRelatedEntitiesError	states@UpdateRelatedEntitiesError	Ошибка обновления связанных сущностей
DocumentFlowDefinition	PaymentOrderFlow	transitions	transitions@Draft_to_WaitingForApproval@Title	Draft_to_WaitingForApproval	Send to approval	Отправить на согласование
DocumentFlowDefinition	PaymentOrderFlow	transitions	transitions@WaitingForApproval_to_Draft@Title	WaitingForApproval_to_Draft	To draft	Проект
DocumentFlowDefinition	PaymentOrderFlow	transitions	transitions@Draft_to_Cancelled@Title	Draft_to_Cancelled	Cancel	Отменить
DocumentFlowDefinition	PaymentOrderFlow	transitions	transitions@WaitingForApproval_to_Cancelled@Title	WaitingForApproval_to_Cancelled	Cancel	Отменить
DocumentFlowDefinition	PaymentOrderFlow	transitions	transitions@Approved_to_Paid@Title	Approved_to_Paid	Paid	Оплатить
DocumentFlowDefinition	PaymentOrderFlow	transitions	transitions@Paid_to_PaidCancelledNetting@Title	Paid_to_PaidCancelledNetting	Paid_to_PaidCancelledNetting	Оплачено (Отмена зачета)
