ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
ViewConfiguration	PODocumentSearchView	actors	General	General	Общий	General
UiSchema	PODocumentSearchViewFiltersContent	ui-label	paymentOrderNumber	paymentOrderNumber	Номер РНВ	paymentOrderNumber
UiSchema	PODocumentSearchViewFiltersContent	ui-label	contractNumbers	contractNumbers	Номера договоров	contractNumbers
UiSchema	PODocumentSearchViewFiltersContent	ui-label	paymentOrderDateFrom	paymentOrderDateFrom	Дата РНВ с	paymentOrderDateFrom
UiSchema	PODocumentSearchViewFiltersContent	ui-label	paymentOrderDateTo	paymentOrderDateTo	Дата РНВ по	paymentOrderDateTo
UiSchema	PODocumentSearchViewFiltersContent	ui-label	paymentOrderType	paymentOrderType	Тип РНВ	paymentOrderType
UiSchema	PODocumentSearchViewFiltersContent	ui-label	stateCode	stateCode	Статус	stateCode
UiSchema	PODocumentSearchViewFiltersContent	ui-label	Currency	Currency	Валюта	Currency
UiSchema	PODocumentSearchViewFiltersContent	ui-label	recipient	recipient	Получатель	recipient
UiSchema	PODocumentSearchViewFiltersContent	ui-label	totalPaymentAmountFrom	totalPaymentAmountFrom	Сумма РНВ от	totalPaymentAmountFrom
UiSchema	PODocumentSearchViewFiltersContent	ui-label	totalPaymentAmountTo	totalPaymentAmountTo	Сумма РНВ до	totalPaymentAmountTo
UiSchema	PODocumentSearchViewFiltersContent	ui-label	isCoolOffPeriod	isCoolOffPeriod	Период охлаждения	isCoolOffPeriod
UiSchema	PODocumentSearchViewResultsContent	ui-label	paymentOrderNumber	paymentOrderNumber	Номер РНВ	paymentOrderNumber
UiSchema	PODocumentSearchViewResultsContent	ui-label	paymentOrderType	paymentOrderType	Тип РНВ	paymentOrderType
UiSchema	PODocumentSearchViewResultsContent	ui-label	paymentOrderDate	paymentOrderDate	Дата РНВ	paymentOrderDate
UiSchema	PODocumentSearchViewResultsContent	ui-label	stateCode	stateCode	Статус	stateCode
UiSchema	PODocumentSearchViewResultsContent	ui-label	recipient	recipient	Получатель	recipient
UiSchema	PODocumentSearchViewResultsContent	ui-label	totalPaymentAmount	totalPaymentAmount	Сумма РНВ	totalPaymentAmount
UiSchema	PODocumentSearchViewResultsContent	ui-label	paymentOrderCurrencyCode	paymentOrderCurrencyCode	Валюта РНВ	paymentOrderCurrencyCode
UiSchema	PODocumentSearchViewResultsContent	ui-label	paymentCurrencyCode	paymentCurrencyCode	Валюта платежа	paymentCurrencyCode
UiSchema	PODocumentSearchViewResultsContent	ui-label	paymentDescription	paymentDescription	Назначение платежа	paymentDescription
UiSchema	PODocumentSearchViewResultsContent	ui-label	isCoolOffPeriod	isCoolOffPeriod	Период охлаждения	isCoolOffPeriod
UiSchema	PODocumentSearchViewResultsContent	ui-label	documentCode	documentCode	Номер РНВ	documentCode
UiSchema	PODocumentSearchViewResultsContent	ui-label	contractNumber	contractNumber	Договор страхования	contractNumber
ViewConfiguration	PODocumentSearchView	rootConfiguration	PODocumentSearchView@Title	PODocumentSearchView	Журнал РНВ	PODocumentSearchView
