ApplicationRole	PermissionType	CodeName	ConceptTypeName	AssignedPermission	AssignmentOperator
Accountant	Allow Actor	RSD	DocumentConfiguration	Accountant	Add
ChiefAccountant	Allow Actor	RSD	DocumentConfiguration	ChiefAccountant	Add
ServiceExecutor	Execute Service	CalculateRsdPpDataEtl	EtlServiceConfiguration	*	Add
ServiceExecutor	Execute Service	CreateRsdPaymentsForContractsEtl	EtlServiceConfiguration	*	Add
ServiceExecutor	Execute Service	CalculateRsdPpData	IntegrationServiceConfiguration	*	Add
ServiceExecutor	Execute Service	RsdAutoPopulate	IntegrationServiceConfiguration	*	Add
ServiceExecutor	Execute Service	RsdPopulateViaFile	IntegrationServiceConfiguration	*	Add
ServiceExecutor	Execute Service	RsdDeleteItem	IntegrationServiceConfiguration	*	Add
Accountant	Allow Actor	RsdSearchView	ViewConfiguration	Accountant	Add
ChiefAccountant	Allow Actor	RsdSearchView	ViewConfiguration	ChiefAccountant	Add
ChiefAccountant	Allow Actor	RsdPopulateFromFileView	ViewConfiguration	ChiefAccountant	Add
Accountant	Allow Actor	RsdItemView	ViewConfiguration	Accountant	Add
ChiefAccountant	Allow Actor	RsdItemView	ViewConfiguration	ChiefAccountant	Add
General	Execute Service	GetRsdCandidatesToBePaidDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetRsdDocumentDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetRsdDocumentItemsDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetRsdJobLogInfoDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetRsdPaymentPlanCandidatesDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetRsdPaymentPlanDataDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetRsdPaymentPlanDataFromPolicyDataSource	DataSourceConfiguration	*	Add
General	Execute Service	PopulateRsdItemsDataLoader	DataSourceConfiguration	*	Add
General	Execute Service	RsdItemsExportExcel	DataExportConfiguration	*	Add
