ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DocumentConfiguration	RSD	actors	Accountant	Accountant	Accountant	Бухгалтер
DocumentConfiguration	RSD	actors	ChiefAccountant	ChiefAccountant	ChiefAccountant	Главный бухгалтер
DocumentConfiguration	RSD	rootConfiguration	RSD@Title	RSD	RSD	РСД
DocumentFlowDefinition	RSDFlow	transitions	transitions@Draft_To_Completing@Title	Draft_To_Completing	To completing	Подтвердить документ
DocumentFlowDefinition	RSDFlow	transitions	transitions@Completing_To_Completed@Title	Completing_To_Completed	To completed	Завершить подтверждение
DocumentFlowDefinition	RSDFlow	transitions	transitions@Draft_To_Annulled@Title	Draft_To_Annulled	To annulled	Удалить документ
DocumentFlowDefinition	RSDFlow	operations	operations@Save@Title	Save	Save	Сохранить
DocumentFlowDefinition	RSDFlow	states	states@Draft	Draft	Draft	Проект
DocumentFlowDefinition	RSDFlow	states	states@Completing	Completing	Completing	В процессе подтверждения
DocumentFlowDefinition	RSDFlow	states	states@Completed	Completed	Completed	Проведён
DocumentFlowDefinition	RSDFlow	states	states@Annulled	Annulled	Annulled	Аннулирован
UiSchema	RSDMainContent	ui-label	Main	Main	Main	Основная информация
UiSchema	RSDMainContent	ui-label	CreatedDate	CreatedDate	Created date	Дата формирования
UiSchema	RSDMainContent	ui-label	Notes	Notes	Notes	Комментарий
UiSchema	RSDMainContent	ui-label	AutoPopulate	AutoPopulate	Auto populate	Расчёт
UiSchema	RSDMainContent	ui-label	exportReport	exportReport	Export report	Выгрузить
UiSchema	RSDMainContent	ui-label	printReport	printReport	Print report	Печать
UiSchema	RSDMainContent	ui-label	History	History	History	История
ClientAction	RSDAutoPopulate	ui-message	AutoPopulatedSuccessfully	autoPopulate	Successfully populated!	Успешно заполнен!
ClientAction	RSDBeforeSave	ui-message	DraftRsdExists	beforeSave	Draft RSD already exists!	"РСД в статусе ""Проект"" уже существует!"
