ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	RsdItemView	actors	Accountant	Accountant	Accountant	Бухгалтер
ViewConfiguration	RsdItemView	actors	ChiefAccountant	ChiefAccountant	ChiefAccountant	Главный бухгалтер
ViewConfiguration	RsdItemView	rootConfiguration	RsdItemView@Title	RsdItemView	Rsd item view	РСД строки
UiSchema	RsdItemViewResultsContent	ui-label	Link to contract	Link to contract	Link to contract	Ссылка на договор
UiSchema	RsdItemViewResultsContent	ui-label	ContractNumber	ContractNumber	Contract number	Номер договора
UiSchema	RsdItemViewResultsContent	ui-label	Deadline date	Deadline date	Deadline date	Дата погашения
UiSchema	RsdItemViewResultsContent	ui-label	Due date	Due date	Due date	Дата взноса
UiSchema	RsdItemViewFiltersContent	ui-label	GroupByContract	GroupByContract	Group by contract	Сгруппировать по договору
UiSchema	RsdItemViewFiltersContent	ui-label	contractNumber	contractNumber	Contract number	Номер договора
UiSchema	RsdItemViewFiltersContent	ui-label	holderName	holderName	Holder name	Страхователь
UiSchema	RsdItemViewResultsContent	ui-label	Holder name	Holder name	Holder name	Страхователь
UiSchema	RsdItemViewResultsContent	ui-label	Item no	Item no	Item no	Покрытие
UiSchema	RsdItemViewResultsContent	ui-label	Open amount	Open amount	Open amount	Сумма задолженности
UiSchema	RsdItemViewResultsContent	ui-label	Overdue days	Overdue days	Overdue days	Кол-во дней просрочки
UiSchema	RsdItemViewResultsContent	ui-label	RSD amount	RSD amount	RSD amount	Сумма РСД
UiSchema	RsdItemViewResultsContent	ui-label	RSD amount (Manual)	RSD amount (Manual)	RSD amount (Manual)	Сумма РСД (Ручное)
UiSchema	RsdItemViewResultsContent	ui-label	RSD rate	RSD rate	RSD rate	% РСД
