ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	RsdSearchView	actors	Accountant	Accountant	Accountant	Бухгалтер
ViewConfiguration	RsdSearchView	actors	ChiefAccountant	ChiefAccountant	ChiefAccountant	Главный бухгалтер
ViewConfiguration	RsdSearchView	rootConfiguration	RsdSearchView@Title	RsdSearchView	RSD search view	Поиск РСД
UiSchema	RsdSearchViewFiltersContent	ui-label	rsdNumber	rsdNumber	RSD number	РСД номер
UiSchema	RsdSearchViewFiltersContent	ui-label	createdDateFrom	createdDateFrom	Created date from	Дата документа. От
UiSchema	RsdSearchViewFiltersContent	ui-label	createdDateTo	createdDateTo	Created date to	Дата документа. До
UiSchema	RsdSearchViewFiltersContent	ui-label	contractNumber	contractNumber	Contract number	Номер договора страхования
UiSchema	RsdSearchViewResultsContent	ui-label	rsdNumber	rsdNumber	RSD number	РСД номер
UiSchema	RsdSearchViewResultsContent	ui-label	rsdAmount	rsdAmount	RSD amount	Сумма документа
UiSchema	RsdSearchViewResultsContent	ui-label	stateDescription	stateDescription	State description	Статус документа
UiSchema	RsdSearchViewResultsContent	ui-label	stateChangedOn	stateChangedOn	State changed on	Дата последнего изменения статуса документа
UiSchema	RsdSearchViewResultsContent	ui-label	stateChangedBy	stateChangedBy	State changed by	Пользователь, который последний изменил статус по документу
