ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DocumentConfiguration	AccidentLifeInsuranceCancellation	actors	Operations	Operations	ОПЕРУ	Operations
DocumentConfiguration	AccidentLifeInsuranceCancellation	actors	Viewer	Viewer	Просмотр	Viewer
DocumentConfiguration	AccidentLifeInsuranceCancellation	actors	UKSP	UKSP	УКСП	UKSP
DocumentConfiguration	AccidentLifeInsuranceCancellation	actors	OperationsDirector	OperationsDirector	Руководитель-ОПЕРУ	OperationsDirector
DocumentFlowDefinition	AccidentLifeInsuranceCancellationFlow	operations	operations@Save@Title	Save	Сохранить	Save
DocumentFlowDefinition	AccidentLifeInsuranceCancellationFlow	states	states@Draft	Draft	Проект	Draft
DocumentFlowDefinition	AccidentLifeInsuranceCancellationFlow	states	states@Activated	Activated	Действует	Activated
DocumentFlowDefinition	AccidentLifeInsuranceCancellationFlow	states	states@Cancelled	Cancelled	Отменено	Cancelled
UiSchema	AccidentLifeInsuranceCancellationMainContent	ui-label	tabAmendmentConditions	tabAmendmentConditions	Условия	tabAmendmentConditions
UiSchema	AccidentLifeInsuranceCancellationMainContent	ui-label	History	History	История	History
DocumentConfiguration	AccidentLifeInsuranceCancellation	rootConfiguration	AccidentLifeInsuranceCancellation@Title	AccidentLifeInsuranceCancellation	Расторжение	AccidentLifeInsuranceCancellation
DataSchema	AccidentLifeInsuranceCancellation	field-title	commentIsRequired	commentIsRequired	комментарий	commentIsRequired
DataSchema	AccidentLifeInsuranceCancellation	field-title	commentAuthorIsRequired	commentAuthorIsRequired	автора	commentAuthorIsRequired
DocumentFlowDefinition	AccidentLifeInsuranceCancellationFlow	transitions	transitions@Draft_to_OperationsApproval@Title	Draft_to_OperationsApproval	Отправить на рассмотрение в ОПЕРУ	Draft_to_OperationsApproval
DocumentFlowDefinition	AccidentLifeInsuranceCancellationFlow	transitions	transitions@OperationsApproval_to_RequestToClient@Title	OperationsApproval_to_RequestToClient	Ожидание ответов на запросы	OperationsApproval_to_RequestToClient
DocumentFlowDefinition	AccidentLifeInsuranceCancellationFlow	transitions	transitions@OperationsApproval_to_Cancelled@Title	OperationsApproval_to_Cancelled	Отменить	OperationsApproval_to_Cancelled
DocumentFlowDefinition	AccidentLifeInsuranceCancellationFlow	transitions	transitions@OperationsApproval_to_Activated@Title	OperationsApproval_to_Activated	Действует	OperationsApproval_to_Activated
DocumentFlowDefinition	AccidentLifeInsuranceCancellationFlow	transitions	transitions@RequestToClient_to_OperationsApproval@Title	RequestToClient_to_OperationsApproval	Отправить на рассмотрение в ОПЕРУ	RequestToClient_to_OperationsApproval
DocumentFlowDefinition	AccidentLifeInsuranceCancellationFlow	transitions	transitions@OperationsDirectorApproval_to_SentToPayment@Title	OperationsDirectorApproval_to_SentToPayment	Передать на выплату	OperationsDirectorApproval_to_SentToPayment
DocumentFlowDefinition	AccidentLifeInsuranceCancellationFlow	transitions	transitions@OperationsDirectorApproval_to_OperationsApproval@Title	OperationsDirectorApproval_to_OperationsApproval	Отправить на рассмотрение в ОПЕРУ	OperationsDirectorApproval_to_OperationsApproval
DocumentFlowDefinition	AccidentLifeInsuranceCancellationFlow	transitions	transitions@SentToPayment_to_Paid@Title	SentToPayment_to_Paid	Оплачен	SentToPayment_to_Paid
DocumentFlowDefinition	AccidentLifeInsuranceCancellationFlow	states	states@OperationsApproval	OperationsApproval	На рассмотрении ОПЕРУ	OperationsApproval
DocumentFlowDefinition	AccidentLifeInsuranceCancellationFlow	states	states@RequestToClient	RequestToClient	Ожидание ответов на запросы	RequestToClient
DocumentFlowDefinition	AccidentLifeInsuranceCancellationFlow	states	states@OperationsDirectorApproval	OperationsDirectorApproval	На рассмотрении у руководителя ОПЕРУ	OperationsDirectorApproval
DocumentFlowDefinition	AccidentLifeInsuranceCancellationFlow	states	states@SentToPayment	SentToPayment	Передано на выплату	SentToPayment
DocumentFlowDefinition	AccidentLifeInsuranceCancellationFlow	states	states@Paid	Paid	Оплачен	Paid
DocumentConfiguration	AccidentLifeInsuranceCancellation	actors	System	System	Система	System
Rule	AccidentLifeInsuranceCancellationOperationsDirectorApproval_to_SentToPaymentTransitionRule	rule	validation@FullPackageReceiveDateIsRequired	OperationsDirectorApproval_to_SentToPayment	E: Дата получения полного комплекта обязательна для заполнения	E: validation@FullPackageReceiveDateIsRequired
Rule	AccidentLifeInsuranceCancellationOperationsDirectorApproval_to_SentToPaymentTransitionRule	rule	validation@ZeroTotalPaymentAmount	OperationsDirectorApproval_to_SentToPayment	E: Общий размер выплаты равен 0. Передать ДС на выплату не возможно.	E: validation@ZeroTotalPaymentAmount
UiSchema	AccidentLifeInsuranceCancellationMainContent	ui-label	CancellationInquiry	CancellationInquiry	Запрос в смежные подразделения	CancellationInquiry
DocumentConfiguration	AccidentLifeInsuranceCancellation	actors	ContractAdministrator	ContractAdministrator	Администратор договоров	ContractAdministrator
DocumentFlowDefinition	AccidentLifeInsuranceCancellationFlow	transitions	transitions@FinishPOCreation@Title	FinishPOCreation	Завершить формирование РНВ	FinishPOCreation
DocumentFlowDefinition	AccidentLifeInsuranceCancellationFlow	states	states@POCreation	POCreation	Формирование РНВ	POCreation
DocumentFlowDefinition	AccidentLifeInsuranceCancellationFlow	transitions	transitions@OperationsApproval_to_AwaitingApproval@Title	OperationsApproval_to_AwaitingApproval	Направить на согласование	OperationsApproval_to_AwaitingApproval
DocumentFlowDefinition	AccidentLifeInsuranceCancellationFlow	transitions	transitions@OperationsApproval_to_AwaitingCancellationDate@Title	OperationsApproval_to_AwaitingCancellationDate	Ожидает дату расторжения	OperationsApproval_to_AwaitingCancellationDate
DocumentFlowDefinition	AccidentLifeInsuranceCancellationFlow	transitions	transitions@AwaitingCancellationDate_to_OperationsApproval@Title	AwaitingCancellationDate_to_OperationsApproval	Ожидание даты расторжения	AwaitingCancellationDate_to_OperationsApproval
DocumentFlowDefinition	AccidentLifeInsuranceCancellationFlow	transitions	transitions@OperationsApproval_to_AwaitingPaymentDocuments@Title	OperationsApproval_to_AwaitingPaymentDocuments	Ожидает документы на выплату	OperationsApproval_to_AwaitingPaymentDocuments
DocumentFlowDefinition	AccidentLifeInsuranceCancellationFlow	transitions	transitions@OperationsApproval_to_POCreation@Title	OperationsApproval_to_POCreation	Передать на выплату	OperationsApproval_to_POCreation
DocumentFlowDefinition	AccidentLifeInsuranceCancellationFlow	transitions	transitions@OperationsApproval_to_Rejected@Title	OperationsApproval_to_Rejected	Отказ	OperationsApproval_to_Rejected
DocumentFlowDefinition	AccidentLifeInsuranceCancellationFlow	transitions	transitions@AwaitingApproval_to_OperationsApproval@Title	AwaitingApproval_to_OperationsApproval	Отправить на рассмотрение в ОПЕРУ	AwaitingApproval_to_OperationsApproval
DocumentFlowDefinition	AccidentLifeInsuranceCancellationFlow	transitions	transitions@AwaitingPaymentDocuments_to_POCreation@Title	AwaitingPaymentDocuments_to_POCreation	Передать на выплату	AwaitingPaymentDocuments_to_POCreation
DocumentFlowDefinition	AccidentLifeInsuranceCancellationFlow	transitions	transitions@AwaitingPaymentDocuments_to_Activated@Title	AwaitingPaymentDocuments_to_Activated	Действует	AwaitingPaymentDocuments_to_Activated
DocumentFlowDefinition	AccidentLifeInsuranceCancellationFlow	transitions	transitions@SentToPayment_to_Activated@Title	SentToPayment_to_Activated	Действует	SentToPayment_to_Activated
DocumentFlowDefinition	AccidentLifeInsuranceCancellationFlow	states	states@AwaitingApproval	AwaitingApproval	Ожидание согласования	AwaitingApproval
DocumentFlowDefinition	AccidentLifeInsuranceCancellationFlow	states	states@AwaitingCancellationDate	AwaitingCancellationDate	Ожидание даты расторжения	AwaitingCancellationDate
DocumentFlowDefinition	AccidentLifeInsuranceCancellationFlow	states	states@AwaitingPaymentDocuments	AwaitingPaymentDocuments	Ожидает документы на выплату	AwaitingPaymentDocuments
DocumentFlowDefinition	AccidentLifeInsuranceCancellationFlow	states	states@Rejected	Rejected	Отказ	Rejected
Rule	AccidentLifeInsuranceCancellationOperationsApproval_to_AwaitingApprovalTransitionRule	rule	validation@RejectionTextMustBeEmpty	OperationsApproval_to_AwaitingApproval	E: Причина отказа должна быть пустой	E: validation@RejectionTextMustBeEmpty
Rule	AccidentLifeInsuranceCancellationOperationsApproval_to_AwaitingApprovalTransitionRule	rule	validation@ZeroTotalPaymentAmount	OperationsApproval_to_AwaitingApproval	E: Общий размер выплаты равен 0. Передать ДС на выплату не возможно.	E: validation@ZeroTotalPaymentAmount
Rule	AccidentLifeInsuranceCancellationOperationsApproval_to_AwaitingApprovalTransitionRule	rule	validation@AtleastOneRecipientIsRequired	OperationsApproval_to_AwaitingApproval	E: Требуется указать хотя бы одного получателя	E: validation@AtleastOneRecipientIsRequired
Rule	AccidentLifeInsuranceCancellationOperationsApproval_to_AwaitingCancellationDateTransitionRule	rule	validation@CancellationDateAlreadyReached	OperationsApproval_to_AwaitingCancellationDate	E: Дата расторжения уже наступила	E: validation@CancellationDateAlreadyReached
Rule	AccidentLifeInsuranceCancellationOperationsApproval_to_AwaitingCancellationDateTransitionRule	rule	validation@RejectionTextMustBeEmpty	OperationsApproval_to_AwaitingCancellationDate	E: Причина отказа должна быть пустой	E: validation@RejectionTextMustBeEmpty
Rule	AccidentLifeInsuranceCancellationOperationsApproval_to_AwaitingPaymentDocumentsTransitionRule	rule	validation@FullPackageReceiveDateIsRequired	OperationsApproval_to_AwaitingPaymentDocuments	E: Дата получения полного комплекта обязательна для заполнения	E: validation@FullPackageReceiveDateIsRequired
Rule	AccidentLifeInsuranceCancellationOperationsApproval_to_AwaitingPaymentDocumentsTransitionRule	rule	validation@ZeroTotalPaymentAmount	OperationsApproval_to_AwaitingPaymentDocuments	E: Общий размер выплаты равен 0. Передать ДС на выплату не возможно.	E: validation@ZeroTotalPaymentAmount
Rule	AccidentLifeInsuranceCancellationOperationsApproval_to_AwaitingPaymentDocumentsTransitionRule	rule	validation@RejectionTextMustBeEmpty	OperationsApproval_to_AwaitingPaymentDocuments	E: Причина отказа должна быть пустой	E: validation@RejectionTextMustBeEmpty
Rule	AccidentLifeInsuranceCancellationOperationsApproval_to_POCreationTransitionRule	rule	validation@RejectionTextMustBeEmpty	OperationsApproval_to_POCreation	E: Причина отказа должна быть пустой	E: validation@RejectionTextMustBeEmpty
Rule	AccidentLifeInsuranceCancellationOperationsApproval_to_RejectedTransitionRule	rule	validation@RejectionTextIsRequired	OperationsApproval_to_Rejected	E: Причина отказа должна быть заполнена	E: validation@RejectionTextIsRequired
Rule	AccidentLifeInsuranceCancellationOperationsApproval_to_RejectedTransitionRule	rule	validation@RejectionTextMustBeEmpty	OperationsApproval_to_Rejected	E: Причина отказа должна быть пустой	E: validation@RejectionTextMustBeEmpty
Rule	AccidentLifeInsuranceCancellationOperationsApproval_to_RequestToClientTransitionRule	rule	validation@noActiveInquiriesFound	OperationsApproval_to_RequestToClient	E: Не найдено активных запросов в смежные подразделения	E: validation@noActiveInquiriesFound
Rule	AccidentLifeInsuranceCancellationOperationsApproval_to_RequestToClientTransitionRule	rule	validation@RejectionTextMustBeEmpty	OperationsApproval_to_RequestToClient	E: Причина отказа должна быть пустой	E: validation@RejectionTextMustBeEmpty
