ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DocumentConfiguration	AccidentLifeInsuranceFinChange	actors	Operations	Operations	ОПЕРУ	Operations
DocumentFlowDefinition	AccidentLifeInsuranceFinChangeFlow	transitions	transitions@Draft_to_Cancelled@Title	Draft_to_Cancelled	Аннулировать	Draft_to_Cancelled
DocumentFlowDefinition	AccidentLifeInsuranceFinChangeFlow	operations	operations@Save@Title	Save	Сохранить	Save
DocumentFlowDefinition	AccidentLifeInsuranceFinChangeFlow	states	states@Draft	Draft	Проект	Draft
DocumentFlowDefinition	AccidentLifeInsuranceFinChangeFlow	states	states@Cancelled	Cancelled	Аннулирован	Cancelled
UiSchema	AccidentLifeInsuranceFinChangeMainContent	ui-label	amendment	amendment	ДС	amendment
UiSchema	AccidentLifeInsuranceFinChangeMainContent	ui-label	Insurance Conditions	Insurance Conditions	Условия страхования	Insurance Conditions
UiSchema	AccidentLifeInsuranceFinChangeMainContent	ui-label	Participants	Participants	Участники	Participants
UiSchema	AccidentLifeInsuranceFinChangeMainContent	ui-label	Additional Conditions	Additional Conditions	Дополнительные условия	Additional Conditions
UiSchema	AccidentLifeInsuranceFinChangeMainContent	ui-label	Surrender Values	Surrender Values	Выкупные суммы	Surrender Values
UiSchema	AccidentLifeInsuranceFinChangeMainContent	ui-label	PaymentPlan	PaymentPlan	График платежей	PaymentPlan
UiSchema	AccidentLifeInsuranceFinChangeMainContent	ui-label	Underwriting	Underwriting	Андеррайтинг	Underwriting
UiSchema	AccidentLifeInsuranceFinChangeMainContent	ui-label	commissionTab	commissionTab	Комиссия	commissionTab
DocumentConfiguration	AccidentLifeInsuranceFinChange	rootConfiguration	AccidentLifeInsuranceFinChange@Title	AccidentLifeInsuranceFinChange	ДС на финансовые изменения	AccidentLifeInsuranceFinChange
DataSchema	AccidentLifeInsuranceFinChange	field-title	commentIsRequired	commentIsRequired	Комментарий обязателен для заполнения	commentIsRequired
DataSchema	AccidentLifeInsuranceFinChange	field-title	commentAuthorIsRequired	commentAuthorIsRequired	Автор комментария обязателен для заполнения	commentAuthorIsRequired
UiSchema	AccidentLifeInsuranceFinChangeMainContent	ui-label	History	History	История	History
DocumentConfiguration	AccidentLifeInsuranceFinChange	actors	System	System	Система	System
DocumentFlowDefinition	AccidentLifeInsuranceFinChangeFlow	states	states@Activated	Activated	Действует	Activated
DataSchema	AccidentLifeInsuranceFinChange	field-title	isAutoconversionAmendment	isAutoconversionAmendment	ДС создано автоконверсией	isAutoconversionAmendment
DocumentFlowDefinition	AccidentLifeInsuranceFinChangeFlow	transitions	transitions@Draft_to_OperationsApproval@Title	Draft_to_OperationsApproval	Отправить на рассмотрение ОПЕРУ	Draft_to_OperationsApproval
DocumentFlowDefinition	AccidentLifeInsuranceFinChangeFlow	transitions	transitions@OperationsApproval_to_Cancelled@Title	OperationsApproval_to_Cancelled	Аннулировать	OperationsApproval_to_Cancelled
DocumentFlowDefinition	AccidentLifeInsuranceFinChangeFlow	transitions	transitions@OperationsApproval_to_Activated@Title	OperationsApproval_to_Activated	Действует	OperationsApproval_to_Activated
DocumentFlowDefinition	AccidentLifeInsuranceFinChangeFlow	states	states@OperationsApproval	OperationsApproval	На рассмотрении группы ОПЕРУ	OperationsApproval
