ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DocumentConfiguration	AccidentLifeInsurancePolicy	actors	Agent	Agent	Агент	Agent
DocumentFlowDefinition	AccidentLifeInsurancePolicyFlow	transitions	transitions@Draft_to_Active@Title	Draft_to_Active	Проект -> Подписан	Draft_to_Active
DocumentFlowDefinition	AccidentLifeInsurancePolicyFlow	states	states@Draft	Draft	Проект	Draft
DocumentFlowDefinition	AccidentLifeInsurancePolicyFlow	states	states@Active	Active	Подписан	Active
DocumentConfiguration	AccidentLifeInsurancePolicy	rootConfiguration	AccidentLifeInsurancePolicy@Title	AccidentLifeInsurancePolicy	НС. Договор	AccidentLifeInsurancePolicy
UiSchema	AccidentLifeInsurancePolicyMainContent	ui-label	Participants	Participants	Участники	Participants
UiSchema	AccidentLifeInsurancePolicyMainContent	ui-label	Underwriting	Underwriting	Андеррайтинг	Underwriting
UiSchema	AccidentLifeInsurancePolicyMainContent	ui-label	PaymentPlan	PaymentPlan	График	PaymentPlan
UiSchema	AccidentLifeInsurancePolicyMainContent	ui-label	Insurance Conditions	Insurance Conditions	Условия страхования	Insurance Conditions
UiSchema	AccidentLifeInsurancePolicyMainContent	ui-label	Additional Conditions	Additional Conditions	Дополнительные условия	Additional Conditions
UiSchema	AccidentLifeInsurancePolicyMainContent	ui-label	Surrender Values	Surrender Values	Выкупные суммы	Surrender Values
DocumentConfiguration	AccidentLifeInsurancePolicy	actors	Viewer	Viewer	Просмотр	Viewer
DocumentConfiguration	AccidentLifeInsurancePolicy	actors	Operations	Operations	ОПЕРУ	Operations
DocumentFlowDefinition	AccidentLifeInsurancePolicyFlow	transitions	transitions@Draft_to_Cancelled@Title	Draft_to_Cancelled	Проект -> Отменен	Draft_to_Cancelled
DocumentFlowDefinition	AccidentLifeInsurancePolicyFlow	transitions	transitions@Active_to_Cancelled@Title	Active_to_Cancelled	Подписан -> Отменен	Active_to_Cancelled
DocumentFlowDefinition	AccidentLifeInsurancePolicyFlow	transitions	transitions@Active_to_Cancelled_Operations@Title	Active_to_Cancelled_Operations	Подписан -> Отменен (ОПЕРУ)	Active_to_Cancelled_Operations
DocumentFlowDefinition	AccidentLifeInsurancePolicyFlow	transitions	transitions@Active_to_Activated@Title	Active_to_Activated	Подписан -> Действует	Active_to_Activated
DocumentFlowDefinition	AccidentLifeInsurancePolicyFlow	states	states@Activated	Activated	Действует	Activated
DocumentFlowDefinition	AccidentLifeInsurancePolicyFlow	states	states@Cancelled	Cancelled	Отменен	Cancelled
UiSchema	AccidentLifeInsurancePolicyMainContent	ui-label	History	History	История	History
DocumentConfiguration	AccidentLifeInsurancePolicy	actors	System	System	Система	System
Rule	AccidentLifeInsurancePolicyDraft_to_ActiveTransitionRule	rule	validation@Draft_to_Active_contractAttachment_contractSigned	Draft_to_Active	E: Необходимо добавить вложение с типом 'Договор страхования'	E: validation@Draft_to_Active_contractAttachment_contractSigned
Rule	AccidentLifeInsurancePolicyDraft_to_ActiveTransitionRule	rule	validation@Draft_to_Active_contractAttachment_bankNotificationForBFKOPartner	Draft_to_Active	E: Необходимо добавить вложение с типом 'Дополнительные документы банка' либо 'Согласие на обработку персональных данных' и 'Уведомление о финансовой услуге'	E: validation@Draft_to_Active_contractAttachment_bankNotificationForBFKOPartner
Rule	AccidentLifeInsurancePolicyDraft_to_ActiveTransitionRule	rule	validation@Draft_to_Active_contractAttachment_servicesMemo	Draft_to_Active	E: Необходимо добавить вложение с типом 'Памятка, содержащая порядок получения сервисов'	E: validation@Draft_to_Active_contractAttachment_servicesMemo
Rule	AccidentLifeInsurancePolicyDraft_to_ActiveTransitionRule	rule	validation@Draft_to_Active_insuredPersonAttachment_passport	Draft_to_Active	E: Необходимо добавить вложение с типом 'Документ, удостоверяющий личность' на карточке застрахованного	E: validation@Draft_to_Active_insuredPersonAttachment_passport
Rule	AccidentLifeInsurancePolicyDraft_to_ActiveTransitionRule	rule	validation@Draft_to_Active_policyHolderAttachment_passport	Draft_to_Active	E: Необходимо добавить вложение с типом 'Документ, удостоверяющий личность' на карточке страхователя	E: validation@Draft_to_Active_policyHolderAttachment_passport
Rule	AccidentLifeInsurancePolicyDraft_to_ActiveTransitionRule	rule	validation@Draft_to_Active_policyHolderAttachment_financialQuestionary	Draft_to_Active	E: Необходимо добавить вложение с типом 'Анкета о наличии финансовых знаний' на карточке страхователя	E: validation@Draft_to_Active_policyHolderAttachment_financialQuestionary
Rule	AccidentLifeInsurancePolicyDraft_to_ActiveTransitionRule	rule	validation@Draft_to_Active_policyHolderAttachment_financialQuestionary_wrongDate	Draft_to_Active	E: Дата прикрепления документа с типом «Анкета фин. грамотности» не может быть раньше даты актуализации анкеты	E: validation@Draft_to_Active_policyHolderAttachment_financialQuestionary_wrongDate
DocumentFlowDefinition	AccidentLifeInsurancePolicyFlow	transitions	transitions@Activated_to_CancelledByAmendment@Title	Activated_to_CancelledByAmendment	Действует -> Расторгнут	Activated_to_CancelledByAmendment
DocumentFlowDefinition	AccidentLifeInsurancePolicyFlow	states	states@CancelledByAmendment	CancelledByAmendment	Расторгнут	CancelledByAmendment
UiSchema	AccidentLifeInsurancePolicyMainContent	ui-label	paymentOrders	paymentOrders	Связанные РНВ	paymentOrders
DocumentFlowDefinition	AccidentLifeInsurancePolicyFlow	transitions	transitions@CancelledByAmendment_to_Activated@Title	CancelledByAmendment_to_Activated	Восстановление	CancelledByAmendment_to_Activated
DocumentFlowDefinition	AccidentLifeInsurancePolicyFlow	transitions	transitions@Cancelled_to_Draft@Title	Cancelled_to_Draft	Отменен -> Проект	Cancelled_to_Draft
UiSchema	AccidentLifeInsurancePolicyMainContent	ui-label	commissionTab	commissionTab	Комиссия	commissionTab
UiSchema	AccidentLifeInsurancePolicyMainContent	ui-label	allocations	allocations	Связанные платежи	Allocations
UiSchema	AccidentLifeInsurancePolicyMainContent	ui-label	accountingEntries	accountingEntries	Проводки по договору	accountingEntries
DocumentConfiguration	AccidentLifeInsurancePolicy	actors	Claims	Claims	Убытки	Claims
DocumentFlowDefinition	AccidentLifeInsurancePolicyFlow	transitions	transitions@Draft_to_Active_Operations@Title	Draft_to_Active_Operations	Проект -> Подписан (ОПЕРУ)	Draft_to_Active_Operations
DocumentFlowDefinition	AccidentLifeInsurancePolicyFlow	transitions	transitions@Draft_to_Active_System@Title	Draft_to_Active_System	Проект -> Подписан (Система)	Draft_to_Active_System
