ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DocumentConfiguration	AccidentLifeInsurancePortfolioMovement	actors	Operations	Operations	Operations	ОПЕРУ
DocumentConfiguration	AccidentLifeInsurancePortfolioMovement	actors	System	System	System	Система
DocumentFlowDefinition	AccidentLifeInsurancePortfolioMovementFlow	transitions	transitions@Draft_to_Cancelled@Title	Draft_to_Cancelled	Draft_to_Cancelled	Отменить
DocumentFlowDefinition	AccidentLifeInsurancePortfolioMovementFlow	transitions	transitions@Draft_to_Activated@Title	Draft_to_Activated	Draft_to_Activated	Проект -> Действует
DocumentFlowDefinition	AccidentLifeInsurancePortfolioMovementFlow	operations	operations@Save@Title	Save	Save	Сохранить
DocumentFlowDefinition	AccidentLifeInsurancePortfolioMovementFlow	states	states@Draft	Draft	Draft	Черновик
DocumentFlowDefinition	AccidentLifeInsurancePortfolioMovementFlow	states	states@Activated	Activated	Activated	Активировать
DocumentFlowDefinition	AccidentLifeInsurancePortfolioMovementFlow	states	states@Cancelled	Cancelled	Cancelled	Отменить
UiSchema	AccidentLifeInsurancePortfolioMovementMainContent	ui-label	amendment	amendment	amendment	ДС
UiSchema	AccidentLifeInsurancePortfolioMovementMainContent	ui-label	Insurance Conditions	Insurance Conditions	Insurance Conditions	Условия страхования
UiSchema	AccidentLifeInsurancePortfolioMovementMainContent	ui-label	commissionTab	commissionTab	commissionTab	Комиссия
DocumentConfiguration	AccidentLifeInsurancePortfolioMovement	rootConfiguration	AccidentLifeInsurancePortfolioMovement@Title	AccidentLifeInsurancePortfolioMovement	AccidentLifeInsurancePortfolioMovement	ДС на передачу портфеля
DataSchema	AccidentLifeInsurancePortfolioMovement	field-title	commentIsRequired	commentIsRequired	commentIsRequired	Комментарий обязателен для заполнения
DataSchema	AccidentLifeInsurancePortfolioMovement	field-title	commentAuthorIsRequired	commentAuthorIsRequired	commentAuthorIsRequired	Автор комментария обязателен для заполнения
