ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DataSchema	AccidentLifeInsuranceQuote	field-title	commentAuthorIsRequired	commentAuthorIsRequired	commentAuthorIsRequired	commentAuthorIsRequired
DataSchema	AccidentLifeInsuranceQuote	field-title	commentIsRequired	commentIsRequired	commentIsRequired	commentIsRequired
DocumentConfiguration	AccidentLifeInsuranceQuote	actors	Agent	Agent	Агент	Agent
DocumentConfiguration	AccidentLifeInsuranceQuote	actors	Operations	Operations	ОПЕРУ	Operations
DocumentConfiguration	AccidentLifeInsuranceQuote	actors	UKSP	UKSP	УКСП	UKSP
DocumentConfiguration	AccidentLifeInsuranceQuote	actors	Underwriter	Underwriter	Андеррайтер	Underwriter
DocumentConfiguration	AccidentLifeInsuranceQuote	actors	Viewer	Viewer	Просмотр	Viewer
DocumentConfiguration	AccidentLifeInsuranceQuote	rootConfiguration	AccidentLifeInsuranceQuote@Title	AccidentLifeInsuranceQuote	НС. Заявка на страхование	AccidentLifeInsuranceQuote
DocumentFlowDefinition	AccidentLifeInsuranceQuoteFlow	operations	operations@Save@Title	Save	Сохранить	Save
DocumentFlowDefinition	AccidentLifeInsuranceQuoteFlow	states	states@Approved	Approved	Согласована	Approved
DocumentFlowDefinition	AccidentLifeInsuranceQuoteFlow	states	states@Cancelled	Cancelled	Отменена	Cancelled
DocumentFlowDefinition	AccidentLifeInsuranceQuoteFlow	states	states@Draft	Draft	Проект	Draft
DocumentFlowDefinition	AccidentLifeInsuranceQuoteFlow	states	states@InfoRequest	InfoRequest	Запрос информации	InfoRequest
DocumentFlowDefinition	AccidentLifeInsuranceQuoteFlow	states	states@Issued	Issued	Создан договор	Issued
DocumentFlowDefinition	AccidentLifeInsuranceQuoteFlow	states	states@OnReview	OnReview	На рассмотрении в СК	OnReview
DocumentFlowDefinition	AccidentLifeInsuranceQuoteFlow	states	states@Rejected	Rejected	Не согласована	Rejected
DocumentFlowDefinition	AccidentLifeInsuranceQuoteFlow	transitions	transitions@Approved_to_Cancelled@Title	Approved_to_Cancelled	Отменить	Approved_to_Cancelled
