ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
UiSchema	AccidentLifeInsuranceTechnicalAmendmentMainContent	ui-label	amendment	amendment	amendment	ДС
DocumentConfiguration	AccidentLifeInsuranceTechnicalAmendment	actors	Viewer	Viewer	Viewer	Просмотр
DocumentFlowDefinition	AccidentLifeInsuranceTechnicalAmendmentFlow	states	states@Activated	Activated	Activated	Действует
DocumentConfiguration	AccidentLifeInsuranceTechnicalAmendment	rootConfiguration	AccidentLifeInsuranceTechnicalAmendment@Title	AccidentLifeInsuranceTechnicalAmendment	AccidentLifeInsuranceTechnicalAmendment	Техническое дополнительное соглашение
DocumentConfiguration	AccidentLifeInsuranceTechnicalAmendment	actors	System	System	System	Система
DocumentFlowDefinition	AccidentLifeInsuranceTechnicalAmendmentFlow	states	states@Draft	Draft	Draft	Проект
DocumentFlowDefinition	AccidentLifeInsuranceTechnicalAmendmentFlow	transitions	transitions@Draft_to_Activated@Title	Draft_to_Activated	Draft_to_Activated	Проект -> Действует
DocumentFlowDefinition	AccidentLifeInsuranceTechnicalAmendmentFlow	operations	operations@Save@Title	Save	Save	Сохранить
DocumentFlowDefinition	AccidentLifeInsuranceTechnicalAmendmentFlow	transitions	transitions@Draft_to_Cancelled@Title	Draft_to_Cancelled	Draft_to_Cancelled	Проект -> Отменён
DocumentFlowDefinition	AccidentLifeInsuranceTechnicalAmendmentFlow	states	states@Cancelled	Cancelled	Cancelled	Отменён
DocumentConfiguration	AccidentLifeInsuranceTechnicalAmendment	actors	Operations	Operations	Operations	ОПЕРУ
