ApplicationRole	PermissionType	CodeName	ConceptTypeName	AssignedPermission	AssignmentOperator
ChiefAccountant	Allow Actor	ClosedPeriodsView	ViewConfiguration	ChiefAccountant	Add
Accountant	Allow Actor	ClosedPeriodsView	ViewConfiguration	Accountant	Add
ChiefAccountant	Allow Actor	ClosedPeriodsHistoryView	ViewConfiguration	ChiefAccountant	Add
Accountant	Allow Actor	ClosedPeriodsHistoryView	ViewConfiguration	Accountant	Add
AccountingCertificateEditor	Allow Actor	AccountingCertificate	DocumentConfiguration	AccountingCertificateEditor	Add
AccountingCertificateViewer	Allow Actor	AccountingCertificate	DocumentConfiguration	AccountingCertificateViewer	Add
AccountingCertificateEditor	Allow Actor	AccountingCertificateCorrection	DocumentConfiguration	AccountingCertificateEditor	Add
AccountingCertificateViewer	Allow Actor	AccountingCertificateCorrection	DocumentConfiguration	AccountingCertificateViewer	Add
AccountingCertificateEditor	Allow Actor	AccountingCertificateSearchView	ViewConfiguration	AccountingCertificateEditor	Add
AccountingCertificateViewer	Allow Actor	AccountingCertificateSearchView	ViewConfiguration	AccountingCertificateViewer	Add
AccountingCertificateEditor	Allow Actor	AccountingCertificateAmountOfPremiumsPaidView	ViewConfiguration	AccountingCertificateEditor	Add
AccountingCertificateViewer	Allow Actor	AccountingCertificateAmountOfPremiumsPaidView	ViewConfiguration	AccountingCertificateViewer	Add
General	Execute Service	AccountingAmountOfPremiumsPaidDataSource	DataSourceConfiguration	*	Add
General	Execute Service	AccountingContractTypeDataSource	DataSourceConfiguration	*	Add
General	Execute Service	AccountingDocumentTypeCodeViewDataSource	DataSourceConfiguration	*	Add
General	Execute Service	AccountingRequestTypeDataSource	DataSourceConfiguration	*	Add
General	Execute Service	AccountingYearDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetAccountingCertificateDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetPolicyHolderDimensionsDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetTransactionInfoDataSource	DataSourceConfiguration	*	Add
General	Execute Service	PeriodDataSource	DataSourceConfiguration	*	Add
General	Execute Service	PeriodHistoryDataSource	DataSourceConfiguration	*	Add
General	Execute Service	ExportAccountingCertificateReport	DataExportConfiguration	*	Add
General	Execute Service	GetAccountingCertificateBodyDataSource	DataSourceConfiguration	*	Add
AccountingCertificateAttachmentEditor	Allow Actor	AccountingCertificate	DocumentConfiguration	AccountingCertificateAttachmentEditor	Add
AccountingCertificateAttachmentEditor	Allow Actor	AccountingCertificateCorrection	DocumentConfiguration	AccountingCertificateAttachmentEditor	Add
ServiceExecutor	Execute Service	AccountingCertificateEnrichmentsService	IntegrationServiceConfiguration	*	Add
General	Execute Service	CertificateDescriptionDataSource	DataSourceConfiguration	*	Add
General	Execute Service	AccountingCertificatesWithoutTaxDeductionDataSource	DataSourceConfiguration	*	Add
General	Execute Service	AccountingCertificateImportDataSource	DataSourceConfiguration	*	Add
AccountingCertificateEditor	Allow Actor	AccountingCertificateImport	DocumentConfiguration	AccountingCertificateEditor	Add
System	Allow Actor	AccountingCertificateImport	DocumentConfiguration	System	Add
AccountingCertificateEditor	Allow Actor	AccountingCertificateImportErrors	ViewConfiguration	AccountingCertificateEditor	Add
AccountingCertificateEditor	Allow Actor	AccountingCertificateImportFailed	ViewConfiguration	AccountingCertificateEditor	Add
AccountingCertificateEditor	Allow Actor	AccountingCertificateImportLoadSuccess	ViewConfiguration	AccountingCertificateEditor	Add
AccountingCertificateEditor	Allow Actor	AccountingCertificateImportSuccess	ViewConfiguration	AccountingCertificateEditor	Add
ServiceExecutor	Execute Service	AccountingCertificateLoadPrintoutToAttachmentsIntegrationService	IntegrationServiceConfiguration	*	Add
