ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
UiSchema	AccountingCertificateInsuredPerson	ui-label	Accounting certificate insured person	Accounting certificate insured person	Accounting certificate insured person	Информация о Застрахованном лице
UiSchema	AccountingCertificateInsuredPerson	ui-label	Is tax payer insured person	Is tax payer insured person	Is tax payer insured person	Налогоплательщик и застрахованное лицо являются одним лицом
UiSchema	AccountingCertificateInsuredPerson	ui-label	Insured person last name	Insured person last name	Insured person last name	Фамилия
UiSchema	AccountingCertificateInsuredPerson	ui-label	Insured person first name	Insured person first name	Insured person first name	Имя
UiSchema	AccountingCertificateInsuredPerson	ui-label	Insured person middle name	Insured person middle name	Insured person middle name	Отчество
UiSchema	AccountingCertificateInsuredPerson	ui-label	Insured person INN	Insured person INN	Insured person INN	ИНН
UiSchema	AccountingCertificateInsuredPerson	ui-label	Insured person date of birth	Insured person date of birth	Insured person date of birth	Дата рождения
UiSchema	AccountingCertificateInsuredPerson	ui-label	Insured person document code view	Insured person document code view	Insured person document code view	Код вида документа
UiSchema	AccountingCertificateInsuredPerson	ui-label	Insured person document series	Insured person document series	Insured person document series	Серия документа
UiSchema	AccountingCertificateInsuredPerson	ui-label	Insured person document number	Insured person document number	Insured person document number	Номер документа
UiSchema	AccountingCertificateInsuredPerson	ui-label	Insured person document issue date	Insured person document issue date	Insured person document issue date	Дата выдачи
