ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DataSchema	AccountingCertificateTaxPayer	field-title	partyId	partyId	partyId	Id контрагента
DataSchema	AccountingCertificateTaxPayer	field-title	partyCode	partyCode	partyCode	Код контрагента
UiSchema	AccountingCertificateTaxPayer	ui-label	Accounting certificate tax payer	Accounting certificate tax payer	Accounting certificate tax payer	Информация о получателе справки (налогоплательщике)
UiSchema	AccountingCertificateTaxPayer	ui-label	Is tax payer policy holder	Is tax payer policy holder	Is tax payer policy holder	Плательщик совпадает со страхователем
UiSchema	AccountingCertificateTaxPayer	ui-label	Tax payer last name	Tax payer last name	Tax payer last name	Фамилия
UiSchema	AccountingCertificateTaxPayer	ui-label	Tax payer first name	Tax payer first name	Tax payer first name	Имя
UiSchema	AccountingCertificateTaxPayer	ui-label	Tax payer middle name	Tax payer middle name	Tax payer middle name	Отчество
UiSchema	AccountingCertificateTaxPayer	ui-label	Tax payer INN	Tax payer INN	Tax payer INN	ИНН
UiSchema	AccountingCertificateTaxPayer	ui-label	Tax payer date of birth	Tax payer date of birth	Tax payer date of birth	Дата рождения
UiSchema	AccountingCertificateTaxPayer	ui-label	Tax payer document code view	Tax payer document code view	Tax payer document code view	Код вида документа
UiSchema	AccountingCertificateTaxPayer	ui-label	Tax payer document series	Tax payer document series	Tax payer document series	Серия документа
UiSchema	AccountingCertificateTaxPayer	ui-label	Tax payer document number	Tax payer document number	Tax payer document number	Номер документа
UiSchema	AccountingCertificateTaxPayer	ui-label	Tax payer document issue date	Tax payer document issue date	Tax payer document issue date	Дата выдачи
