ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DocumentConfiguration	AccountingCertificateCorrection	actors	AccountingCertificateEditor	AccountingCertificateEditor	AccountingCertificateEditor	Редактирование налоговых справок
DocumentConfiguration	AccountingCertificateCorrection	actors	AccountingCertificateViewer	AccountingCertificateViewer	AccountingCertificateViewer	Просмотр налоговых справок
DocumentFlowDefinition	AccountingCertificateCorrectionFlow	transitions	transitions@Draft_to_Issued@Title	Draft_to_Issued	Draft_to_Issued	Подтвердить
DocumentFlowDefinition	AccountingCertificateCorrectionFlow	transitions	transitions@Draft_to_Cancelled@Title	Draft_to_Cancelled	Draft_to_Cancelled	Отменить
DocumentFlowDefinition	AccountingCertificateCorrectionFlow	transitions	transitions@Cancelled_to_Draft@Title	Cancelled_to_Draft	Cancelled_to_Draft	Восстановить
DocumentFlowDefinition	AccountingCertificateCorrectionFlow	operations	operations@Save@Title	Save	Save	Сохранить
DocumentFlowDefinition	AccountingCertificateCorrectionFlow	states	states@Draft	Draft	Draft	Проект
DocumentFlowDefinition	AccountingCertificateCorrectionFlow	states	states@Issued	Issued	Issued	Подтверждена
DocumentFlowDefinition	AccountingCertificateCorrectionFlow	states	states@Cancelled	Cancelled	Cancelled	Отменена
UiSchema	AccountingCertificateCorrectionMainContent	ui-label	Accounting certificate conditions	Accounting certificate conditions	Accounting certificate conditions	Условия
UiSchema	AccountingCertificateCorrectionMainContent	ui-label	Type of request	Type of request	Type of request	Тип обращения
UiSchema	AccountingCertificateCorrectionMainContent	ui-label	Applicant full name	Applicant full name	Applicant full name	ФИО заявителя
UiSchema	AccountingCertificateCorrectionMainContent	ui-label	Is applicant policy holder	Is applicant policy holder	Is applicant policy holder	Заявитель совпадает со страхователем
UiSchema	AccountingCertificateCorrectionMainContent	ui-label	Request date	Request date	Request date	Дата обращения
UiSchema	AccountingCertificateCorrectionMainContent	ui-label	Insured full name	Insured full name	Insured full name	Застрахованный
UiSchema	AccountingCertificateCorrectionMainContent	ui-label	Correction number	Correction number	Correction number	Номер корректировки
DocumentConfiguration	AccountingCertificateCorrection	rootConfiguration	AccountingCertificateCorrection@Title	AccountingCertificateCorrection	AccountingCertificateCorrection	Справка для налоговой
DataSchema	AccountingCertificateCorrection	field-title	code	code	code	Тип обращения
DataSchema	AccountingCertificateCorrection	field-title	description	description	description	Тип обращения
DataSchema	AccountingCertificateCorrection	field-title	applicantFullName	applicantFullName	applicantFullName	ФИО заявителя
DataSchema	AccountingCertificateCorrection	field-title	requestDate	requestDate	requestDate	Дата обращения
DataSchema	AccountingCertificateCorrection	field-title	insuredPerson	insuredPerson	insuredPerson	insuredPerson
DataSchema	AccountingCertificateCorrection	field-title	accountingYear	accountingYear	accountingYear	Отчетный год
DataSchema	AccountingCertificateCorrection	field-title	contract	contract	contract	Контракт
Rule	AccountingCertificateCorrectionValidationAccountingCertificate	rule	validation@policyWasNotFoundInSystem	validationAccountingCertificate	E: policyWasNotFoundInSystem	E: Договор должен быть найден в системе
Rule	AccountingCertificateCorrectionValidationAccountingCertificate	rule	validation@emptyTaxPayerFullName	validationAccountingCertificate	E: emptyTaxPayerFullName	E: Необходимо заполнить Информацию о получателе справки
UiSchema	AccountingCertificateCorrectionMainContent	ui-label	Accounting certificate information	Accounting certificate information	Accounting certificate information	Информация
DocumentConfiguration	AccountingCertificateCorrection	actors	AccountingCertificateAttachmentEditor	AccountingCertificateAttachmentEditor	AccountingCertificateAttachmentEditor	Редактор вложений
Rule	AccountingCertificateCorrectionDraft_to_CancelledTransitionRule	rule	validation@Draft_to_Cancelled	Draft_to_Cancelled	Need comment for cancel	Для отмены необходим комментарий
UiSchema	AccountingCertificateCorrectionMainContent	ui-label	downloadAndAttachPrintout	downloadAndAttachPrintout	downloadAndAttachPrintout	Сформировать ПФ и вложить
ClientAction	AccountingCertificateCorrectionDownloadAndAttachPrintout	ui-message	SaveDocPlease	downloadAndAttachPrintout	Please save document	Пожалуйста, сохраните документ
ClientAction	AccountingCertificateCorrectionDownloadAndAttachPrintout	ui-message	AttachmentAlreadyExisits	downloadAndAttachPrintout	Attachment already exisits	Печатная форма уже была сформирована
ClientAction	AccountingCertificateCorrectionDownloadAndAttachPrintout	ui-message	Create	downloadAndAttachPrintout	Create	Сформировать
ClientAction	AccountingCertificateCorrectionDownloadAndAttachPrintout	ui-message	Back	downloadAndAttachPrintout	Back	Отмена
DocumentFlowDefinition	AccountingCertificateCorrectionFlow	transitions	transitions@Draft_to_Issued_System@Title	Draft_to_Issued_System	Draft_to_Issued_System	Подтвердить (Система)
DocumentConfiguration	AccountingCertificateCorrection	actors	System	System	System	Система
DocumentFlowDefinition	AccountingCertificateCorrectionFlow	transitions	transitions@Draft_to_Checked@Title	Draft_to_Checked	Draft_to_Checked	Подтвердить
