ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DocumentConfiguration	AccountingCertificateImport	actors	AccountingCertificateEditor	AccountingCertificateEditor	AccountingCertificateEditor	Редактирование налоговых справок
DocumentConfiguration	AccountingCertificateImport	actors	System	System	System	System
DocumentFlowDefinition	AccountingCertificateImportFlow	transitions	transitions@StartLoading@Title	StartLoading	StartLoading	Начать загрузку
DocumentFlowDefinition	AccountingCertificateImportFlow	transitions	transitions@FinishLoading@Title	FinishLoading	FinishLoading	Закончить загрузку
DocumentFlowDefinition	AccountingCertificateImportFlow	transitions	transitions@ChangeImportData@Title	ChangeImportData	ChangeImportData	Изменить данные
DocumentFlowDefinition	AccountingCertificateImportFlow	transitions	transitions@CancelLoaded@Title	CancelLoaded	CancelLoaded	Отменить загрузку
DocumentFlowDefinition	AccountingCertificateImportFlow	transitions	transitions@StartImporting@Title	StartImporting	StartImporting	Начать импорт
DocumentFlowDefinition	AccountingCertificateImportFlow	transitions	transitions@FinishImporting@Title	FinishImporting	FinishImporting	Закончить импорт
DocumentFlowDefinition	AccountingCertificateImportFlow	operations	operations@Save@Title	Save	Save	Сохранить
DocumentFlowDefinition	AccountingCertificateImportFlow	states	states@Draft	Draft	Draft	Черновик
DocumentFlowDefinition	AccountingCertificateImportFlow	states	states@Loading	Loading	Loading	Загрузка
DocumentFlowDefinition	AccountingCertificateImportFlow	states	states@Loaded	Loaded	Loaded	Загружено
DocumentFlowDefinition	AccountingCertificateImportFlow	states	states@Cancelled	Cancelled	Cancelled	Отменено
DocumentFlowDefinition	AccountingCertificateImportFlow	states	states@Importing	Importing	Importing	Импорт
DocumentFlowDefinition	AccountingCertificateImportFlow	states	states@Imported	Imported	Imported	Импортировано
UiSchema	AccountingCertificateImportUiSchema	ui-label	GeneralInfo	GeneralInfo	GeneralInfo	Общая информация
UiSchema	AccountingCertificateImportUiSchema	ui-label	FileSelection	FileSelection	FileSelection	Выбор файла
UiSchema	AccountingCertificateImportUiSchema	ui-label	LoadedData	LoadedData	LoadedData	Загруженные данные
UiSchema	AccountingCertificateImportUiSchema	ui-label	LoadDataErrors	LoadDataErrors	LoadDataErrors	Ошибки при загрузке
UiSchema	AccountingCertificateImportUiSchema	ui-label	ImportedData	ImportedData	ImportedData	Импортированные данные
DocumentConfiguration	AccountingCertificateImport	rootConfiguration	AccountingCertificateImport@Title	AccountingCertificateImport	AccountingCertificateImport	Импорт налоговых справок
