ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	AccountingCertificateAmountOfPremiumsPaidView	rootConfiguration	AccountingCertificateAmountOfPremiumsPaidView@Title	AccountingCertificateAmountOfPremiumsPaidView	AccountingCertificateAmountOfPremiumsPaidView	Информация об оплате по договору
ViewConfiguration	AccountingCertificateAmountOfPremiumsPaidView	actors	AccountingCertificateEditor	AccountingCertificateEditor	AccountingCertificateEditor	Редактирование налоговых справок
ViewConfiguration	AccountingCertificateAmountOfPremiumsPaidView	actors	AccountingCertificateViewer	AccountingCertificateViewer	AccountingCertificateViewer	Просмотр налоговых справок
UiSchema	AccountingCertificateAmountOfPremiumsPaidViewUiSchema	ui-label	Transaction date	Transaction date	Transaction date	Дата оплаты
UiSchema	AccountingCertificateAmountOfPremiumsPaidViewUiSchema	ui-label	Amount	Amount	Amount	Сумма оплаты
UiSchema	AccountingCertificateAmountOfPremiumsPaidViewUiSchema	ui-label	Debtor	Debtor	Debtor	ФИО Плательщика
UiSchema	AccountingCertificateAmountOfPremiumsPaidViewUiSchema	ui-label	Payment date	Payment date	Payment date	Дата взноса
UiSchema	AccountingCertificateAmountOfPremiumsPaidViewUiSchema	ui-label	Payment amount in contract currency	Payment amount in contract currency	Payment amount in contract currency	Сумма взноса в валюте договора
UiSchema	AccountingCertificateAmountOfPremiumsPaidViewUiSchema	ui-label	Currency code	Currency code	Currency code	Валюта взноса
UiSchema	AccountingCertificateAmountOfPremiumsPaidViewUiSchema	ui-label	Bank statement item id	Bank statement item id	Bank statement item id	ID  платежа
UiSchema	AccountingCertificateAmountOfPremiumsPaidViewUiSchema	ui-label	Amount life risks	Amount life risks	Amount life risks	Сумма оплаты по рискам Жизнь (в валюте договора)
UiSchema	AccountingCertificateAmountOfPremiumsPaidViewUiSchema	ui-label	Amount life risks in rubles	Amount life risks in rubles	Amount life risks in rubles	Сумма оплаты по рискам Жизнь (в рублях)
