ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	AccountingCertificateImportLoadSuccess	rootConfiguration	AccountingCertificateImportLoadSuccess@Title	AccountingCertificateImportLoadSuccess	Translation_en-US	Translation_ru-RU
UiSchema	AccountingCertificateImportLoadSuccessUiSchema	ui-label	Loaded data	Loaded data	Translation_en-US	Translation_ru-RU
ViewConfiguration	AccountingCertificateImportLoadSuccess	actors	AccountingCertificateEditor	AccountingCertificateEditor	Translation_en-US	Translation_ru-RU
UiSchema	AccountingCertificateImportLoadSuccessUiSchema	ui-label	policyNumber	policyNumber	policyNumber	Номер договора
UiSchema	AccountingCertificateImportLoadSuccessUiSchema	ui-label	holderFullName	holderFullName	holderFullName	ФИО заявителя
UiSchema	AccountingCertificateImportLoadSuccessUiSchema	ui-label	requestDate	requestDate	requestDate	Дата обращения
UiSchema	AccountingCertificateImportLoadSuccessUiSchema	ui-label	accountingYear	accountingYear	accountingYear	Отчетный год
UiSchema	AccountingCertificateImportLoadSuccessUiSchema	ui-label	correctionNumber	correctionNumber	correctionNumber	Номер корректировки
UiSchema	AccountingCertificateImportLoadSuccessUiSchema	ui-label	certificateIssueDate	certificateIssueDate	certificateIssueDate	Дата выдачи
UiSchema	AccountingCertificateImportLoadSuccessUiSchema	ui-label	isTaxPayerIsPolicyHolder	isTaxPayerIsPolicyHolder	certificateIssueDate	Налогоплательщик и застрахованное лицо являются одним лицом
