ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	AccountingCertificateSearchView	actors	AccountingCertificateEditor	AccountingCertificateEditor	AccountingCertificateEditor	Редактирование налоговых справок
ViewConfiguration	AccountingCertificateSearchView	actors	AccountingCertificateViewer	AccountingCertificateViewer	AccountingCertificateViewer	Просмотр налоговых справок
UiSchema	AccountingCertificateSearchViewFiltersContent	ui-label	Accounting certificate number	Accounting certificate number	Accounting certificate number	Номер документа
UiSchema	AccountingCertificateSearchViewFiltersContent	ui-label	Accounting state code	Accounting state code	Accounting state code	Статус документа
UiSchema	AccountingCertificateSearchViewFiltersContent	ui-label	contractNumber	contractNumber	contractNumber	Номер договора
UiSchema	AccountingCertificateSearchViewFiltersContent	ui-label	Request date from	Request date from	Request date from	Дата обращения с
UiSchema	AccountingCertificateSearchViewFiltersContent	ui-label	Request date to	Request date to	Request date to	Дата обращения по
UiSchema	AccountingCertificateSearchViewFiltersContent	ui-label	holder	holder	holder	Страхователь
UiSchema	AccountingCertificateSearchViewFiltersContent	ui-label	insured	insured	insured	Застрахованный
UiSchema	AccountingCertificateSearchViewFiltersContent	ui-label	Applicant full name	Applicant full name	Applicant full name	ФИО Заявителя
UiSchema	AccountingCertificateSearchViewFiltersContent	ui-label	Accounting year	Accounting year	Accounting year	Отчетный год
UiSchema	AccountingCertificateSearchViewFiltersContent	ui-label	Correction number	Correction number	Correction number	Номер корректировки
UiSchema	AccountingCertificateSearchViewResultsContent	ui-label	Accounting certificate number	Accounting certificate number	Accounting certificate number	Номер документа
UiSchema	AccountingCertificateSearchViewResultsContent	ui-label	Accounting certificate state description	Accounting certificate state description	Accounting certificate state description	Статус документа
UiSchema	AccountingCertificateSearchViewResultsContent	ui-label	contractNumber	contractNumber	contractNumber	Номер договора
UiSchema	AccountingCertificateSearchViewResultsContent	ui-label	Applicant full name	Applicant full name	Applicant full name	ФИО Заявителя
UiSchema	AccountingCertificateSearchViewResultsContent	ui-label	Request date	Request date	Request date	Дата обращения
UiSchema	AccountingCertificateSearchViewResultsContent	ui-label	Accounting year	Accounting year	Accounting year	Отчетный год
UiSchema	AccountingCertificateSearchViewResultsContent	ui-label	Correction number	Correction number	Correction number	Номер корректировки
UiSchema	AccountingCertificateSearchViewResultsContent	ui-label	Amount of premium paid	Amount of premium paid	Amount of premium paid	Сумма расходов на выплату страховых взносов
ViewConfiguration	AccountingCertificateSearchView	rootConfiguration	AccountingCertificateSearchView@Title	AccountingCertificateSearchView	AccountingCertificateSearchView	Журнал справок
ViewConfiguration	AccountingCertificateSearchView	dataExport	AccountingCertificateExport	AccountingCertificateExport	AccountingCertificateExport	Экспорт справок
UiSchema	AccountingCertificateSearchViewResultsContent	ui-label	Export Report	Export Report	Export Report	Выгрузить отчет
UiSchema	AccountingCertificateSearchViewResultsContent	ui-label	Export	Export	Export	Экспорт
UiSchema	AccountingCertificateSearchViewFiltersContent	ui-label	Certificate issue date	Certificate issue date	Certificate issue date	Дата выдачи
UiSchema	AccountingCertificateSearchViewResultsContent	ui-label	Certificate issue date	Certificate issue date	Certificate issue date	Дата выдачи
UiSchema	AccountingCertificateSearchViewFiltersContent	ui-label	isInsurerSendDataToFns	isInsurerSendDataToFns	isInsurerSendDataToFns	Страховщик передает сведения в ФНС
UiSchema	AccountingCertificateSearchViewActionsContent	ui-label	exportFilteredCertificates	exportFilteredCertificates	Export xml for all certificates	Создать xml для всех справок
ClientAction	AccountingCertificateSearchViewExportFilteredCertificates	ui-message	XmlFileCreated	exportFilteredCertificates	Xml files created	Xml справки созданы
ClientAction	AccountingCertificateSearchViewExportFilteredCertificates	ui-message	XmlFileCreatedWithErrors	exportFilteredCertificates	XmlFileCreatedWithErrors	Процесс создания Xml справок завершен с ошибками
ClientAction	AccountingCertificateSearchViewExportFilteredCertificates	ui-message	XmlFileConfirmCreate	exportFilteredCertificates	XmlFileConfirmCreate	Документы будут сформированы только для справок в статусе «Подтверждена». Вы уверены, что хотите сформировать xml-справки в количестве
ClientAction	AccountingCertificateSearchViewExportFilteredCertificates	ui-message	XmlFileNoEntries	exportFilteredCertificates	XmlFileNoEntries	Нет справок для создания Xml файлов
UiSchema	AccountingCertificateSearchViewFiltersContent	ui-label	Income source	Income source	Income source	Источник создания справки
UiSchema	AccountingCertificateSearchViewFiltersContent	ui-label	Certificate create date	Certificate create date	Certificate create date	Дата создания справки
UiSchema	AccountingCertificateSearchViewResultsContent	ui-label	Certificate income source	Certificate income source	Certificate income source	Источник создания справки
UiSchema	AccountingCertificateSearchViewFiltersContent	ui-label	Tax certificate format	Tax certificate format	Tax certificate format	Формат справки
UiSchema	AccountingCertificateSearchViewResultsContent	ui-label	hasAttachment	hasAttachment	hasAttachment	Наличие вложения
UiSchema	AccountingCertificateSearchViewActionsContent	ui-label	massIssue	massIssue	massIssue	Массовое подтверждение
UiSchema	AccountingCertificateSearchViewResultsContent	ui-label	transitionCommitor	transitionCommitor	transitionCommitor	Исполнитель
