ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
ViewConfiguration	ClosedPeriodsView	actors	Accountant	Accountant	Бухгалтер	Accountant
ViewConfiguration	ClosedPeriodsView	actors	ChiefAccountant	ChiefAccountant	Главный бухгалтер	ChiefAccountant
ViewConfiguration	ClosedPeriodsView	rootConfiguration	ClosedPeriodsView@Title	ClosedPeriodsView	Закрытые периоды	ClosedPeriodsView
UiSchema	ClosedPeriodsViewFiltersContent	ui-label	ReportingPeriodFrom	ReportingPeriodFrom	Отчетный период, с	ReportingPeriodFrom
UiSchema	ClosedPeriodsViewFiltersContent	ui-label	ReportingPeriodTo	ReportingPeriodTo	Отчетный период, по	ReportingPeriodTo
UiSchema	ClosedPeriodsViewFiltersContent	ui-label	PeriodTypeIds	PeriodTypeIds	Группа	PeriodTypeIds
UiSchema	ClosedPeriodsViewResultsContent	ui-label	StartDate	StartDate	Дата начала	StartDate
UiSchema	ClosedPeriodsViewResultsContent	ui-label	EndDate	EndDate	Дата окончания	EndDate
UiSchema	ClosedPeriodsViewResultsContent	ui-label	PeriodStatusId	PeriodStatusId	Статус	PeriodStatusId
UiSchema	ClosedPeriodsViewResultsContent	ui-label	PeriodTypeId	PeriodTypeId	Группа	PeriodTypeId
UiSchema	ClosedPeriodsViewResultsContent	ui-label	LastUpdated	LastUpdated	Дата последнего изменения	LastUpdated
UiSchema	ClosedPeriodsViewResultsContent	ui-label	Username	Username	Пользователь	Username
