ApplicationRole	PermissionType	CodeName	ConceptTypeName	AssignedPermission	AssignmentOperator
Administrator	Allow Actor	AccumulatedLifeInsuranceQuote	DocumentConfiguration	Agent	Add
Administrator	Allow Actor	AccumulatedLifeInsuranceQuote	DocumentConfiguration	Operations	Add
Administrator	Allow Actor	AccumulatedLifeInsuranceQuote	DocumentConfiguration	Underwriter	Add
Administrator	Allow Actor	AccumulatedLifeInsuranceQuote	DocumentConfiguration	Viewer	Add
Administrator	Allow Actor	AccumulatedLifeInsuranceQuote	DocumentConfiguration	UKSP	Add
Administrator	Allow Actor	AccumulatedLifeInsuranceQuote	DocumentConfiguration	System	Add
System	Allow Actor	AccumulatedLifeInsuranceQuote	DocumentConfiguration	System	Add
Administrator	Allow Actor	AccumulatedLifeInsurancePolicy	DocumentConfiguration	Agent	Add
Administrator	Allow Actor	AccumulatedLifeInsurancePolicy	DocumentConfiguration	Operations	Add
Administrator	Allow Actor	AccumulatedLifeInsurancePolicy	DocumentConfiguration	Viewer	Add
Administrator	Allow Actor	AccumulatedLifeInsuranceCancellation	DocumentConfiguration	Operations	Add
Administrator	Allow Actor	AccumulatedLifeInsuranceCancellation	DocumentConfiguration	Viewer	Add
Administrator	Allow Actor	AccumulatedLifeInsuranceCancellation	DocumentConfiguration	UKSP	Add
Administrator	Allow Actor	AccumulatedLifeInsuranceCancellation	DocumentConfiguration	OperationsDirector	Add
AccumulatedLifeBFKOMass	Allow Actor	AccumulatedLifeInsuranceQuote	DocumentConfiguration	Agent	Add
AccumulatedLifeBFKOAffluent	Allow Actor	AccumulatedLifeInsuranceQuote	DocumentConfiguration	Agent	Add
AccumulatedLifePSBMass	Allow Actor	AccumulatedLifeInsuranceQuote	DocumentConfiguration	Agent	Add
AccumulatedLifePSBAffluent	Allow Actor	AccumulatedLifeInsuranceQuote	DocumentConfiguration	Agent	Add
AccumulatedLifeVTBPremium	Allow Actor	AccumulatedLifeInsuranceQuote	DocumentConfiguration	Agent	Add
AccumulatedLifeVTBVIP	Allow Actor	AccumulatedLifeInsuranceQuote	DocumentConfiguration	Agent	Add
AccumulatedLifeVTBMass	Allow Actor	AccumulatedLifeInsuranceQuote	DocumentConfiguration	Agent	Add
OperationsGroup	Allow Actor	AccumulatedLifeInsuranceQuote	DocumentConfiguration	Operations	Add
UnderwritingGroup	Allow Actor	AccumulatedLifeInsuranceQuote	DocumentConfiguration	Underwriter	Add
UKSPGroup	Allow Actor	AccumulatedLifeInsuranceQuote	DocumentConfiguration	UKSP	Add
GeneralBackOffice	Allow Actor	AccumulatedLifeInsuranceQuote	DocumentConfiguration	Viewer	Add
AccumulatedLifeBFKOMass	Allow Actor	AccumulatedLifeInsurancePolicy	DocumentConfiguration	Agent	Add
AccumulatedLifeBFKOAffluent	Allow Actor	AccumulatedLifeInsurancePolicy	DocumentConfiguration	Agent	Add
AccumulatedLifePSBMass	Allow Actor	AccumulatedLifeInsurancePolicy	DocumentConfiguration	Agent	Add
AccumulatedLifePSBAffluent	Allow Actor	AccumulatedLifeInsurancePolicy	DocumentConfiguration	Agent	Add
AccumulatedLifeVTBPremium	Allow Actor	AccumulatedLifeInsurancePolicy	DocumentConfiguration	Agent	Add
AccumulatedLifeVTBVIP	Allow Actor	AccumulatedLifeInsurancePolicy	DocumentConfiguration	Agent	Add
AccumulatedLifeVTBMass	Allow Actor	AccumulatedLifeInsurancePolicy	DocumentConfiguration	Agent	Add
OperationsGroup	Allow Actor	AccumulatedLifeInsurancePolicy	DocumentConfiguration	Operations	Add
GeneralBackOffice	Allow Actor	AccumulatedLifeInsurancePolicy	DocumentConfiguration	Viewer	Add
AccumulatedLifeBFKOMass	Allow Actor	AccumulatedLifeInsuranceCancellation	DocumentConfiguration	Viewer	Add
AccumulatedLifeBFKOAffluent	Allow Actor	AccumulatedLifeInsuranceCancellation	DocumentConfiguration	Viewer	Add
AccumulatedLifePSBMass	Allow Actor	AccumulatedLifeInsuranceCancellation	DocumentConfiguration	Viewer	Add
AccumulatedLifePSBAffluent	Allow Actor	AccumulatedLifeInsuranceCancellation	DocumentConfiguration	Viewer	Add
AccumulatedLifeVTBPremium	Allow Actor	AccumulatedLifeInsuranceCancellation	DocumentConfiguration	Viewer	Add
AccumulatedLifeVTBVIP	Allow Actor	AccumulatedLifeInsuranceCancellation	DocumentConfiguration	Viewer	Add
AccumulatedLifeVTBMass	Allow Actor	AccumulatedLifeInsuranceCancellation	DocumentConfiguration	Viewer	Add
OperationsGroup	Allow Actor	AccumulatedLifeInsuranceCancellation	DocumentConfiguration	Operations	Add
UKSPGroup	Allow Actor	AccumulatedLifeInsuranceCancellation	DocumentConfiguration	UKSP	Add
GeneralBackOffice	Allow Actor	AccumulatedLifeInsuranceCancellation	DocumentConfiguration	Viewer	Add
OperationsDirectorGroup	Allow Actor	AccumulatedLifeInsuranceCancellation	DocumentConfiguration	OperationsDirector	Add
AccumulatedLifeBFKOMass	Allow Actor	AccumulatedLifeInsuranceReactivation	DocumentConfiguration	Viewer	Add
AccumulatedLifeBFKOAffluent	Allow Actor	AccumulatedLifeInsuranceReactivation	DocumentConfiguration	Viewer	Add
AccumulatedLifePSBMass	Allow Actor	AccumulatedLifeInsuranceReactivation	DocumentConfiguration	Viewer	Add
AccumulatedLifePSBAffluent	Allow Actor	AccumulatedLifeInsuranceReactivation	DocumentConfiguration	Viewer	Add
AccumulatedLifeVIPPremium	Allow Actor	AccumulatedLifeInsuranceReactivation	DocumentConfiguration	Viewer	Add
