ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DocumentConfiguration	AccumulatedLifeInsuranceCancellation	actors	Operations	Operations	ОПЕРУ	Operations
DocumentConfiguration	AccumulatedLifeInsuranceCancellation	actors	Viewer	Viewer	Просмотр	Viewer
DocumentConfiguration	AccumulatedLifeInsuranceCancellation	actors	UKSP	UKSP	УКСП	UKSP
DocumentConfiguration	AccumulatedLifeInsuranceCancellation	actors	OperationsDirector	OperationsDirector	Руководитель-ОПЕРУ	OperationsDirector
DocumentFlowDefinition	AccumulatedLifeInsuranceCancellationFlow	operations	operations@Save@Title	Save	Сохранить	Save
DocumentFlowDefinition	AccumulatedLifeInsuranceCancellationFlow	states	states@Draft	Draft	Проект	Draft
DocumentFlowDefinition	AccumulatedLifeInsuranceCancellationFlow	states	states@Activated	Activated	Действует	Activated
DocumentFlowDefinition	AccumulatedLifeInsuranceCancellationFlow	states	states@Cancelled	Cancelled	Отменено	Cancelled
UiSchema	AccumulatedLifeInsuranceCancellationMainContent	ui-label	tabAmendmentConditions	tabAmendmentConditions	Условия	tabAmendmentConditions
UiSchema	AccumulatedLifeInsuranceCancellationMainContent	ui-label	History	History	История	History
DocumentConfiguration	AccumulatedLifeInsuranceCancellation	rootConfiguration	AccumulatedLifeInsuranceCancellation@Title	AccumulatedLifeInsuranceCancellation	Расторжение	AccumulatedLifeInsuranceCancellation
DataSchema	AccumulatedLifeInsuranceCancellation	field-title	commentIsRequired	commentIsRequired	комментарий	commentIsRequired
DataSchema	AccumulatedLifeInsuranceCancellation	field-title	commentAuthorIsRequired	commentAuthorIsRequired	автора	commentAuthorIsRequired
DocumentFlowDefinition	AccumulatedLifeInsuranceCancellationFlow	transitions	transitions@Draft_to_OperationsApproval@Title	Draft_to_OperationsApproval	Отправить на рассмотрение в ОПЕРУ	Draft_to_OperationsApproval
DocumentFlowDefinition	AccumulatedLifeInsuranceCancellationFlow	transitions	transitions@OperationsApproval_to_RequestToClient@Title	OperationsApproval_to_RequestToClient	Ожидание ответов на запросы	OperationsApproval_to_RequestToClient
DocumentFlowDefinition	AccumulatedLifeInsuranceCancellationFlow	transitions	transitions@OperationsApproval_to_Cancelled@Title	OperationsApproval_to_Cancelled	Отменить	OperationsApproval_to_Cancelled
DocumentFlowDefinition	AccumulatedLifeInsuranceCancellationFlow	transitions	transitions@OperationsApproval_to_Activated@Title	OperationsApproval_to_Activated	Действует	OperationsApproval_to_Activated
DocumentFlowDefinition	AccumulatedLifeInsuranceCancellationFlow	transitions	transitions@RequestToClient_to_OperationsApproval@Title	RequestToClient_to_OperationsApproval	Отправить на рассмотрение в ОПЕРУ	RequestToClient_to_OperationsApproval
DocumentFlowDefinition	AccumulatedLifeInsuranceCancellationFlow	transitions	transitions@OperationsDirectorApproval_to_SentToPayment@Title	OperationsDirectorApproval_to_SentToPayment	Передать на выплату	OperationsDirectorApproval_to_SentToPayment
DocumentFlowDefinition	AccumulatedLifeInsuranceCancellationFlow	transitions	transitions@OperationsDirectorApproval_to_OperationsApproval@Title	OperationsDirectorApproval_to_OperationsApproval	Отправить на рассмотрение в ОПЕРУ	OperationsDirectorApproval_to_OperationsApproval
DocumentFlowDefinition	AccumulatedLifeInsuranceCancellationFlow	transitions	transitions@SentToPayment_to_Paid@Title	SentToPayment_to_Paid	Оплачен	SentToPayment_to_Paid
DocumentFlowDefinition	AccumulatedLifeInsuranceCancellationFlow	states	states@OperationsApproval	OperationsApproval	На рассмотрении ОПЕРУ	OperationsApproval
DocumentFlowDefinition	AccumulatedLifeInsuranceCancellationFlow	states	states@RequestToClient	RequestToClient	Ожидание ответов на запросы	RequestToClient
DocumentFlowDefinition	AccumulatedLifeInsuranceCancellationFlow	states	states@OperationsDirectorApproval	OperationsDirectorApproval	На рассмотрении у руководителя ОПЕРУ	OperationsDirectorApproval
DocumentFlowDefinition	AccumulatedLifeInsuranceCancellationFlow	states	states@SentToPayment	SentToPayment	Передано на выплату	SentToPayment
DocumentFlowDefinition	AccumulatedLifeInsuranceCancellationFlow	states	states@Paid	Paid	Оплачен	Paid
DocumentConfiguration	AccumulatedLifeInsuranceCancellation	actors	System	System	Система	System
