ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DocumentConfiguration	AccumulatedLifeInsuranceNonFinChange	actors	Operations	Operations	ОПЕРУ	Operations
DocumentFlowDefinition	AccumulatedLifeInsuranceNonFinChangeFlow	operations	operations@Save@Title	Save	Сохранить	Save
DocumentFlowDefinition	AccumulatedLifeInsuranceNonFinChangeFlow	states	states@Cancelled	Cancelled	Отменен	Cancelled
UiSchema	AccumulatedLifeInsuranceNonFinChangeMainContent	ui-label	amendment	amendment	ДС	amendment
UiSchema	AccumulatedLifeInsuranceNonFinChangeMainContent	ui-label	Insurance Conditions	Insurance Conditions	Условия страхования	Insurance Conditions
UiSchema	AccumulatedLifeInsuranceNonFinChangeMainContent	ui-label	Participants	Participants	Участники	Participants
UiSchema	AccumulatedLifeInsuranceNonFinChangeMainContent	ui-label	Additional Conditions	Additional Conditions	Дополнительные условия	Additional Conditions
UiSchema	AccumulatedLifeInsuranceNonFinChangeMainContent	ui-label	Surrender Values	Surrender Values	Выкупные суммы	Surrender Values
UiSchema	AccumulatedLifeInsuranceNonFinChangeMainContent	ui-label	PaymentPlan	PaymentPlan	График платежей	PaymentPlan
UiSchema	AccumulatedLifeInsuranceNonFinChangeMainContent	ui-label	Underwriting	Underwriting	Андеррайтинг	Underwriting
UiSchema	AccumulatedLifeInsuranceNonFinChangeMainContent	ui-label	commissionTab	commissionTab	Комиссия	commissionTab
DocumentConfiguration	AccumulatedLifeInsuranceNonFinChange	rootConfiguration	AccumulatedLifeInsuranceNonFinChange@Title	AccumulatedLifeInsuranceNonFinChange	ДС на нефинансовые изменения	AccumulatedLifeInsuranceNonFinChange
DataSchema	AccumulatedLifeInsuranceNonFinChange	field-title	commentIsRequired	commentIsRequired	Комментарий обязателен для заполнения	commentIsRequired
DataSchema	AccumulatedLifeInsuranceNonFinChange	field-title	commentAuthorIsRequired	commentAuthorIsRequired	Автор комментария обязателен для заполнения	commentAuthorIsRequired
DocumentFlowDefinition	AccumulatedLifeInsuranceNonFinChangeFlow	transitions	transitions@OperationsApproval_to_Cancelled@Title	OperationsApproval_to_Cancelled	Отменить	OperationsApproval_to_Cancelled
DocumentFlowDefinition	AccumulatedLifeInsuranceNonFinChangeFlow	transitions	transitions@OperationsApproval_to_Rejected@Title	OperationsApproval_to_Rejected	Отказ СК	OperationsApproval_to_Rejected
DocumentFlowDefinition	AccumulatedLifeInsuranceNonFinChangeFlow	transitions	transitions@OperationsApproval_to_RejectedByClient@Title	OperationsApproval_to_RejectedByClient	Отказ Клиента	OperationsApproval_to_RejectedByClient
DocumentFlowDefinition	AccumulatedLifeInsuranceNonFinChangeFlow	transitions	transitions@OperationsApproval_to_InsuranceMethodologyApproval@Title	OperationsApproval_to_InsuranceMethodologyApproval	Отправить в Направление методологии страхования	OperationsApproval_to_InsuranceMethodologyApproval
DocumentFlowDefinition	AccumulatedLifeInsuranceNonFinChangeFlow	transitions	transitions@InsuranceMethodologyApproval_to_OperationsApproval@Title	InsuranceMethodologyApproval_to_OperationsApproval	Предоставлена обратная связь	InsuranceMethodologyApproval_to_OperationsApproval
DocumentFlowDefinition	AccumulatedLifeInsuranceNonFinChangeFlow	transitions	transitions@OperationsApproval_to_ActuaryApproval@Title	OperationsApproval_to_ActuaryApproval	Отправить в Направление актуарных расчётов	OperationsApproval_to_ActuaryApproval
DocumentFlowDefinition	AccumulatedLifeInsuranceNonFinChangeFlow	transitions	transitions@ActuaryApproval_to_OperationsApproval@Title	ActuaryApproval_to_OperationsApproval	Предоставлена обратная связь	ActuaryApproval_to_OperationsApproval
DocumentFlowDefinition	AccumulatedLifeInsuranceNonFinChangeFlow	transitions	transitions@OperationsApproval_to_LegalApproval@Title	OperationsApproval_to_LegalApproval	Отправить в Юридическое управление	OperationsApproval_to_LegalApproval
DocumentFlowDefinition	AccumulatedLifeInsuranceNonFinChangeFlow	transitions	transitions@LegalApproval_to_OperationsApproval@Title	LegalApproval_to_OperationsApproval	Предоставлена обратная связь	LegalApproval_to_OperationsApproval
DocumentFlowDefinition	AccumulatedLifeInsuranceNonFinChangeFlow	transitions	transitions@OperationsApproval_to_SecurityApproval@Title	OperationsApproval_to_SecurityApproval	Отправить в Направление экономической безопасности	OperationsApproval_to_SecurityApproval
DocumentFlowDefinition	AccumulatedLifeInsuranceNonFinChangeFlow	transitions	transitions@SecurityApproval_to_OperationsApproval@Title	SecurityApproval_to_OperationsApproval	Предоставлена обратная связь	SecurityApproval_to_OperationsApproval
DocumentFlowDefinition	AccumulatedLifeInsuranceNonFinChangeFlow	transitions	transitions@OperationsApproval_to_UnderwriterApproval@Title	OperationsApproval_to_UnderwriterApproval	Отправить в Центр андеррайтинга	OperationsApproval_to_UnderwriterApproval
DocumentFlowDefinition	AccumulatedLifeInsuranceNonFinChangeFlow	transitions	transitions@UnderwriterApproval_to_OperationsApproval@Title	UnderwriterApproval_to_OperationsApproval	Предоставлена обратная связь	UnderwriterApproval_to_OperationsApproval
DocumentFlowDefinition	AccumulatedLifeInsuranceNonFinChangeFlow	transitions	transitions@OperationsApproval_to_CallCenterApproval@Title	OperationsApproval_to_CallCenterApproval	Отправить в Колл-центр	OperationsApproval_to_CallCenterApproval
DocumentFlowDefinition	AccumulatedLifeInsuranceNonFinChangeFlow	transitions	transitions@CallCenterApproval_to_RequestToClient@Title	CallCenterApproval_to_RequestToClient	Запрос клиенту	CallCenterApproval_to_RequestToClient
DocumentFlowDefinition	AccumulatedLifeInsuranceNonFinChangeFlow	transitions	transitions@OperationsApproval_to_CustomerServiceApproval@Title	OperationsApproval_to_CustomerServiceApproval	Отправить в Направление клиентского сервиса	OperationsApproval_to_CustomerServiceApproval
DocumentFlowDefinition	AccumulatedLifeInsuranceNonFinChangeFlow	transitions	transitions@CustomerServiceApproval_to_RequestToClient@Title	CustomerServiceApproval_to_RequestToClient	Запрос клиенту	CustomerServiceApproval_to_RequestToClient
DocumentFlowDefinition	AccumulatedLifeInsuranceNonFinChangeFlow	transitions	transitions@RequestToClient_to_OperationsApproval@Title	RequestToClient_to_OperationsApproval	Предоставлена обратная связь	RequestToClient_to_OperationsApproval
DocumentFlowDefinition	AccumulatedLifeInsuranceNonFinChangeFlow	transitions	transitions@OperationsApproval_to_Activated@Title	OperationsApproval_to_Activated	Действует	OperationsApproval_to_Activated
DocumentFlowDefinition	AccumulatedLifeInsuranceNonFinChangeFlow	states	states@OperationsApproval	OperationsApproval	На рассмотрении группы ОПЕРУ	OperationsApproval
DocumentFlowDefinition	AccumulatedLifeInsuranceNonFinChangeFlow	states	states@Rejected	Rejected	Отказ СК	Rejected
DocumentFlowDefinition	AccumulatedLifeInsuranceNonFinChangeFlow	states	states@RejectedByClient	RejectedByClient	Отказ Клиента	RejectedByClient
DocumentFlowDefinition	AccumulatedLifeInsuranceNonFinChangeFlow	states	states@InsuranceMethodologyApproval	InsuranceMethodologyApproval	На рассмотрении в Направлении методологии страхования	InsuranceMethodologyApproval
DocumentFlowDefinition	AccumulatedLifeInsuranceNonFinChangeFlow	states	states@ActuaryApproval	ActuaryApproval	На рассмотрении в Направлении актуарных расчётов	ActuaryApproval
DocumentFlowDefinition	AccumulatedLifeInsuranceNonFinChangeFlow	states	states@LegalApproval	LegalApproval	На рассмотрении в Юридическом управлении	LegalApproval
DocumentFlowDefinition	AccumulatedLifeInsuranceNonFinChangeFlow	states	states@SecurityApproval	SecurityApproval	На рассмотрении в Направлении экономической безопасности	SecurityApproval
DocumentFlowDefinition	AccumulatedLifeInsuranceNonFinChangeFlow	states	states@UnderwriterApproval	UnderwriterApproval	На рассмотрении в Центре андеррайтинга	UnderwriterApproval
DocumentFlowDefinition	AccumulatedLifeInsuranceNonFinChangeFlow	states	states@CallCenterApproval	CallCenterApproval	На рассмотрении в Колл-центре	CallCenterApproval
DocumentFlowDefinition	AccumulatedLifeInsuranceNonFinChangeFlow	states	states@CustomerServiceApproval	CustomerServiceApproval	На рассмотрении в Направлении клиентского сервиса	CustomerServiceApproval
DocumentFlowDefinition	AccumulatedLifeInsuranceNonFinChangeFlow	states	states@RequestToClient	RequestToClient	Запрос клиенту	RequestToClient
DocumentFlowDefinition	AccumulatedLifeInsuranceNonFinChangeFlow	states	states@Activated	Activated	Действует	Activated
