ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DocumentConfiguration	AccumulatedLifeInsurancePolicy	actors	Agent	Agent	Агент	Agent
DocumentFlowDefinition	AccumulatedLifeInsurancePolicyFlow	transitions	transitions@Draft_to_Active@Title	Draft_to_Active	Проект -> Подписан	Draft_to_Active
DocumentFlowDefinition	AccumulatedLifeInsurancePolicyFlow	transitions	transitions@Draft_to_Cancelled@Title	Draft_to_Cancelled	Проект -> Отменен	Draft_to_Cancelled
DocumentFlowDefinition	AccumulatedLifeInsurancePolicyFlow	transitions	transitions@Active_to_Cancelled@Title	Active_to_Cancelled	Подписан -> Отменен	Active_to_Cancelled
DocumentFlowDefinition	AccumulatedLifeInsurancePolicyFlow	transitions	transitions@Active_to_Activated@Title	Active_to_Activated	Подписан -> Действует	Active_to_Activated
DocumentFlowDefinition	AccumulatedLifeInsurancePolicyFlow	transitions	transitions@Activated_to_CancelledByAmendment@Title	Activated_to_CancelledByAmendment	Действует -> Расторгнут	Activated_to_CancelledByAmendment
DocumentFlowDefinition	AccumulatedLifeInsurancePolicyFlow	transitions	transitions@CancelledByAmendment_to_Activated@Title	CancelledByAmendment_to_Activated	Восстановление	CancelledByAmendment_to_Activated
DocumentFlowDefinition	AccumulatedLifeInsurancePolicyFlow	transitions	transitions@Cancelled_to_Draft@Title	Cancelled_to_Draft	Отменен -> Проект	Cancelled_to_Draft
DocumentFlowDefinition	AccumulatedLifeInsurancePolicyFlow	transitions	transitions@Draft_to_Active_Operations@Title	Draft_to_Active_Operations	Проект -> Подписан (ОПЕРУ)	Draft_to_Active_Operations
DocumentFlowDefinition	AccumulatedLifeInsurancePolicyFlow	transitions	transitions@Draft_to_Active_System@Title	Draft_to_Active_System	Проект -> Подписан (Система)	Draft_to_Active_System
DocumentFlowDefinition	AccumulatedLifeInsurancePolicyFlow	transitions	transitions@Active_to_Cancelled_Operations@Title	Active_to_Cancelled_Operations	Подписан -> Отменен (ОПЕРУ)	Active_to_Cancelled_Operations
DocumentFlowDefinition	AccumulatedLifeInsurancePolicyFlow	transitions	transitions@Cancelled_to_Active@Title	Cancelled_to_Active	Отменен -> Подписан	Cancelled_to_Active
