ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DocumentConfiguration	AccumulatedLifeInsurancePortfolioMovement	actors	System	System	System	Система
DocumentFlowDefinition	AccumulatedLifeInsurancePortfolioMovementFlow	transitions	transitions@Draft_to_Cancelled@Title	Draft_to_Cancelled	Draft_to_Cancelled	Отменить
DocumentFlowDefinition	AccumulatedLifeInsurancePortfolioMovementFlow	transitions	transitions@Draft_to_Activated@Title	Draft_to_Activated	Draft_to_Activated	Проект -> Действует
DocumentFlowDefinition	AccumulatedLifeInsurancePortfolioMovementFlow	operations	operations@Save@Title	Save	Save	Сохранить
DocumentFlowDefinition	AccumulatedLifeInsurancePortfolioMovementFlow	states	states@Draft	Draft	Draft	Черновик
DocumentFlowDefinition	AccumulatedLifeInsurancePortfolioMovementFlow	states	states@Activated	Activated	Activated	Действует
DocumentFlowDefinition	AccumulatedLifeInsurancePortfolioMovementFlow	states	states@Cancelled	Cancelled	Cancelled	Отменен
UiSchema	AccumulatedLifeInsurancePortfolioMovementMainContent	ui-label	amendment	amendment	amendment	Дополнительное соглашение
UiSchema	AccumulatedLifeInsurancePortfolioMovementMainContent	ui-label	Insurance Conditions	Insurance Conditions	Insurance Conditions	Условия страхования
DocumentConfiguration	AccumulatedLifeInsurancePortfolioMovement	rootConfiguration	AccumulatedLifeInsurancePortfolioMovement@Title	AccumulatedLifeInsurancePortfolioMovement	AccumulatedLifeInsurancePortfolioMovement	ДС на перевод портфеля
DataSchema	AccumulatedLifeInsurancePortfolioMovement	field-title	commentIsRequired	commentIsRequired	commentIsRequired	Комментарий обязателен для заполнения
DataSchema	AccumulatedLifeInsurancePortfolioMovement	field-title	commentAuthorIsRequired	commentAuthorIsRequired	commentAuthorIsRequired	Автор комментария обязателен для заполнения
DocumentConfiguration	AccumulatedLifeInsurancePortfolioMovement	actors	Operations	Operations	Operations	ОПЕРУ
UiSchema	AccumulatedLifeInsurancePortfolioMovementMainContent	ui-label	commissionTab	commissionTab	commissionTab	Комиссия
