ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DocumentConfiguration	AccumulatedLifeInsuranceReactivation	actors	Operations	Operations	Operations	ОПЕРУ
DocumentConfiguration	AccumulatedLifeInsuranceReactivation	actors	Viewer	Viewer	Viewer	Просмотр
DocumentFlowDefinition	AccumulatedLifeInsuranceReactivationFlow	transitions	transitions@Draft_to_Activated@Title	Draft_to_Activated	Draft_to_Activated	Подтвердить
DocumentFlowDefinition	AccumulatedLifeInsuranceReactivationFlow	transitions	transitions@Draft_to_Cancelled@Title	Draft_to_Cancelled	Draft_to_Cancelled	Отменить
DocumentFlowDefinition	AccumulatedLifeInsuranceReactivationFlow	operations	operations@Save@Title	Save	Save	Сохранить
DocumentFlowDefinition	AccumulatedLifeInsuranceReactivationFlow	states	states@Draft	Draft	Draft	Проект
DocumentFlowDefinition	AccumulatedLifeInsuranceReactivationFlow	states	states@Activated	Activated	Activated	Действует
DocumentFlowDefinition	AccumulatedLifeInsuranceReactivationFlow	states	states@Cancelled	Cancelled	Cancelled	Аннулирован
UiSchema	AccumulatedLifeInsuranceReactivationMainContent	ui-label	tabAmendmentConditions	tabAmendmentConditions	tabAmendmentConditions	Общая информация
UiSchema	AccumulatedLifeInsuranceReactivationMainContent	ui-label	History	History	History	История статусов
DocumentConfiguration	AccumulatedLifeInsuranceReactivation	rootConfiguration	AccumulatedLifeInsuranceReactivation@Title	AccumulatedLifeInsuranceReactivation	AccumulatedLifeInsuranceReactivation	ДС на восстановление
DataSchema	AccumulatedLifeInsuranceReactivation	field-title	commentIsRequired	commentIsRequired	commentIsRequired	Комментарий обязателен
DataSchema	AccumulatedLifeInsuranceReactivation	field-title	commentAuthorIsRequired	commentAuthorIsRequired	commentAuthorIsRequired	Автор комментария обязателен
DocumentConfiguration	AccumulatedLifeInsuranceReactivation	actors	System	System	System	Система
