ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DocumentConfiguration	AccumulatedLifeInsuranceTechnicalAmendment	actors	Viewer	Viewer	Viewer	Просмотр
DocumentConfiguration	AccumulatedLifeInsuranceTechnicalAmendment	actors	System	System	System	Система
DocumentFlowDefinition	AccumulatedLifeInsuranceTechnicalAmendmentFlow	transitions	transitions@Draft_to_Activated@Title	Draft_to_Activated	Draft_to_Activated	Проект -> Действует
DocumentFlowDefinition	AccumulatedLifeInsuranceTechnicalAmendmentFlow	operations	operations@Save@Title	Save	Save	Сохранить
DocumentFlowDefinition	AccumulatedLifeInsuranceTechnicalAmendmentFlow	states	states@Draft	Draft	Draft	Проект
DocumentFlowDefinition	AccumulatedLifeInsuranceTechnicalAmendmentFlow	states	states@Activated	Activated	Activated	Действует
UiSchema	AccumulatedLifeInsuranceTechnicalAmendmentMainContent	ui-label	amendment	amendment	amendment	ДС
DocumentConfiguration	AccumulatedLifeInsuranceTechnicalAmendment	rootConfiguration	AccumulatedLifeInsuranceTechnicalAmendment@Title	AccumulatedLifeInsuranceTechnicalAmendment	AccumulatedLifeInsuranceTechnicalAmendment	Техническое дополнительное соглашение
DocumentFlowDefinition	AccumulatedLifeInsuranceTechnicalAmendmentFlow	states	states@Cancelled	Cancelled	Cancelled	Отменён
DocumentFlowDefinition	AccumulatedLifeInsuranceTechnicalAmendmentFlow	transitions	transitions@Draft_to_Cancelled@Title	Draft_to_Cancelled	Draft_to_Cancelled	Проект -> Отменён
DocumentConfiguration	AccumulatedLifeInsuranceTechnicalAmendment	actors	Operations	Operations	Operations	ОПЕРУ
