ApplicationRole	PermissionType	CodeName	ConceptTypeName	AssignedPermission	AssignmentOperator
General	Execute Service	AADocumentSearchDataSource	DataSourceConfiguration	*	Add
General	Execute Service	AADocumentStateHistoryDataSource	DataSourceConfiguration	*	Add
General	Execute Service	AgentAgreementDataSource	DataSourceConfiguration	*	Add
General	Execute Service	AgentAgreementByPartnerDataSource	DataSourceConfiguration	*	Add
General	Execute Service	BudgetRuleAlgorithmDataSource	DataSourceConfiguration	*	Add
General	Execute Service	BudgetRuleDataSource	DataSourceConfiguration	*	Add
General	Execute Service	BudgetRuleHistoryDataSource	DataSourceConfiguration	*	Add
General	Execute Service	CommRulesImportDataLoader	DataSourceConfiguration	*	Add
General	Execute Service	CommRulesImportInfoDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetAAComissionRulesByOrigDocIdDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetAADataByContractNoDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetAmendmentListDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetInvoicedCommissionDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetInvoicedCommissionPlusDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetLastActiveAAAmendmentDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetMatchedCommissionRulesDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetPolicyAaCommissionDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetPrevNonActiveAmendmentsDataSource	DataSourceConfiguration	*	Add
General	Execute Service	PolicyCommissionDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetManualRulesDataSource	DataSourceConfiguration	*	Add
