ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DataSchema	CommRulesImportInfoDataSourceResultSchema	field-title	startDate	startDate	startDate	Дата начала действия
DataSchema	CommRulesImportInfoDataSourceResultSchema	field-title	endDate	endDate	endDate	Дата окончания действия
DataSchema	CommRulesImportInfoDataSourceResultSchema	field-title	insuranceYear	insuranceYear	insuranceYear	Год страхования
DataSchema	CommRulesImportInfoDataSourceResultSchema	field-title	insuranceTermFrom	insuranceTermFrom	insuranceTermFrom	Срок страхования (лет) с
DataSchema	CommRulesImportInfoDataSourceResultSchema	field-title	insuranceTermTo	insuranceTermTo	insuranceTermTo	Срок страхования (лет) по
DataSchema	CommRulesImportInfoDataSourceResultSchema	field-title	premiumPeriodFrom	premiumPeriodFrom	premiumPeriodFrom	Период оплаты премии (лет) с
DataSchema	CommRulesImportInfoDataSourceResultSchema	field-title	premiumPeriodTo	premiumPeriodTo	premiumPeriodTo	Период оплаты премии (лет) по
DataSchema	CommRulesImportInfoDataSourceResultSchema	field-title	rate	rate	rate	КВ по умолчанию, % вкл НДС
DataSchema	CommRulesImportInfoDataSourceResultSchema	field-title	expensesRate	expensesRate	expensesRate	Расходы, %
DataSchema	CommRulesImportInfoDataSourceResultSchema	field-title	natuaralPersonRate	natuaralPersonRate	natuaralPersonRate	КВ ФЛ, %
DataSchema	CommRulesImportInfoDataSourceResultSchema	field-title	solePropriatorRate	solePropriatorRate	solePropriatorRate	КВ ИП, %
DataSchema	CommRulesImportInfoDataSourceResultSchema	field-title	amount	amount	amount	Фикс. сумма, руб. вкл НДС
DataSchema	CommRulesImportInfoDataSourceResultSchema	field-title	isManualCorrectionDisabled	isManualCorrectionDisabled	isManualCorrectionDisabled	Запрещено ручное редактирование КВ
DataSchema	CommRulesImportInfoDataSourceResultSchema	field-title	alwaysUseMaxRate	alwaysUseMaxRate	alwaysUseMaxRate	Всегда использовать max КВ
DataSchema	CommRulesImportInfoDataSourceResultSchema	field-title	isDiscountDisabled	isDiscountDisabled	isDiscountDisabled	Запрещено применять скидку/надбавку за счёт КВ
