ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
Library	AAValidationHelper	library	validation@ManualDocumentNumberIsRequired	AAValidationHelper	E: validation@ManualDocumentNumberIsRequired	E: Номер обязателен
Library	AAValidationHelper	library	validation@ExternalDocumentNumberIsRequired	AAValidationHelper	E: validation@ExternalDocumentNumberIsRequired	E: Внешний номер обязателен для заполнения
Library	AAValidationHelper	library	validation@ConclusionDateIsRequired	AAValidationHelper	E: ConclusionDateIsRequired	E: Дата заключения обязательна для заполнения
Library	AAValidationHelper	library	validation@StartDateIsRequired	AAValidationHelper	E: StartDateIsRequired	E: Дата начала обязательна для заполнения
Library	AAValidationHelper	library	validation@DocumentCurrencyIsRequired	AAValidationHelper	E: validation@DocumentCurrencyIsRequired	E: Валюта обязательна
Library	AAValidationHelper	library	validation@SalesChannelIsRequired	AAValidationHelper	E: validation@SalesChannelIsRequired	E: Канал продаж обязателен
Library	AAValidationHelper	library	validation@AgentIsRequired	AAValidationHelper	E: validation@AgentIsRequired	E: Необходимо указать посредника
Library	AAValidationHelper	library	validation@AgentPersonalNumberIsRequired	AAValidationHelper	E: validation@AgentPersonalNumberIsRequired	E: Табельный номер обязателен
Library	AAValidationHelper	library	validation@AgentPartyTypeIsRequired	AAValidationHelper	E: validation@AgentPartyTypeIsRequired	E: Необходимо указать тип контрагента
Library	AAValidationHelper	library	validation@MvzNumberIsRequired	AAValidationHelper	E: validation@MvzNumberIsRequired	E: Необходимо указать КСП (МВЗ)
Library	AAValidationHelper	library	validation@MvzNumberWrongFormat	AAValidationHelper	E: validation@MvzNumberWrongFormat	E: Не верный формат КСП (МВЗ) (ЦЦ-ЦЦ-ЦЦЦ)
Library	AAValidationHelper	library	validation@SkkNumberWrongFormat	AAValidationHelper	E: validation@SkkNumberWrongFormat	E: Не верный формат СКК (ЦЦЦЦЦЦЦЦ)
Library	AAValidationHelper	library	validation@OrgUnitIsRequired	AAValidationHelper	E: validation@OrgUnitIsRequired	E: Необходимо указать орг структуру
Library	AAValidationHelper	library	validation@OrderNumberIsRequired	AAValidationHelper	E: validation@OrderNumberIsRequired	E: Ордер обязателен
Library	AAValidationHelper	library	validation@OrderNumberWrongFormat	AAValidationHelper	E: validation@OrderNumberWrongFormat	E: Не верный формат ордера (ЦЦЦЦЦЦЦ)
Library	AAValidationHelper	library	validation@AgencyIsRequired	AAValidationHelper	E: validation@AgencyIsRequired	E: Необходимо указать агентство
Library	AAValidationHelper	library	validation@CbAgentTypeIsRequired	AAValidationHelper	E: validation@CbAgentTypeIsRequired	E: Необходимо указать тип агента ЦБ
Library	AAValidationHelper	library	validation@SalesClassificationMustBeLessThan50charLong	AAValidationHelper	E: validation@SalesClassificationMustBeLessThan50charLong	E: Поле Классификация продаж не должно содержать более 50 символов
Library	AAValidationHelper	library	validation@isEmptyDataByAgent	AAValidationHelper	E: validation@isEmptyDataByAgent	E: Дополните информацию о Участнике
