ApplicationRole	PermissionType	CodeName	ConceptTypeName	AssignedPermission	AssignmentOperator
AdministratorAA	Allow Actor	AgentAgreement	DocumentConfiguration	AdministratorAA	Add
SpecialistAA	Allow Actor	AgentAgreement	DocumentConfiguration	General	Add
AdministratorAA	Allow Actor	AADocumentStateHistoryView	ViewConfiguration	General	Add
SpecialistAA	Allow Actor	AADocumentStateHistoryView	ViewConfiguration	General	Add
AdministratorAA	Allow Actor	AACommentsContainer	ViewConfiguration	General	Add
Administrator	Allow Actor	InvoicedCommissionView	ViewConfiguration	General	Add
AdministratorAA	Allow Actor	AACommentsView	ViewConfiguration	General	Add
SpecialistAA	Allow Actor	AACommentsContainer	ViewConfiguration	General	Add
SpecialistAA	Allow Actor	AACommentsView	ViewConfiguration	General	Add
AdministratorAA	Allow Actor	AAChangeAmendment	DocumentConfiguration	AdministratorAA	Add
SpecialistAA	Allow Actor	AAChangeAmendment	DocumentConfiguration	General	Add
AdministratorAA	Allow Actor	AACancellationAmendment	DocumentConfiguration	AdministratorAA	Add
SpecialistAA	Allow Actor	AACancellationAmendment	DocumentConfiguration	General	Add
AdministratorAA	Allow Actor	AADocumentSearchView	ViewConfiguration	General	Add
SpecialistAA	Allow Actor	AADocumentSearchView	ViewConfiguration	General	Add
AdministratorAA	Allow Actor	AAAmednmentListView	ViewConfiguration	General	Add
SpecialistAA	Allow Actor	AAAmednmentListView	ViewConfiguration	General	Add
GeneralBackOffice	Allow Actor	InvoicedCommissionView	ViewConfiguration	General	Add
ContractModification	Execute Service	RecalculatePolicyCommission	IntegrationServiceConfiguration	*	Add
ViewerAA	Allow Actor	AgentAgreement	DocumentConfiguration	ViewerAA	Add
ViewerAA	Allow Actor	AADocumentStateHistoryView	ViewConfiguration	General	Add
ViewerAA	Allow Actor	AACommentsContainer	ViewConfiguration	General	Add
ViewerAA	Allow Actor	AACommentsView	ViewConfiguration	General	Add
ViewerAA	Allow Actor	AAChangeAmendment	DocumentConfiguration	ViewerAA	Add
ViewerAA	Allow Actor	AACancellationAmendment	DocumentConfiguration	ViewerAA	Add
ViewerAA	Allow Actor	AADocumentSearchView	ViewConfiguration	General	Add
ViewerAA	Allow Actor	AAAmednmentListView	ViewConfiguration	General	Add
AdministratorAA	Allow Actor	AABudgetRuleHistoryView	ViewConfiguration	General	Add
SpecialistAA	Allow Actor	AABudgetRuleHistoryView	ViewConfiguration	General	Add
ViewerAA	Allow Actor	AABudgetRuleHistoryView	ViewConfiguration	General	Add
General	Allow Actor	EditPaymentPlanView	ViewConfiguration	General	Add
General	Execute Service	AgentAgreementExcelExport	DataExportConfiguration	*	Add
General	Execute Service	ComissionRulesExcelExport	DataExportConfiguration	*	Add
