ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DataSchema	AACommissionRule	field-title	startDate	startDate	Начало действия	startDate
DataSchema	AACommissionRule	field-title	endDate	endDate	Окончание действия	endDate
DataSchema	AACommissionRule	field-title	registratorNumber	registratorNumber	Регистратор	registratorNumber
DataSchema	AACommissionRule	field-title	insuranceProduct	insuranceProduct	Продукт	insuranceProduct
DataSchema	AACommissionRule	field-title	minRate	minRate	Ставка мин.	minRate
DataSchema	AACommissionRule	field-title	maxRate	maxRate	Ставка макс.	maxRate
DataSchema	AACommissionRule	field-title	maxRateLimit	maxRateLimit	Лимит макс. ставки	maxRateLimit
DataSchema	AACommissionRule	field-title	rate	rate	Ставка	rate
DataSchema	AACommissionRule	field-title	amount	amount	Сумма	amount
DataSchema	AACommissionRule	field-title	isManualCorrectionDisabled	isManualCorrectionDisabled	Ручная корректировка отключена	isManualCorrectionDisabled
DataSchema	AACommissionRule	field-title	alwaysUseMaxRate	alwaysUseMaxRate	Всегда использовать макс. ставку	alwaysUseMaxRate
DataSchema	AACommissionRule	field-title	commissionType	commissionType	Тип комиссии	commissionType
Rule	AACommissionRuleCommissionRuleValidation	rule	validation@bothBoundsShouldBeDefinedForInsuranceTerm	commissionRuleValidation	E: Для срока страхования должны быть определены обе границы инервала	E: validation@bothBoundsShouldBeDefinedForInsuranceTerm
Rule	AACommissionRuleCommissionRuleValidation	rule	validation@insuranceTermUpperBoundShouldBeGreaterThanLowerBound	commissionRuleValidation	E: Верхняя граница интервала срока страхования должна быть больше нижней	E: validation@insuranceTermUpperBoundShouldBeGreaterThanLowerBound
Rule	AACommissionRuleCommissionRuleValidation	rule	validation@insuranceTermLowerBoundShouldBeLesserThanUpperBound	commissionRuleValidation	E: Нижняя граница интервала срока страхования должна быть меньше верхней	E: validation@insuranceTermLowerBoundShouldBeLesserThanUpperBound
Rule	AACommissionRuleCommissionRuleValidation	rule	validation@atlestOneRuleAttributeShouldBeDefined	commissionRuleValidation	E: Для условия страхования должен быть указан хотя бы один атрибут условия	E: validation@atlestOneRuleAttributeShouldBeDefined
Rule	AACommissionRuleCommissionRuleValidation	rule	validation@rateOrAmountShouldBeDefined	commissionRuleValidation	E: Необходимо указать Ставку или Сумму вознаграждения	E: validation@rateOrAmountShouldBeDefined
Rule	AACommissionRuleCommissionRuleValidation	rule	validation@bothBoundsShouldBeDefinedForPremiumPeriod	commissionRuleValidation	E: Для периода оплаты премии должны быть определены обе границы инервала	E: validation@bothBoundsShouldBeDefinedForPremiumPeriod
Rule	AACommissionRuleCommissionRuleValidation	rule	validation@premiumPeriodUpperBoundShouldBeGreaterThanLowerBound	commissionRuleValidation	E: Верхняя граница интервала периода оплаты премии должна быть больше нижней	E: validation@premiumPeriodUpperBoundShouldBeGreaterThanLowerBound
Rule	AACommissionRuleCommissionRuleValidation	rule	validation@premiumPeriodLowerBoundShouldBeLesserThanUpperBound	commissionRuleValidation	E: Нижняя граница интервала периода оплаты премии должна быть меньше верхней	E: validation@premiumPeriodLowerBoundShouldBeLesserThanUpperBound
Rule	AACommissionRuleCommissionRuleValidation	rule	validation@ruleStartDateShouldBeGreaterOrEquealToDocStartDate	commissionRuleValidation	E: Дата начала условия должна быть больше или равна дате начала основного документа	E: validation@ruleStartDateShouldBeGreaterOrEquealToDocStartDate
Rule	AACommissionRuleCommissionRuleValidation	rule	validation@ruleEndDateShouldBeLessOrEquealThanDocEndDate	commissionRuleValidation	E: Дата окончания условия должна быть меньше или равна дате окончания основного документа	E: validation@ruleEndDateShouldBeLessOrEquealThanDocEndDate
Rule	AACommissionRuleCommissionRuleValidation	rule	validation@endDateShouldBeGreaterThanStartDate	commissionRuleValidation	E: Дата окончания документа должна быть больше даты начала	E: validation@endDateShouldBeGreaterThanStartDate
Rule	AACommissionRuleCommissionRuleValidation	rule	validation@commissionRuleShouldHasAtLeastOneProductAssigned	commissionRuleValidation	E: Необходимо указать хотя бы один продукт	E: validation@commissionRuleShouldHasAtLeastOneProductAssigned
Rule	AACommissionRuleCommissionRuleValidation	rule	validation@onlyRateOrAmountShouldBeDefined	commissionRuleValidation	E: Ставка и Сумма не могут быть указаны одновременно	E: validation@onlyRateOrAmountShouldBeDefined
DataSchema	AACommissionRule	field-title	isDiscountDisabled	isDiscountDisabled	Без скидок	isDiscountDisabled
DataSchema	AACommissionRule	field-title	isInconsistent	isInconsistent	Консистентность	isInconsistent
DataSchema	AACommissionRule	field-title	creditProgram	creditProgram	Страховая программа	creditProgram
DataSchema	AACommissionRule	field-title	expensesRate	expensesRate	Расходы, %	expensesRate
DataSchema	AACommissionRule	field-title	natuaralPersonRate	natuaralPersonRate	КВ ФЛ, %	natuaralPersonRate
DataSchema	AACommissionRule	field-title	solePropriatorRate	solePropriatorRate	КВ ИП, %	solePropriatorRate
DataSchema	AACommissionRule	field-title	manualRule	manualRule	Ручная схема КВ	manualRule
Rule	AACommissionRuleCommissionRuleValidation	rule	validation@manualRuleShouldBeFivesDigital	commissionRuleValidation	E: Поле ручной комиссии должно быть заполнено пятью цифрами	E: validation@manualRuleShouldBeFivesDigital
DataSchema	AACommissionRule	field-title	manualRuleDescription	manualRuleDescription	Описание ручной схемы КВ	manualRuleDescription
